MENS OPEN SQ BP CM. TOT
148
Eric KUPPERSTEIN,252.5,140,255,647.5
G. DELOSA,177.5,102.5
198
C. BLOUGH,235,165,240,640
220
R. SEQUIRA,327.5,182.5,295,805
T. COOK,265.5,157.5,282.5,705.5
C. HALLEE,242.5,180,237.5,660
242
D. GRASSO,277.5,182.5,257.5,717.5
319
K. BOURASSA,272.5,195,295,762.5
319+
R. DELEON,325,190,267.5,782.5
RAW TEEN
181
R. MARRAMA,235,152.5,232.5,620
198
B. ZANCAWICZ,165,107.5,1B5,457.5
242
J. MURPHY,160,80,217.5,457.5
RAW IUNIORS
220
J. PIERSON,227.5,160,275,662.5
D. CALHOUN,200,150,250,600
RAW OPEN
148
E. FAFORD JR,197.5,110,242.5,550
165
B. JANJIGIAN,215,155,232.5,602.5
R. PAULL,212.5,145,207.5,565
181
K. GOODRICH,197.5,175,260,632.5
T. KURTZ,205,155,205,565
198
R. FUTERA,195,147.5,245,587.5
275
R. CROSS,205,162.5,210,577.5
SUBMASTERS
181
D. LOWE,265,152.5,250,667.5
D. PICARD,242.5,122.5,267.5,632.5
J. GORMAN,227.5,132.5,225,584.7
198
R. JOHNSON,245,60,267.5,572.5
242
P. THORBAN,292.5,172.5,262.5,727J
P. GIADINO,215,155,192.5,562.5
SUBMASTER RAW
275
P. GOAKE,227.5,165,255,647.5
B. CAMBELL,162.5,142.5,192.5,497.5
319
K. BOURASSA,280,217.5,290,787J
MASTER RAW
181
D. SHUMAN,210,137.5,215,562.5
MASTER
181
R. COLASANTI,205,125,207.5,537.5
181
J. HORAN,210,145,232.5,587.5
GRANDMASTER
242
Fred PETERSON,215,160,310,685
275
R. CROSS,205,162.5,210,577.5
WOMEN RAW
105
CHRISTPOULOS,60,42.5,107J,210
148
A. AMERLiNG,117.5,80,182.5,380
168
P. MARRAMA,120,70,145,335
WOMEN MASTERS
95
M. SOUZA,102.5,42.5,110,255
181
S. GARDNER,185,162.5,227.5,575
181
D.LABERGE,200,147.5,227.5,575
242
J. BIANCHI,262.5,227.5,280,770
