Name,Sex,Age,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Lesley Watson,M,,OR,Raw,45.7,48,,,,,60,-65,65,65,,,,,65,B,1
Emmy Louise,F,,OR,Raw,51.7,52,,,,,65,-75,-75,65,,,,,65,B,1
Emmy Louise,F,,OR,Raw,51.7,52,90,105,110,110,65,-75,-75,65,135,150,-160,150,325,SBD,1
Nicola Bennet,F,,JR,Raw,59.6,60,80,-95,-95,80,50,55,-57.5,55,110,117.5,-120,117.5,252.5,SBD,1
Ida Gullbrandsson,F,,OR,Raw,55.9,60,,,,,-55,-55,55,55,,,,,55,B,1
Joanna Halliday,F,,OR,Raw,59.6,60,60,,,60,50,,,50,100,,,100,210,SBD,1
Bronwyn Taylor,F,,JE,Single-ply,65.9,67.5,110,125,135,135,77.5,82.5,-87.5,82.5,152.5,162.5,172.5,172.5,390,SBD,1
Andrew French,M,,JR,Raw,66.4,67.5,,,,,120,-130,-130,120,,,,,120,B,1
Nicky Price,F,,JR,Raw,63.8,67.5,140,150,160,160,80,90,-95,90,160,190,-200,190,440,SBD,1
Dale Humphreys,M,,JR,Raw,65.6,67.5,130,140,147.5,147.5,90,95,-97.5,95,210,222.5,-225,222.5,465,SBD,1
Andrew French,M,,JR,Raw,66.4,67.5,-145,-160,-160,,120,-130,-130,120,,,,,,SBD,DQ
Linda Broom,F,,ME,Single-ply,,67.5,110,-120,120,120,80,82.5,-85,82.5,135,145,-150,145,347.5,SBD,1
Corinne Ingman,F,,OR,Raw,65.2,67.5,,,,,85,90,97.5,97.5,,,,,97.5,B,1
Michael Phipps,M,,OR,Raw,63.5,67.5,,,,,90,-100,102.5,102.5,,,,,102.5,B,2
Aron Holiday,M,,OR,Raw,64.8,67.5,,,,,130,135,-137.5,135,,,,,135,B,1
Sarah Edgar King,F,,OR,Raw,62,67.5,-155,155,-162.5,155,87.5,-95,-95,87.5,160,-181,181,181,423.5,SBD,1
Aron Holiday,M,,OR,Raw,64.8,67.5,150,155,160,160,130,135,-137.5,135,200,210,212.5,212.5,507.5,SBD,1
Sabina Wallace King,F,,OR,Raw,,67.5,,,,,,,,,,,,,,SBD,DQ
Michaela Schneiderova,F,,OR,Raw,,67.5,,,,,,,,,,,,,,SBD,DQ
Vincent  Bourgeois,M,,OR,Raw,,67.5,,,,,,,,,,,,,,SBD,DQ
Aron Blight,M,,TR,Raw,64.6,67.5,102.5,110,120,120,-80,-90,-95,,,,,,,SBD,DQ
Sara Sandberg,F,,JR,Raw,70.9,75,,,,,60,-62.5,-62.5,60,,,,,60,B,1
Mitchell Horrocks,M,,JR,Raw,69,75,-160,170,180,180,100,-110,115,115,230,245,255,255,550,SBD,1
Alan Collins,M,,ME,Single-ply,71.8,75,,,,,100,-110,,100,,,,,100,B,1
Vincent Eldin,M,,ME,Single-ply,74.5,75,,,,,-193,-193,-193,,,,,,,B,DQ
Daniella Scozzi,F,,MR,Raw,72.1,75,145,155,160,160,72.5,77.5,-85,77.5,160,170,-180,170,407.5,SBD,1
Steve Short,M,,MR,Raw,74.1,75,162.5,172.5,182.5,182.5,122.5,-135,-135,122.5,210,232.5,,232.5,537.5,SBD,1
Hannah Venn Munns,F,,OR,Raw,72.15,75,65,72.5,77.5,77.5,50,-55,55,55,105,110,115,115,247.5,SBD,1
Anthony Zawalij,M,,OR,Raw,70.6,75,150,160,-165,160,110,-115,,110,210,215,220,220,490,SBD,1
Mirka Bila,M,,OR,Raw,,75,,,,,,,,,,,,,,SBD,DQ
Lenka Kratochvilova,F,,OR,Raw,,75,,,,,,,,,,,,,,SBD,DQ
Cosmo Taylor,M,,TR,Raw,72.5,75,75,85,90,90,65,70,72.5,72.5,130,135,140,140,302.5,SBD,1
Precious Collins,F,,JR,Raw,76.3,82.5,125,135,-142.5,135,70,-80,-80,70,145,155,-160,155,360,SBD,1
