Name,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,WeightClassKg,BodyweightKg,Place,Sex,Event,Equipment
Kurt Schoknecht,,,,,,,,,,,110,,9,M,SBD,Single-ply
Pat Jacobs,,,,,,,,,,,110,,10,M,SBD,Single-ply
Bernie Ferro,,,,,,,,,,,110,,11,M,SBD,Single-ply
Dave Jacoby,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
Victor Vandivier,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
Joe Morelli,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
Jeff Badlooch,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
Tom Feyh,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
Bill Nichols,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
John Schaeffer,,,,,,,,,,,110,,DQ,M,SBD,Single-ply
Charlie Driscoll,,,,,,,,,,,125,,1,M,SBD,Single-ply
Dave Barbee,,,,,,,,,,,125,,2,M,SBD,Single-ply
Jon Newell,,,,,,,,,,,125,,3,M,SBD,Single-ply
Robert Miller,,,,,,,,,,,125,,4,M,SBD,Single-ply
John Gentile,,,,,,,,,,,125,,5,M,SBD,Single-ply
George Hechter,,,,,,,,,,,125+,,1,M,SBD,Single-ply
Roy Steinacker,,,,,,,,,,,125+,,2,M,SBD,Single-ply
John Ware,,,,,,,,,,,125+,,3,M,SBD,Single-ply
Hoss,,,,,,,,,,,125+,,4,M,SBD,Single-ply
Bill Romaniello,,,,,,,,,,,125+,,5,M,SBD,Single-ply
Stu Thompson,,,,,,,,,,,125+,,6,M,SBD,Single-ply
Blaise Boscaccy,,,,,,,,,,,125+,,DQ,M,SBD,Single-ply
Kalman Sachs,,,,,,,,,,,125+,,DQ,M,SBD,Single-ply
Wayne Bouvier,,,,,,,,,,,125+,,DQ,M,SBD,Single-ply
