Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
P Reeves,WM,42.65,75.5,45,115,235,SBD,Single-ply,F
E Dixon,YNE,42.8,72.5,40,107.5,220,SBD,Single-ply,F
N Gifford,SE,47,125,55,135,315,SBD,Single-ply,F
H Whittington,SE,51.75,130,70,155,355,SBD,Single-ply,F
H Hampson,YNE,50.08,110,52.5,120,282.5,SBD,Single-ply,F
P Kirkup,WM,49.2,105,45,125,275,SBD,Single-ply,F
K Bulford,SE,50.07,65,37.5,95,197.5,SBD,Single-ply,F
T Hollis,SM,55.3,142.5,80,152.5,375,SBD,Single-ply,F
Lesley Manester,SE,53.5,110,65,130,305,SBD,Single-ply,F
A Sebburn,WM,56,100,55,132.5,287.5,SBD,Single-ply,F
U Birbeck,WM,54.35,105,55,125,285,SBD,Single-ply,F
H John,NM,55.5,97.5,50,132.5,280,SBD,Single-ply,F
Jackie Blasbery,EM,60,155,72.5,180,407.5,SBD,Single-ply,F
J Kattan,YNE,59.6,150,75,180,405,SBD,Single-ply,F
K Smith,SC,59.85,110,57.5,135,302.5,SBD,Single-ply,F
K Dormedy,SE,56.9,110,57.5,130,297.5,SBD,Single-ply,F
C Gunn,YNE,60,100,45,137.5,282.5,SBD,Single-ply,F
K Taylor,WM,60,110,45,110,265,SBD,Single-ply,F
J Wheeler,SM,67.5,120,75,150,345,SBD,Single-ply,F
Doreen Dowsett,NM,63,100,52.5,147.5,300,SBD,Single-ply,F
E Harris,SE,71.8,175,95,167.5,437.5,SBD,Single-ply,F
J Wills,YNE,68.65,130,75,147.5,352.5,SBD,Single-ply,F
L Ellis,EM,71.5,135,65,150,350,SBD,Single-ply,F
S Heathcote,NW,67.7,110,67.5,125,302.5,SBD,Single-ply,F
Carole Springett,YNE,82.1,145,67.5,165,377.5,SBD,Single-ply,F
Janis Kerr,SE,85,105,67.5,125,297.5,SBD,Single-ply,F
Jackie Pepper,SE,98.2,180,90,190,460,SBD,Single-ply,F
S Andrews,GL,94.8,160,80,200,440,SBD,Single-ply,F
