Name,Sex,Division,Equipment,WeightClassKg,BodyweightKg,Age,Squat4Kg,Best3SquatKg,Bench4Kg,Best3BenchKg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Tested,Event,Place
Brandon Parks,M,M_OR_APF,Raw,,,,,,,,,,,,B,DQ
Bryon Branning,M,M_OR_APF,Raw,90,89.9,28,,,,135,,,135.0,,B,1
Todd Light,M,M_OR_APF,Raw,90,88.6,28,,,,115,,,115.0,,B,2
Vito Palazolo,M,M_OR_APF,Raw,100,99.6,53,,,,182.5,,,182.5,,B,1
Brandon Branning,M,M_O_APF,Raw,100,97.5,29,,,,175,,,175.0,,B,1
Rich Farris,M,M_OR_APF,Raw,110,108,36,,,,0,,,0.0,,B,1
Kyle Taylor,M,M_OR_APF,Raw,125,124.1,24,,,,192.5,,,192.5,,B,1
Brad Tripp,M,M_OR_APF,Raw,140+,152.1,44,,,,207.5,,,207.5,,B,1
Clay Tawzer,M,M_OR_APF,Raw,140+,164.6,26,,,170,165,235,,165.0,,B,2
Larry Modena,M,M_OR_APF,Raw,140+,161.3,43,,,,0,,,0.0,,B,3
Rich Farris,M,M_SR_APF,Raw,110,108,36,,,,0,,,0.0,,B,1
Bart Adamson,M,M_SR_APF,Raw,125,115,38,,,,107.5,,,107.5,,B,1
Erik Rasmussen,M,M_SR_APF,Raw,,,33,,,,0,,,0.0,,B,1
Mike Haynes,M,M_MR_1_APF,Raw,75,71.6,40,,,,115,,,115.0,,B,1
Mike Baker,M,M_MR_1_APF,Raw,90,83,40,,,,122.5,,,122.5,,B,1
Larry Modena,M,M_MR_1_APF,Raw,140+,161.3,43,,,,0,,,0.0,,B,1
Jody Anest,M,M_MR_2_APF,Raw,75,73.5,45,,,,145,,,145.0,,B,1
J.J. Putnam,M,M_MR_2_APF,Raw,125,115.5,47,,,147.5,145,,,145.0,,B,1
Bob Baker,M,M_MR_3_APF,Raw,82.5,82.5,52,,,,132.5,,,132.5,,B,1
Vito Palazolo,M,M_MR_3_APF,Raw,100,99.6,53,,,,182.5,,,182.5,,B,2
Ralph Branning,M,M_MR_3_APF,Raw,100,97.5,52,,,,200,,,200.0,,B,1
Douglas Ward,M,M_MR_4_APF,Raw,67.5,64.4,59,,,131,125,,,125.0,,B,1
Peter Herdt,M,M_MR_4_APF,Raw,140+,162,59,,,,165,,,165.0,,B,1
Sonny Nummi,M,M_MR_5_APF,Raw,82.5,81.1,62,,,,97.5,,,97.5,,B,1
Margaret Kirkland,F,F_OEM_APF,Multi-ply,56,55.4,45,,190,,112.5,,185,487.50,,SBD,1
Jessi Metz,F,F_OEM_APF,Multi-ply,75,71.6,26,,72.5,,52.5,,95,220.00,,SBD,1
Jacqueline Stone,F,F_OEM_APF,Multi-ply,90+,98.6,30,,192.5,,115,,170,477.50,,SBD,1
Heather Gibson,F,F_OEM_APF,Multi-ply,90+,102.9,35,,187.5,,115,,132.5,435.00,,SBD,2
Mary Tawzer,F,F_OEM_APF,Multi-ply,90+,101.8,52,,82.5,,67.5,,125,275.00,,SBD,3
Mary Tawzer,F,F_MEM_3_APF,Multi-ply,90+,101.8,52,,82.5,,67.5,,125,275.00,,SBD,1
Nora Langdon,F,F_MEM_6_APF,Multi-ply,90,84.1,66,,165,,72.5,,162.5,400.00,,SBD,1
Mary Chatel,F,F_MEM_8_APF,Multi-ply,44,42.6,79,,42.5,,25.0,,60.00,127.50,,SBD,1
Jordon Gibson,M,M_TEM_1_APF,Multi-ply,110,106.3,15,,295,,150.0,250,237.50,682.50,,SBD,1
Alex Whitaker,M,M_TEM_3_APF,Multi-ply,140,131.4,19,,320,,0,,0,320.00,,SBD,1
Nick Lenhart,M,M_JEM_APF,Multi-ply,67.5,65.5,22,,205,,165,,247.5,617.50,,SBD,1
Jordan Conley,M,M_JEM_APF,Multi-ply,75,69.4,20,,192.5,,137.5,,165,495.00,,SBD,1
De'Andre Nunn,M,M_JEM_APF,Multi-ply,100,99.7,23,,282.5,,182.5,,275,740.00,,SBD,1
Tyler Roessler,M,M_JEM_APF,Multi-ply,140,137.3,23,,272.5,,225,,275,772.50,,SBD,1
Kurt Larsen,M,M_SEM_APF,Multi-ply,90,83.6,36,,227.5,,182.5,,210,620.00,,SBD,1
David Edgil,M,M_SEM_APF,Multi-ply,140+,154.7,37,,182.5,,227.5,,327.5,737.50,,SBD,1
Geri Cunningham,F,F_TEM_2_AAPF,Multi-ply,44,40.6,16,,,,47.5,,,47.50,Yes,B,1
Geri Cunningham,F,F_OEM_AAPF,Multi-ply,44,40.6,16,,,,47.5,,,47.50,Yes,B,1
Ambyr Reyes,F,F_TEM_3_AAPF,Multi-ply,,,,,,,,,,0.00,Yes,B,1
