Name,WeightClassKG,BodyweightKG,Sex,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Place
Mike Meade,75,74.8,M,M_OEM_APF,279,136.1,249.5,664.5,SBD,1
Abraham Harrod,110,102.1,M,M_OEM_APF,381,272.2,299.4,952.6,SBD,1
Drew Wise,100,98.4,M,M_OEM_APF,353.8,254,299.4,907.2,SBD,1
Bill Mance,100,99.8,M,M_OEM_APF,279,197.3,285.8,762.1,SBD,2
Chris Antoline,125,110.7,M,M_OEM_APF,297.1,183.7,249.5,730.3,SBD,1
Jim McNeill,90,82.1,M,M_MR_6_APF,,127,154.2,281.2,BD,1
Mike Brown,110,109.8,M,M_MR_6_APF,,167.8,,167.8,B,1
Mark Fleming,90,89.8,M,M_MEM_2_APF,297.1,61.2,276.7,635.1,SBD,1
Tamika Rosa,90+,99.8,F,F_GEM_APF,124.7,65.8,142.9,333.4,SBD,G
