Name,Equipment,WeightClassKg,Sex,Division,BodyweightKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,State
Erik Walther,Raw,105,M,Junior,97.60,1997,200,212.5,225,225.0,135,140,-145,140.0,210,225,235,235.0,600.0,1,SBD,BB
Achim Wendlandt,Raw,59,M,Master2,58.70,1960,80,90,100,100.0,85,90,95,95.0,100,110,120,120.0,315.0,1,SBD,BB
Jannes Wendlandt,Raw,74,M,Youth,72.60,2001,125,135,145,145.0,95,105,-110,105.0,150,165,175,175.0,425.0,1,SBD,BB
Arwin Joren Wienhold,Raw,66,M,Open,65.10,1991,135,-145,145,145.0,90,97.5,102.5,102.5,-195,195,200,200.0,447.5,1,SBD,BB
Robin Winopal,Single-ply,74,M,Junior,71.00,1998,150,160,165,165.0,100,-105,,100.0,165,175,-182.5,175.0,440.0,1,SBD,BB
Ingo Woschny,Single-ply,83,M,Master2,77.60,1965,170,180,195,195.0,160,170,180,180.0,170,190,-200,190.0,565.0,1,SBD,BB
Colin Zajic,Raw,105,M,Junior,93.80,1999,-140,140,-145,140.0,75,80,82.5,82.5,170,180,185,185.0,407.5,2,SBD,BB
Oliver Zamzow,Raw,105,M,Master1,104.50,1978,250,262.5,265,265.0,152.5,157.5,160,160.0,290,305,310,310.0,735.0,1,SBD,BB
Steffen Zeuch,Raw,105,M,Open,103.30,1985,165,170,-180,170.0,110,117.5,-122.5,117.5,180,190,202.5,202.5,490.0,2,SBD,BB
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-1,,,,,,,,,,,,,,,
