Name,Sex,Best3BenchKg,Best3DeadliftKg,TotalKg,Division,Event,Equipment
Russell Hubbs,M,97.5,170,267.5,M_TEM_1_APF,BD,Multi-ply
Ryan Hardee,M,50,105,155,M_TEM_1_APF,BD,Multi-ply
Zachary Leonardo,M,135,225,360,M_OR_APF,BD,Raw
Jason Elkins,M,120,160,280,M_OR_APF,BD,Raw
Jason Elkins,M,120,160,280,M_SOR_APF,BD,Raw
Josh Meyers,M,100,182.5,282.5,M_OR_APF,BD,Raw
Josh Meyers,M,100,182.5,282.5,M_SOR_APF,BD,Raw
Robert Miller,M,147.5,245,392.5,M_MEM_1_APF,BD,Multi-ply
Brian Pittman,M,190,187.5,377.5,M_MEM_1_APF,BD,Multi-ply
Brian Pittman,M,190,187.5,377.5,M_SOEM_APF,BD,Multi-ply
Tom Walters,M,60,100,160,M_MR_7_APF,BD,Raw
Martin Sanchez,M,75,140,215,M_MR_1_APF,BD,Raw
Killer Williams,M,192.5,,192.5,M_MEM_3_APF,B,Multi-ply
