Name,Age,Sex,WeightClassKg,Division,Equipment,Event,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg
Cole Anderson,16,M,90,Teen,Raw,SBD,0,122.5,140,77.5,90,0,140,167.5,182.5,412.5,140,90,182.5
Andrew Dogaru,17,M,90,Teen,Raw,SBD,120,145,160,92.5,0,0,150,165,180,432.5,160,92.5,180
Luis Virrueta,20,M,90,Junior,Raw,SBD,125,137.5,145,85,0,0,142.5,0,0,372.5,145,85,142.5
Gabriel Amparano,24,M,90,Novice,Raw,SBD,145,155,172.5,92.5,97.5,0,190,200,205,475,172.5,97.5,205
Zander Jepsen,30,M,90,Open,Raw,SBD,162,170,177.5,100,105,107.5,195,205,0,490,177.5,107.5,205
Nathan Patterson,31,M,90,Open,Raw,SBD,175,0,182.5,175,182.5,187.5,237.5,247.5,0,617.5,182.5,187.5,247.5
Dan Osburn,35,M,100,Sub-master,Raw,SBD,157.5,0,0,0,0,157.5,202.5,215,225,540,157.5,157.5,225
Jason Knight-Han,18,M,110,Teen,Raw,SBD,210,220,227.5,130,137.5,145,217.5,227.5,235,607.5,227.5,145,235
Brandon Stratton,30,M,110,Novice,Raw,SBD,165,182.5,197.5,90,0,117.5,182.5,197.5,210,525,197.5,117.5,210
Ibrahim Shaheed,18,M,125,Teen,Raw,SBD,220,227.5,255,145,0,165,247.5,0,282.5,702.5,255,165,282.5
Ian Strand,31,M,140,Novice,Raw,SBD,240,260,272.5,170,182.5,187.5,227.5,0,0,687.5,272.5,187.5,227.5
Roy Doty,25,M,140,Open,Raw,SBD,200,217.5,230,137.5,0,147.5,227.5,245,0,622.5,230,147.5,245
David Linares,27,M,140,Open,Raw,SBD,245,262.5,0,152.5,165,0,240,265,272.5,700,262.5,165,272.5
Brandon Er,16,M,67,Teen,Raw,PP,,,,92.5,97.5,0,137.5,147.5,0,245,0,97.5,147.5
Spencer Skaggs,19,M,82.5,Teen,Raw,PP,,,,112.5,125,0,0,217.5,0,342.5,0,125,217.5
Bob Levering,57,M,90,Master,Raw,PP,,,,145,0,157.5,155,165,172.5,330,0,157.5,172.5
Ed Burgle,76,M,90,Master,Raw,PP,,,,0,57.5,0,102.5,110,115,172.5,0,57.5,115
Dan Osburn,35,M,100,Sub-master,Raw,PP,,,,0,0,157.5,202.5,215,225,382.5,0,157.5,225
Paul McCushon,83,M,100,Master,Raw,PP,,,,0,47.5,0,0,92.5,0,140,0,47.5,92.5
Robert Ciano,55,M,125,Master,Raw,PP,,,,155,162.5,0,212.5,230,250,412.5,0,162.5,250
Darnell Simpkins,40,M,140,Master,Raw,PP,,,,0,192.5,197.5,230,0,250,447.5,0,197.5,250
Nathan Patterson,31,M,90,Open,Raw,B,,,,175,182.5,187.5,,,,187.5,0,187.5,0
Lior Dubrowsky,16,M,100,Teen,Raw,B,,,,82.5,92.5,95,,,,95,0,95,0
Dan Osburn,35,M,100,Sub-master,Raw,SBD,,,,0,0,157.5,,,,157.5,0,157.5,0
