Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Nikolay Podsosonnyy,Николай Подсосонный,1952,65.4,200,120,,282.5,602.5,M,SBD,Single-ply,Masters 1,67.5
2,Petr Kravtsov,Петр Кравцов,1946,67.5,232.5,135,,217.5,585,M,SBD,Single-ply,Masters 1,67.5
1,Yuriy Povetkin,Юрий Поветкин,1939,65.25,200,130,,200,530,M,SBD,Single-ply,Masters 2,67.5
2,Anatoliy Parkhomenko,Анатолий Пархоменко,1941,66.25,165,120,,190.5,475,M,SBD,Single-ply,Masters 2,67.5
1,Nikolay Ogly,Николай Оглы,1949,73.65,215,130,,232.5,577.5,M,SBD,Single-ply,Masters 1,75
2,Vitaliy Krivtsov,Виталий Кривцов,1951,74.9,225,140,,212.5,577.5,M,SBD,Single-ply,Masters 1,75
3,Nikolay Palamarchuk,Николай Паламарчук,1949,74.95,190,115,,195,500,M,SBD,Single-ply,Masters 1,75
4,Vladimir Goy,Владимир Гой,1948,72.3,142.5,102.5,,170,427.5,M,SBD,Single-ply,Masters 1,75
5,Aleksandr Votintsev,Александр Вотинцев,1951,73.9,125,80,,160,365,M,SBD,Single-ply,Masters 1,75
1,Vladimir Manchuk,Владимир Манчук,1940,72.9,160,115,,170,445,M,SBD,Single-ply,Masters 2,75
DQ,Oleg Dombrovskiy,Олег Домбровский,1964,75,,,,,,M,SBD,Single-ply,Masters 2,75
DQ,Aleksandr Ermakov,Александр Ермаков,1953,74.45,202.5,,,,,M,SBD,Single-ply,Masters 2,75
1,Aleksey Ivanov,Алексей Иванов,1949,82.45,240,145,,240,625,M,SBD,Single-ply,Masters 1,82.5
2,Vladimir Leshchenko,Владимир Лещенко,1946,82.25,235,152.5,,220,607.5,M,SBD,Single-ply,Masters 1,82.5
3,Yaroslav Savyak,Ярослав Савяк,1952,80.85,210,125,,220,555,M,SBD,Single-ply,Masters 1,82.5
4,Aleksandr Antonovskiy,Александр Антоновский,1947,80.15,160,125,,180,465,M,SBD,Single-ply,Masters 1,82.5
1,Gennadiy Saprygin,Геннадий Сапрыгин,1938,82.5,160,110,,165,435,M,SBD,Single-ply,Masters 2,82.5
2,Vitaliy Svirnenko,Виталий Свирненко,1927,81.5,110,85,,160,355,M,SBD,Single-ply,Masters 2,82.5
DD,Oleg Dubinin,Олег Дубинин,1966,80.65,210,152.5,,205,,M,SBD,Single-ply,Masters 2,82.5
1,Vladimir Krasnobaev,Владимир Краснобаев,1951,89.6,230,150,,267.5,647.5,M,SBD,Single-ply,Masters 1,90
2,Anatoliy Kalina,Анатолий Калина,1948,87.5,250,145,,250,645,M,SBD,Single-ply,Masters 1,90
3,Aleksandr Zaytsev,Александр Зайцев,1949,88.9,175,132.5,,185,492.5,M,SBD,Single-ply,Masters 1,90
4,Vladimir Balakirev,Владимир Балакирев,1948,88,175,125,,190,490,M,SBD,Single-ply,Masters 1,90
5,Valeriy Korchagin,Валерий Корчагин,1946,89.5,170,120,,172.5,462.5,M,SBD,Single-ply,Masters 1,90
1,Leonid Lodkin,Леонид Лодкин,1934,87.7,190,130,,210,530,M,SBD,Single-ply,Masters 2,90
2,Ivan Stefanishin,Иван Стефанишин,1940,86.5,200,120,,207.5,527.5,M,SBD,Single-ply,Masters 2,90
DD,Lyudmila Gayduchenko,Людмила Гайдученко,1966,85.7,182.5,127.5,,180,490,M,SBD,Single-ply,Masters 2,90
DD,Nikolay Kurakin,Николай Куракин,1967,88.5,237.5,170,,282.5,690,M,SBD,Single-ply,Masters 2,90
DQ,Stanislav Arbitman,Станислав Арбитман,1956,89,,130,,,,M,SBD,Single-ply,Masters 2,90
1,Vasiliy Sedykh,Василий Седых,1948,98.5,242.5,175.5,,262.5,680,M,SBD,Single-ply,Masters 1,100
2,Yaroslav Chala,Ярослав Чала,1948,90.1,237.5,180,,250,667.5,M,SBD,Single-ply,Masters 1,100
3,Yuriy Simonenko,Юрий Симоненко,1949,92.3,250,157.5,,245,652.5,M,SBD,Single-ply,Masters 1,100
4,Sergey Bryzgunov,Сергей Брызгунов,1948,98.5,225,160,,250,635,M,SBD,Single-ply,Masters 1,100
5,Vyacheslav Tupkalov,Вячеслав Тупкалов,1949,98.8,207.5,135,,270.5,612.5,M,SBD,Single-ply,Masters 1,100
1,Nikolay Yudin,Николай Юдин,1938,100,260,175,,270,705,M,SBD,Single-ply,Masters 2,100
1,Aleksey Rokochiy,Алексей Рокочий,1951,106.8,247.5,162.5,165,265,675,M,SBD,Single-ply,Masters 1,110
1,Tabuashvili Boris,Табуашвили Борис,1947,118.1,220,175,,257.5,652.5,M,SBD,Single-ply,Masters 1,125
2,Kurbatskiy Mikhail,Курбатский Михаил,1951,120.6,230,150,,240,620,M,SBD,Single-ply,Masters 1,125
1,Kalashnik Yuriy,Калашник Юрий,1940,114.5,270,175,,277.5,722.5,M,SBD,Single-ply,Masters 2,125
1,Shprints Lev,Шпринц Лев,1952,130,280,150,,260,690,M,SBD,Single-ply,Masters 1,125+
1,Eremenko Anatoliy,Еременко Анатолий,1939,125.2,220,160,,225,605,M,SBD,Single-ply,Masters 2,125+
