Place,CyrillicName,BirthYear,BodyweightKg,Sex,WeightClasskg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
5,Виталий Побережный,1984,66.8,M,67.5,280,180,230,690,SBD,Single-ply
6,Евгений Манянов,1988,67.25,M,67.5,275,165,250,690,SBD,Single-ply
7,Павел Черников,1973,67.4,M,67.5,275,162.5,240,677.5,SBD,Single-ply
8,Дмитрий Шкурник,1987,67.05,M,67.5,250,175,250,675,SBD,Single-ply
9,Иван Мыльников,1986,64.8,M,67.5,255,165,220,660,SBD,Single-ply
10,Алексей Ханхалдов,1987,67.2,M,67.5,260,150,245,655,SBD,Single-ply
11,Илья Колесов,1977,67.25,M,67.5,247.5,140,230,617.5,SBD,Single-ply
DQ,Иван Давыдов,1989,67.4,M,67.5,265,,,,SBD,Single-ply
1,Павел Озеров,1980,74.95,M,75,325,215,305,845,SBD,Single-ply
2,Александр Говорин,1985,74.7,M,75,327.5,175,325,827.5,SBD,Single-ply
3,Александр Громов,1981,74.1,M,75,335,230,260,825,SBD,Single-ply
4,Артём Коротыгин,1980,74.75,M,75,330,215,260,805,SBD,Single-ply
5,Артём Суворов,1983,74.9,M,75,310,190,290,790,SBD,Single-ply
6,Илья Харитон,1987,74.4,M,75,315,180,275,770,SBD,Single-ply
7,Денис Варюхин,1986,74.45,M,75,310,200,260,770,SBD,Single-ply
8,Евгений Яцюк,1986,74.85,M,75,317.5,195,240,752.5,SBD,Single-ply
9,Максим Нурутдинов,1982,72.85,M,75,315,170,265,750,SBD,Single-ply
10,Константин Коняев,1986,75,M,75,305,165,280,750,SBD,Single-ply
11,Александр Быков,1982,74.7,M,75,300,165,265,730,SBD,Single-ply
12,Иван Нестеров,1988,73.2,M,75,290,160,260,710,SBD,Single-ply
DQ,Сергей Бахтин,1985,74.3,M,75,270,,,,SBD,Single-ply
DQ,Константин Гирин,1981,74.8,M,75,,,,,SBD,Single-ply
