Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Jetsy Werleman,46.4,81.0,-86.0,88.0,88.0,42.5,45.5,50.0,50.0,112.5,120.0,127.5,127.5,265.5,47.0,Open,SBD,F,Raw
1,Dewi van der Geugten,50.25,90.0,97.5,102.5,102.5,55.0,60.0,62.5,62.5,105.0,112.5,120.0,120.0,285.0,52.0,Open,SBD,F,Raw
2,Loes van Loenen,49.45,82.5,85.0,87.5,87.5,52.5,55.0,57.5,57.5,97.5,107.5,115.0,115.0,260.0,52.0,Open,SBD,F,Raw
3,Talia Fawzy,50.25,90.0,-100.0,-100.0,90.0,40.0,45.0,47.5,47.5,105.0,110.0,115.0,115.0,252.5,52.0,Open,SBD,F,Raw
4,Aniek van der Reek,51.55,85.0,-87.5,-87.5,85.0,52.5,55.0,-57.5,55.0,100.0,105.0,-110.0,105.0,245.0,52.0,Open,SBD,F,Raw
5,Lenny Gribnau,50.65,85.0,-90.0,-90.0,85.0,47.5,-52.5,-52.5,47.5,115.0,121.5,-128.0,121.5,254.0,52.0,Open,SBD,F,Raw
1,Sandra Wildeman,57,"107,5"," -115,5","-117,5",0.0,77.5,82.5,85.5,85.5,120.0,127.5,-130.0,127.5,320.5,57.0,Open,SBD,F,Raw
2,Odette Zwanikken,55.65,100.0,105.0,110.0,110.0,60.0,62.5,-65.0,62.5,-125.0,130.0,135.0,135.0,307.5,57.0,Open,SBD,F,Raw
3,Eva de Lange,56.7,100.0,107.5,-110.0,107.5,50.0,52.5,-55.0,52.5,127.5,132.5,135.0,135.0,295.0,57.0,Open,SBD,F,Raw
1,Jolien Dreesen,61,-130.0,-140.0,140.0,140.0,60.0,65.0,-70.0,65.0,140.0,150.0,157.5,157.5,362.5,63.0,Open,SBD,F,Raw
2,Marlinde Gras,62.35,125.0,130.0,135.0,135.0,65.0,67.5,70.0,70.0,145.0,"-152,5","-152,5",145.0,350.0,63.0,Open,SBD,F,Raw
3,Katinka van Baalen,62,107.5,112.5,-115.0,112.5,77.5,-80.0,80.0,80.0,145.0,-155.0,-163.0,145.0,337.5,63.0,Open,SBD,F,Raw
4,Nathalie Hillenga,60.95,105.0,"-112,5","-112,5",105.0,-65.0,65.0,-67.5,65.0,145.0,150.0,"-152,5",150.0,320.0,63.0,Open,SBD,F,Raw
5,Simone Dekkers,62.05,105.0,110.0,"-112,5",110.0,60.0,65.0,-67.5,65.0,130.0,137.5,-140.0,137.5,312.5,63.0,Open,SBD,F,Raw
6,Arianne Derickx,62.55,105.0,"-112,5","-112,5",105.0,60.0,-62.5,-62.5,60.0,130.0,137.5,142.5,142.5,307.5,63.0,Open,SBD,F,Raw
7,Krista Meijer,57.45,100.0,105.0,-110.0,105.0,70.0,-75.0,-75.0,70.0,127.5,-130.0,130.0,130.0,305.0,63.0,Open,SBD,F,Raw
8,Giacolina Rosa Gastaldo,62.85,-100.0,100.0,-110.0,100.0,60.0,62.5,65.0,65.0,132.5,-135.0,-140.0,132.5,297.5,63.0,Open,SBD,F,Raw
9,Annemirthe van Zanten,61.79,105.0,"-112,5",112.5,112.5,47.5,50.0,-52.5,50.0,125.0,130.0,135.0,135.0,297.5,63.0,Open,SBD,F,Raw
10,Yvonne Kortsmit,61.6,95.0,100.0,,100.0,65.0,-70.0,-70.0,65.0,105.0,110.0,117.5,117.5,282.5,63.0,Open,SBD,F,Raw
11,Marit Mulder,62.1,90.0,-100.0,100.0,100.0,40.0,45.0,-47.5,45.0,125.0,135.0,-145.0,135.0,280.0,63.0,Open,SBD,F,Raw
DQ,Arja Rydin,62.3,110.0,112.5,115.0,115.0,-57.5,-57.5,-57.5,,105.0,110.0,112.5,112.5,,63.0,Open,SBD,F,Raw
1,Ankie Timmers,71.9,140.0,148.0,"-152,5",148.0,95.0,100.0,-103.0,100.0,182.5,192.5,200.0,200.0,448.0,72.0,Open,SBD,F,Raw
2,Gwen Mostert,67.95,122.5,127.5,-130.0,127.5,77.5,80.0,82.5,82.5,165.0,172.5,180.0,180.0,390.0,72.0,Open,SBD,F,Raw
3,Claudia Oudijk,70.15,125.0,"-132,5","-137,5",125.0,62.5,-67.5,67.5,67.5,150.0,157.5,165.0,165.0,357.5,72.0,Open,SBD,F,Raw
4,Maaike de Vries,71.05,125.0,132.5,-140.0,132.5,75.0,80.0,82.5,82.5,120.0,"127,5","-132,5",120.0,342.5,72.0,Open,SBD,F,Raw
5,Laska van der Let,68.65,-115.0,115.0,120.0,120.0,67.5,-70.0,70.0,70.0,140.0,150.0,-155.0,150.0,340.0,72.0,Open,SBD,F,Raw
6,Iris Brunsmann,66.5,112.5,"117,5 ","-122,5",112.5,67.5,72.5,-75.0,72.5,140.0,150.0,-155.0,150.0,340.0,72.0,Open,SBD,F,Raw
7,Diede Vogelzang,70.3,112.5,117.5,-120.0,117.5,65.0,-67.5,-67.5,65.0,137.5,140.0,145.0,145.0,327.5,72.0,Open,SBD,F,Raw
8,Anna Schipper,69.95,115.0,-120.0,-120.0,115.0,65.0,70.0,-72.5,70.0,130.0,-140.0,-140.0,130.0,315.0,72.0,Open,SBD,F,Raw
9,Sytse Bekker,63.65,105.0,110.0,112.5,112.5,60.0,62.5,-65.0,62.5,132.5,137.5,140.0,140.0,315.0,72.0,Open,SBD,F,Raw
10,Karlien Huiskes,70.09,-115.0,115.0,-120.0,115.0,62.5,-67.5,-67.5,62.5,120.0,125.0,-130.0,125.0,302.5,72.0,Open,SBD,F,Raw
11,Ilaika Husslage,67.05,-110.0,-115.0,120.0,120.0,55.0,57.5,-60.0,57.5,110.0,115.0,122.5,122.5,300.0,72.0,Open,SBD,F,Raw
12,Laura Kasius,68.8,105.0,-110.0,-110.0,105.0,57.5,60.0,-62.5,60.0,115.0,122.5,-130.0,122.5,287.5,72.0,Open,SBD,F,Raw
DQ,Miranda van de Pol,69.2,-105.0,105.0,110.0,110.0,72.5,75.0,-77.5,75.0,-160.0,-160.0,-160.0,,,72.0,Open,SBD,F,Raw
1,Sanne Visser,77.25,135.0,140.0,"-142,5",140.0,85.0,-90.0,-90.0,85.0,180.0,-190.0,190.0,190.0,415.0,84.0,Open,SBD,F,Raw
2,Iris Kensenhuis,80.1,137.5,142.5,147.5,147.5,70.0,72.5,75.0,75.0,170.0,180.0,185.0,185.0,407.5,84.0,Open,SBD,F,Raw
3,Romy Toonen,83.4,122.5,130.0,137.5,137.5,57.5,62.5,67.5,67.5,165.0,172.5,177.5,177.5,382.5,84.0,Open,SBD,F,Raw
4,Dominique van Deursen,78.05,117.5,125.0,130.0,130.0,-62.5,62.5,-67.5,62.5,147.5,"157,5 ","-162,5",147.5,350.0,84.0,Open,SBD,F,Raw
5,Elisa Hessels,78.95,110.0,115.0,"-122,5",115.0,-60.0,60.0,65.0,65.0,137.5,145.0,155.0,155.0,335.0,84.0,Open,SBD,F,Raw
1,Ielja Strik,85.8,187.5,197.5,-211.0,197.5,127.5,133.0,-135.0,133.0,180.0,-190.0,190.0,190.0,520.5,84+,Open,SBD,F,Raw
2,Ilrish Kensenhuis,86.45,137.5,142.5,145.0,145.0,67.5,70.0,72.5,72.5,192.5,201.0,-205.0,201.0,418.5,84+,Open,SBD,F,Raw
3,Esther Wilten-Seinstra,112.50,142.5,147.5,150.0,150.0,-65.0,-70.0,70.0,70.0,152.5,"157,5 ","-162,5",152.5,377.5,84+,Open,SBD,F,Raw
4,Isabelle Feteris,98.75,115.0,117.5,120.0,120.0,70.0,72.5,-75.0,72.5,160.0,167.5,172.5,172.5,365.0,84+,Open,SBD,F,Raw
1,Alan Tjin,65.35,172.5,182.5,-190.0,182.5,92.5,100.0,-105.0,100.0,210.0,230.0,-243.0,230.0,512.5,66.0,Open,SBD,M,Raw
2,David Vesseur,65.8,147.5,157.5,160.0,160.0,101.0,107.5,-110.0,107.5,177.5,"187,5 ","-192,5",177.5,455.0,66.0,Open,SBD,M,Raw
3,Fabio Hu,65.3,150.0,"157,5","-162,5",150.0,100.0,-105.0,-105.0,100.0,190.0,-200.0,-200.0,190.0,447.5,66.0,Open,SBD,M,Raw
1,Pardeep Kailey,74,"202,5 ","-212,5",212.5,212.5,120.0,125.0,127.5,127.5,230.0,250.0,-270.0,250.0,590.0,74.0,Open,SBD,M,Raw
2,Eray Cingi,73.7,185.0,197.5,202.5,202.5,125.0,135.0,-140.0,135.0,210.0,222.5,230.0,230.0,567.5,74.0,Open,SBD,M,Raw
3,Denzil Vreugd,73.2,192.5,205.0,210.0,210.0,130.0,-135.0,-135.0,130.0,220.0,-240.0,-240.0,220.0,560.0,74.0,Open,SBD,M,Raw
4,Bezhad Aziz,74,180.0,190.0,200.0,200.0,120.0,"127,5","-132,5",120.0,220.0,-225.0,-225.0,220.0,547.5,74.0,Open,SBD,M,Raw
