Name,Sex,Age,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Andreas Johansson,M,,JE,Single-ply,86.45,90,,,,,175,-182.5,-182.5,175,,,,,175,B,1
Jack Chambers,M,,JE,Single-ply,86.45,90,300,-325,325,325,180,-190,-190,180,260,280,-300,280,785,SBD,1
Cameron Squire,M,,JR,Raw,78.6,82.5,140,150,160,160,110,-120,122.5,122.5,220,230,-245,230,512.5,SBD,4
Liam Wilkinson,M,,JR,Raw,82.2,82.5,200,-207.5,-207.5,200,120,-122.5,-122.5,120,220,-230,-232.5,220,540,SBD,3
Lloyd Chugg,M,,JR,Raw,77,82.5,180,-200,-200,180,130,140,-142.5,140,220,230,240,240,560,SBD,2
Rob Bragg,M,,JR,Raw,82.5,82.5,220,240,260,260,120,130,140,140,220,240,260,260,660,SBD,1
Edgaras Borovikovas,M,,JR,Raw,86.45,90,160,180,-200,180,-140,140,-152,140,220,240,-250,240,560,SBD,2
Edward Whitehead,M,,JR,Raw,86.45,90,190,-200,-200,190,130,-140,-150,130,220,240,252.5,252.5,572.5,SBD,1
Steve Plunkett,M,,ME,Single-ply,86.45,90,,,,,200,-230,-230,200,,,,,200,B,1
Patricia Wetton,F,,MR,Raw,,82.5,-70,70,87.5,87.5,55,60,62.5,62.5,100,-120,120,120,270,SBD,1
Martin Randall,M,,MR,Raw,86.45,90,,,,,120,-127.5,-127.5,120,,,,,120,B,3
Adam Browne,M,,MR,Raw,86.8,90,,,,,135,142.5,147.5,147.5,,,,,147.5,B,2
Didier Michelon,M,,MR,Raw,86.45,90,,,,,195,-210,,195,,,,,195,B,1
Martin Hewlett,M,,MR,Raw,89.9,90,150,-160,160,160,115,122.5,130,130,190,202.5,-210,202.5,492.5,SBD,3
Adam Browne,M,,MR,Raw,86.8,90,155,162.5,-165,162.5,135,142.5,147.5,147.5,190,202.5,205,205,515,SBD,2
Mark Bentley,M,,MR,Raw,86.45,90,160,-205,205,205,125,130,132.5,132.5,220,242.5,-252.5,242.5,580,SBD,1
John Antrobus,M,,OE,Single-ply,86.45,90,,,,,160,-170,170,170,,,,,170,B,2
Henrik Hager,M,,OE,Single-ply,86.45,90,,,,,155,165,175,175,,,,,175,B,1
Maria Helgesson,F,,OR,Raw,,82.5,,,,,100,107.5,-110,107.5,,,,,107.5,B,1
Daniel Shearly,M,,OR,Raw,82.2,82.5,,,,,140,150,-155,150,,,,,150,B,2
Chris Pike,M,,OR,Raw,80.7,82.5,,,,,155,-165,-165,155,,,,,155,B,1
John Warburton,M,,OR,Raw,81.8,82.5,170,185,202.5,202.5,115,-125,,115,220,230,-240,230,547.5,SBD,2
Daniel Shearly,M,,OR,Raw,82.2,82.5,170,-190,190,190,140,150,-155,150,205,225,235,235,575,SBD,1
Agata Wrobel,F,,OR,Raw,86.45,90,,,,,70,,,70,,,,,70,B,1
Kish Naib,M,,OR,Raw,86.45,90,-180,200,210,210,140,145,-150,145,-250,250,-270,250,605,SBD,3
Liam Salmon,M,,OR,Raw,86.45,90,200,-222.5,-222.5,200,130,137.5,142.5,142.5,230,250,265,265,607.5,SBD,2
Tom Sparks,M,,OR,Raw,86.45,90,210,227.5,240,240,140,150,157.5,157.5,280,300,,300,697.5,SBD,1
Anki Eberg,M,,OR,Raw,92.1,100,-110,120,135,135,90,100,-110,100,170,190,-210,190,425,SBD,1
Daniel Slater,M,,TR,Raw,80.7,82.5,115,125,132.5,132.5,72.5,77.5,-80,77.5,182.5,203,-210,203,413,SBD,3
Ali Ashraf,M,,TR,Raw,80.2,82.5,140,155,162.5,162.5,75,87.5,95,95,160,180,-200,180,437.5,SBD,2
Edward Cole,M,,TR,Raw,80.5,82.5,-165,-170,170,170,-110,-115,115,115,185,210,-220,210,495,SBD,1
Mark Towers,M,,TR,Raw,83.5,90,95,105,120,120,75,-90,-90,75,160,175,-182.5,175,370,SBD,1
