Name,Age,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Tested,Sex
Sarah Paez-long,33,Raw,F_OR_AAPF,82.33,82.5,122.5,130,140,140,65,70,75,75,142.5,162.5,-165,162.5,377.5,SBD,Yes,F
Maverick Yabut,23,Raw,M_JR_APF,65.77,67.5,142.5,150,-182.5,150,105,112.5,-125,112.5,175,182.5,192.5,192.5,455,SBD,,M
Maverick Yabut,23,Raw,M_JR_APF,65.77,67.5,,,,,105,112.5,-125,112.5,,,,,112.5,B,,M
Maverick Yabut,23,Raw,M_JR_APF,65.77,67.5,,,,,,,,,175,182.5,192.5,192.5,192.5,D,,M
Anthony Campo,18,Raw,M_TR_3_AAPF,82.1,82.5,165,175,182.5,182.5,110,120,-130,120,175,185,-195,185,487.5,SBD,Yes,M
Joshua Warnock,39,Raw,M_NR_APF,96.16,100,-192.5,-192.5,-192.5,,105,110,-112.5,110,195,202.5,207.5,207.5,317.5,SBD,,M
Aaron Davis,39,Raw,M_NR_APF,96.39,100,187.5,205,227.5,227.5,142.5,150,-162.5,150,195,227.5,245,245,622.5,SBD,,M
Andrew Mower,34,Raw,M_NR_APF,99.11,100,200,227.5,240,240,152.5,167.5,182.5,182.5,255,272.5,285,285,707.5,SBD,,M
Chris McGrail,36,Single-ply,M_OES_APF,83.1,90,,,,,,,,,272.5,310,,310,310,D,,M
Matthew Wiggins,33,Raw,M_OR_AAPF,100.61,110,-160,-160,-160,,112.5,,,112.5,,,,,112.5,SBD,Yes,M
