Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Oleksiy Udaltsov,51.85,130,145,160,160,75,80,82.5,82.5,,147.5,157.5,-160,157.5,400,52,M,Олексій Удальцов,1981,SBD,Single-ply,Juniors
2,Yevgen Vyborov,51.25,147.5,152.5,157.5,157.5,75,80,-82.5,80,,150,-155,-155,150,387.5,52,M,Євген Виборов,1983,SBD,Single-ply,Juniors
3,Yevgen Gorbanyuk,51.15,145,157.5,165,165,55,65,-72.5,65,,120,130,-135,130,360,52,M,Євген Горбанюк,1985,SBD,Single-ply,Juniors
4,Ruslan Rabdev,50.1,110,115,-120,115,75,-80,-80,75,,145,152.5,-157.5,152.5,342.5,52,M,Руслан Рабдєв,1983,SBD,Single-ply,Juniors
DQ,Konstantin Bakaras,49.75,125,130,-135,130,72.5,77.5,-82.5,77.5,,-155,-155,-155,,,52,M,Костянтин Бакарас,1980,SBD,Single-ply,Juniors
1,Sergiy Dyachenko,55.8,180,190,201,201,97.5,105,110,110,,170,-180,-180,170,481,56,M,Сергій Дяченко,1981,SBD,Single-ply,Juniors
2,Sergiy Zdanevich,55.8,175,-182.5,-182.5,175,90,100,102.5,102.5,,170,185,-192.5,185,462.5,56,M,Сергій Зданевич,1982,SBD,Single-ply,Juniors
3,Artem Zavadovskyy,55.85,165,170,175,175,92.5,97.5,-100,97.5,,160,170,-175,170,442.5,56,M,Артем Завадовський,1981,SBD,Single-ply,Juniors
4,Volodymyr Rysiev,54.95,140,150,155,155,90,-97.5,97.5,97.5,,160,170,180,180,432.5,56,M,Володимир Рисєв,1982,SBD,Single-ply,Juniors
5,Khristo Khrystev,55.7,150,-165,-165,150,80,87.5,92.5,92.5,,160,170,-175,170,412.5,56,M,Христо Христєв,1979,SBD,Single-ply,Juniors
6,Yuriy Dosyuk,55.15,135,140,147.5,147.5,80,-87.5,87.5,87.5,,160,170,-175,170,405,56,M,Юрій Досюк,1984,SBD,Single-ply,Juniors
7,Andriy Vedrov,55.35,130,137.5,145,145,92.5,-97.5,97.5,97.5,,147.5,157.5,162.5,162.5,405,56,M,Андрій Ведров,1982,SBD,Single-ply,Juniors
8,Dmytro Tertyshnikov,54.95,140,145,150,150,77.5,80,-82.5,80,,160,167.5,-170,167.5,397.5,56,M,Дмитро Тертишников,1984,SBD,Single-ply,Juniors
9,Yevgen Delitsoy,54.45,140,-157.5,-157.5,140,-90,90,-95,90,,150,-160,160,160,390,56,M,Євген Деліцой,1984,SBD,Single-ply,Juniors
10,Maksym Baranov,54.85,110,120,-127.5,120,72.5,77.5,80,80,,160,170,-180,170,370,56,M,Максим Баранов,1983,SBD,Single-ply,Juniors
1,Volodymyr Pogrebniy,59.8,215.5,225,230,230,152.5,157.5,160,160,,180,185,-190,185,575,60,M,Володимир Погребний,1982,SBD,Single-ply,Juniors
2,Yevgen Salo,59.5,200,215,-225,215,105,112.5,115,115,,205,222.5,235,235,565,60,M,Євген Сало,1982,SBD,Single-ply,Juniors
3,Oleksandr Borysov,59.7,190,200,-205,200,120,130,137.5,137.5,,200,220,227.5,227.5,565,60,M,Олександр Борисов,1980,SBD,Single-ply,Juniors
4,Yuriy Kidiba,59.75,175,-180,180,180,90,-97.5,-97.5,90,,160,167.5,-175,167.5,437.5,60,M,Юрій Кидиба,1983,SBD,Single-ply,Juniors
5,Mykola Volkov,59.75,165,-175,-175,165,90,-95,-95,90,,170,180,-190,180,435,60,M,Микола Волков,1982,SBD,Single-ply,Juniors
6,Sergiy Baburin,59.4,170,-180,180,180,90,100,-102.5,100,,-140,-140,140,140,420,60,M,Сергій Бабурін,1984,SBD,Single-ply,Juniors
1,Oleksandr Kutcher,67.2,240,250,-255,250,155,160,-162.5,160,,250,260,-270,260,670,67.5,M,Олександр Кутчер,1980,SBD,Single-ply,Juniors
2,Anatoliy Goryachok,67.5,,170,185,185,125,135,-140,135,,250,260,266.5,266.5,586.5,67.5,M,Анатолий Горячок,1979,SBD,Single-ply,Juniors
3,Andriy Gmyrin,66.95,210,225,-232.5,225,130,-135,-135,130,,200,215,-220,215,570,67.5,M,Андрій Гмирін,1983,SBD,Single-ply,Juniors
4,Roman Taran,67.45,210,220,225,225,135,-140,-140,135,,210,-215,-215,210,570,67.5,M,Роман Таран,1978,SBD,Single-ply,Juniors
5,Oleksiy Golovan',67.5,200,-215,220,220,110,117.5,122.5,122.5,,190,205,212.5,212.5,555,67.5,M,Олексій Головань,1981,SBD,Single-ply,Juniors
6,Mykola Demchak,67.2,192.5,-200,200,200,135,142.5,-147.5,142.5,,192.5,205,-212.5,205,547.5,67.5,M,Микола Демчак,1980,SBD,Single-ply,Juniors
7,Volodymyr Arkhypenko,64.65,-180,180,-190,180,120,127.5,-130,127.5,,-200,200,207.5,207.5,515,67.5,M,Володимир Архипенко,1980,SBD,Single-ply,Juniors
