 , , 
,,
,,
подготовил Сергей Рыжук,,
,,
XI Первенство Украины среди юниоров,,
,,
"г. Коломыя, 2 - 6 марта 2001 года.",,
,,
,,
,,
ЮНИОРКИ,,
,,
"2. Выборов Евгений/83          Днепропетровская         51,25  157,5    80,0   150,0    387,5  О.Королев, А.Онищенко",,
"3. Горбанюк Николай/85         Черновицкая              51,15  165,0    65,0   130,0    360,0  А.Лазарев",,
"4. Рабдев Руслан/83            Луганская                50,10  115,0    75,0   152,5    342,5  В.Карпов",,
"-  Бакарас Константин/80       Киев                     49,75  130,0    77,5   ---,-        0  Б.Требухов",,
,,
"-56,00 кг.",,
"1. Дяченко Сергей/81           Одесская                 55,80  200,0   110,0   170,0    480,0  И.Улятовский, О.Чижевский",,
"2. Зданевич Сергей/80          Донецкая                 55,80  175,0   102,5   185,0    462,5  И.Жилкина, А.Ногорный",,
"3. Завадовский Артем/81        Полтавская               55,85  175,0    97,5   170,0    442,5  М.Иваньков",,
"4. Рысев Владимир/82           Луганская                54,95  155,0    97,5   180,0    432,5  В.Карпов",,
"5. Христев Христо/79           Черновицкая              55,70  150,0    92,5   170,0    412,5  Крушельницкий",,
"6. Досюк Юрий/84               Ивано-Франковская        55,15  147,5    87,5   170,0    405,0  Н.Чабан, С.Ватюк",,
"7. Ведров Андрей/82            Черкасская               55,35  145,0    97,5   162,5    405,0  А.Коваль",,
"8. Тертышников Дмитрий/84      Днепропетровская         54,95  150,0    80,0   167,5    397,5  А.Онищенко, О.Королев",,
"9. Делицой Евгений/85          Черновицкая              54,45  140,0    90,0   160,0    390,0  И.Ясенецкий",,
"10. Баранов Максим/83           Луганская                54,85  120,0    80,0   170,0    370,0  В.Урбан",,
,,
"-60,00 кг.",,
"1. Погребной Владимир/82       Киевская                 59,80  230,0   160,0   185,0    575,0  В.Давыдюк, В.Алоев",,
"2. Сало Евгений/82             Донецкая                 59,50  215,0   115,0   235,0    565,0  О.Гусак, Я.Розенфельд",,
"3. Борисов Александр/80        Донецкая                 59,70  200,0   137,5   227,5    565,0  И.Вергун",,
"4. Кидыба Юрий/83              Львовская                59,75  180,0    90,0   167,5    437,5  А.Колосков, Ю.Бутенко",,
"5. Волков Николай/82           Днепропетровская         59,70  160,0    90,0   180,0    430,0  А.Онищенко",,
"6. Бабурин Сергей/84           Харьковская              59,40  180,0   100,0   140,0    420,0",,
,,
"-67,50 кг.",,
"1. Кутчер Александр/80         Хмельницкая-Ровенская    67,20  250,0   160,0   260,0    670,0  С.Рыжук, Ю.Бутенко",,
"2. Горячок Анатолий/79         Хмельницкая              67,50  185,0   135,0   265,0    585,0  В.Антонюк",,
"3. Мирзоян Андрей/80           Донецкая                 67,00  220,0   135,0   225,0    580,0  И.Вергун, Ю.Верниченко",,
"4. Гмырин Андрей/83            Киевская                 66,95  225,0   130,0   215,0    570,0  И.Антипенко, В.Давыдюк",,
"5. Таран Роман/78              Черкасская               67,45  220,0   140,0   210,0    570,0  Д.Данилов, А.Стеценко",,
