Place,Name,Sex,Division,WeightClassKg,Equipment,BirthYear,BirthDate,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Julia Kylie D Yonzon,F,D,57+,Raw,2012,,,73.85,92.5,102.5,-110,102.5,32.5,37.5,-40,37.5,-92.5,-92.5,92.5,92.5,232.5,SBD
1,Arnee Filia B Soriano,F,C,47,Raw,2002,,,46.9,92.5,100,-105,100,65,-70.5,-70.5,65,115,125,130,130,295,SBD
1,Renee Maxine C Dimasin,F,C,52,Raw,2003,,,48.85,-85,85,90,90,55,57.5,60,60,110,117.5,122.5,122.5,272.5,SBD
2,Nicolette Edna A David,F,C,52,Raw,2005,,,51.65,85,92.5,-97.5,92.5,47.5,-52.5,-52.5,47.5,-110,110,-125,110,250,SBD
1,Antoniette Ery J Pabayo,F,C,57,Raw,2001,,,55.5,100,110,112.5,112.5,45,50,-52.5,50,120,132.5,-135,132.5,295,SBD
DQ,Alessandra G Eco,F,C,57,Raw,2005,,,54.85,-85,-85,-85,,70,72.5,75,75,87.5,95,102.5,102.5,,SBD
DQ,Hilary Gwynn A Ang,F,C,57,Raw,2001,,,55.25,-100,-105,-105,,57.5,60,65,65,-110,-110,110,110,,SBD
1,Lyka Shayne P Arcenal,F,C,63,Raw,2001,,,62.55,122.5,-130,-130,122.5,57.5,62.5,65,65,152.5,163,170,170,357.5,SBD
2,Angela Kristell F Borromeo,F,C,63,Raw,2002,,,61.8,-112.5,-112.5,112.5,112.5,45,-50,50,50,132.5,137.5,145,145,307.5,SBD
1,Aleinne Monette B Cabangon,F,C,76,Raw,2003,,,73.55,100,105,112.5,112.5,42.5,47.5,52.5,52.5,110,117.5,125,125,290,SBD
2,Ariadne T Tan,F,C,76,Raw,2005,,,72.9,102.5,110,-117.5,110,40,45,-50,45,102.5,112.5,-120,112.5,267.5,SBD
1,Maria Reuel Caoagdan,F,C,84,Raw,2002,,,80.75,95,105,-115,105,37.5,-45,45,45,95,105,115,115,265,SBD
1,Khieszia Danielle Narral,F,HS,43,Raw,2009,,,42.5,65,70,72.5,72.5,30,35,-37.5,35,100,105,-110,105,212.5,SBD
2,Amber M Villanueva,F,HS,43,Raw,2007,,,43,70,72.5,-75,72.5,30,-35,-37.5,30,90,95,-102.5,95,197.5,SBD
1,Sabina Mae C Santos,F,HS,76,Raw,2007,,,74.95,135,-140.5,140.5,140.5,65,70,72.5,72.5,150.5,-160,160,160,373,SBD
1,Arnee Filia B Soriano,F,J,47,Raw,2002,,,46.9,92.5,100,-105,100,65,-70.5,-70.5,65,115,125,130,130,295,SBD
2,Lara C Aday,F,J,47,Raw,2001,,,45.9,90,-97.5,-97.5,90,-50,50,-52.5,50,117.5,122.5,-125,122.5,262.5,SBD
1,Antoniette Ery J Pabayo,F,J,57,Raw,2001,,,55.5,100,110,112.5,112.5,45,50,-52.5,50,120,132.5,-135,132.5,295,SBD
2,Margie A Caubat,F,J,57,Raw,2004,,,57,80,-85,85,85,-35,-35,35,35,90,95,105,105,225,SBD
3,Franrene D Torred,F,J,57,Raw,2003,,,56.05,75,77.5,-80,77.5,32.5,-35,-35,32.5,90,95,102.5,102.5,212.5,SBD
DQ,Alessandra G Eco,F,J,57,Raw,2005,,,54.85,-85,-85,-85,,70,72.5,75,75,87.5,95,102.5,102.5,,SBD
DQ,Hilary Gwynn A Ang,F,J,57,Raw,2001,,,55.25,-100,-105,-105,,57.5,60,65,65,-110,-110,110,110,,SBD
1,Lyka Shayne P Arcenal,F,J,63,Raw,2001,,,62.55,122.5,-130,-130,122.5,57.5,62.5,65,65,152.5,163,170,170,357.5,SBD
2,Angela Kristell F Borromeo,F,J,63,Raw,2002,,,61.8,-112.5,-112.5,112.5,112.5,45,-50,50,50,132.5,137.5,145,145,307.5,SBD
1,Aalia U Labrador,F,J,69,Raw,2001,,,67.1,107.5,112.5,117.5,117.5,52.5,55,57.5,57.5,120,127.5,-135,127.5,302.5,SBD
1,Aleinne Monette B Cabangon,F,J,76,Raw,2003,,,73.55,100,105,112.5,112.5,42.5,47.5,52.5,52.5,110,117.5,125,125,290,SBD
2,Ariadne T Tan,F,J,76,Raw,2005,,,72.9,102.5,110,-117.5,110,40,45,-50,45,102.5,112.5,-120,112.5,267.5,SBD
