Name,Tested,Age,Division,Equipment,BodyweightLBS,WeightClassLBS,Squat1KG,Squat2KG,Squat3KG,Bench1KG,Bench2KG,Bench3KG,Deadlift1KG,Deadlift2KG,Deadlift3KG,Total,State,Sex,Place
Darla Coray,Yes,47,Open,Raw,141,148,67.5,75,-82.5,-35,-45,47.5,80,92.5,105,227.5,OH,F,1
Steven Gibson,Yes,30,Open,Raw,170,181,140,147.5,155,97.5,105,107.5,152.5,165,177.5,440,OH,M,1
Nick Kapantas,Yes,31,Open,Raw,192,198,157.5,182.5,190,107.5,117.5,127.5,225,235,240,557.5,OH,M,1
Gary Kubitz,Yes,44,Open,Raw,258,275,102.5,120,132.5,92.5,110,122.5,137.5,165,182.5,437.5,OH,M,1
Geo Hoffman,Yes,45,Master (40-49),Raw,272,275,102.5,115,-127.5,102.5,115,122.5,135,147.5,160,397.5,OH,M,1
Frank Costanzo,Yes,51,Master (50-59),Multi-ply,218,220,,,,,,,250,265,,265,OH,M,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
