Name,Tested,Age,WeightClassKg,BodyweightKg,Division,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Sex,Place
Dalen Randa,,30,125,119.6,M-MPO-APF,Multi-ply,387.5,332.5,287.5,1007.5,SBD,M,1
Jeffrey Miller,,35,125,115.5,M-MPO-APF,Multi-ply,427.5,142.5,350,920,SBD,M,2
Dalen Randa,,50,125,119.6,M-MPM3-APF,Multi-ply,387.5,332.5,287.5,1007.5,SBD,M,1
Alyssa Kroll,Yes,19,67.5,63.4,F-RT3-AAPF,Raw,,80,,80,B,F,1
Collette Smith,Yes,22,52,51.4,F-RJR-AAPF,Raw,,52.5,,52.5,B,F,1
Collette Smith,Yes,30,52,51.4,F-RO-AAPF,Raw,,52.5,,52.5,B,F,1
Taylor Porter,,30,82.5,80,F-RO-APF,Raw,,80,,80,B,F,1
Greg Griffith,,28,90,89.3,M-RO-APF,Raw,,200,,200,B,M,1
Russell Jardine,Yes,26,100,97.9,M-RO-AAPF,Raw,,170,,170,B,M,1
Karl Pfanzelter,,30,100,97.8,M-RO-APF,Raw,,230,,230,B,M,1
Mike Brownfield,,30,125,123.6,M-RO-APF,Raw,,,,,B,M,DQ
Shay McQuiston,,35,140,131.9,M-RO-APF,Raw,,192.5,,192.5,B,M,1
Ti Dyphibane,,39,75,73.6,M-RSM-APF,Raw,,145,,145,B,M,1
Shay McQuiston,,35,140,131.9,M-RSM-APF,Raw,,192.5,,192.5,B,M,1
Mike Brownfield,,43,125,123.6,M-RM1-APF,Raw,,,,,B,M,DQ
Cosette Neely,,38,48,47.6,F-SPO-APF,Single-ply,,,,,B,F,DQ
Mike Saunders,Yes,37,90,89.3,M-SPO-AAPF,Single-ply,,302.5,,302.5,B,M,1
Collette Smith,Yes,22,52,51.4,F-RJR-AAPF,Raw,,,120,120,D,F,1
Collette Smith,Yes,30,52,51.4,F-RO-AAPF,Raw,,,120,120,D,F,1
Taylor Porter,,30,82.5,80,F-RO-APF,Raw,,,147.5,147.5,D,F,1
Mike Brownfield,,30,125,123.6,M-RO-APF,Raw,,,292.5,292.5,D,M,1
Mike Brownfield,,43,125,123.6,M-RM1-APF,Raw,,,292.5,292.5,D,M,1
Jake Benson,,30,90,89.1,M-RO-APF,Raw,,,310,310,D,M,1
Jake Benson,,23,90,89.1,M-RJ-APF,Raw,,,310,310,D,M,1
Sara Schiff,,30,90+,102.6,F-MPO-APF,Multi-ply,,,230,230,D,F,1
Sara Schiff,,41,90+,102.6,F-MPM1-APF,Multi-ply,,,230,230,D,F,1
Cosette Neely,,38,48,47.6,F-MPO-APF,Multi-ply,,,125,125,D,F,1
