Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Carolien Schouten,47.40,-42.50,42.50,45.00,45.00,-37.50,37.50,40.00,40.00,62.50,65.00,67.50,67.50,152.50,52,Open,SBD,F,Sngle-ply
1,Sandra Wildeman,57.00,162.50,170.00,175.00,175.00,92.50,100.00,102.50,102.50,152.50,160.00,165.50,165.50,443.00,57,Open,SBD,F,Sngle-ply
1,Katinka van Baalen,61.40,95.00,105.00,110.00,110.00,67.50,72.50,-77.50,72.50,130.00,140.00,-150.00,140.00,322.50,63,Open,SBD,F,Sngle-ply
1,Ankie Timmers,71.50,180.00,190.00,,190.00,90.00,97.50,,97.50,200.00,210.00,223.00,223.00,510.50,72,Open,SBD,F,Sngle-ply
2,Maaike de Vries,71.20,150.00,-157.50,-157.50,150.00,110.00,115.00,120.00,120.00,140.00,147.50,-152.50,147.50,417.50,72,Open,SBD,F,Sngle-ply
3,Gwen Mostert,68.90,125.00,130.00,,130.00,80.00,85.00,87.50,87.50,165.00,175.00,182.50,182.50,400.00,72,Open,SBD,F,Sngle-ply
4,Hennie van 't Loo,71.50,120.00,130.00,,130.00,-95.00,95.00,,95.00,125.00,135.00,142.50,142.50,367.50,72,Open,SBD,F,Sngle-ply
5,Joyce Bruggink,69.50,92.50,100.00,-105.00,100.00,-50.00,52.50,57.50,57.50,130.00,142.50,150.00,150.00,307.50,72,Open,SBD,F,Sngle-ply
6,Jacqueline Houweling,70.80,67.50,70.00,75.00,75.00,-42.50,45.00,47.50,47.50,85.00,90.00,100.00,100.00,222.50,72,Open,SBD,F,Sngle-ply
1,Eva Boerema,75.10,112.50,-120.00,120.00,120.00,47.50,50.00,52.50,52.50,115.00,125.00,135.00,135.00,307.50,84,Open,SBD,F,Sngle-ply
2,Eva Rombout,76.20,-85.00,85.00,-95.00,85.00,45.00,52.50,-60.00,52.50,105.00,-115.00,115.00,115.00,252.50,84,Open,SBD,F,Sngle-ply
3,Alexandra Barton,78.20,70.00,75.00,80.00,80.00,42.50,45.00,47.50,47.50,100.00,105.00,110.00,110.00,237.50,84,Open,SBD,F,Sngle-ply
1,Brenda vd Meulen,114.50,210.00,220.00,,220.00,180.00,190.00,200.50,200.50,180.00,190.00,200.00,200.00,620.50,84+,Open,SBD,F,Sngle-ply
1,Pardeep Kailey,74.00,-255.00,-262.50,262.50,262.50,-170.00,170.00,177.50,177.50,265.00,283.00,-300.00,283.00,723.00,74,Open,SBD,M,Sngle-ply
2,Michiel van Son,73.50,130.00,150.00,155.00,155.00,60.00,70.00,80.00,80.00,165.00,175.00,182.50,182.50,417.50,74,Open,SBD,M,Sngle-ply
1,Justin Mulder,82.30,215.00,-220.00,-220.00,215.00,122.50,127.50,140.00,140.00,220.00,232.50,245.00,245.00,600.00,83,Open,SBD,M,Sngle-ply
2,Roland Pater,81.50,-185.00,-185.00,185.00,185.00,110.00,120.00,125.00,125.00,185.00,195.00,207.50,207.50,517.50,83,Open,SBD,M,Sngle-ply
3,Wim Bevers,83.00,-180.00,180.00,190.00,190.00,100.00,110.00,-120.00,110.00,185.00,197.50,207.50,207.50,507.50,83,Open,SBD,M,Sngle-ply
1,Danceney vd Geest,92.30,192.50,202.50,212.50,212.50,127.50,132.50,137.50,137.50,270.00,285.00,-300.00,285.00,635.00,93,Open,SBD,M,Sngle-ply
2,Roy Merkies,89.10,195.00,210.00,-225.00,210.00,155.00,-162.50,-162.50,155.00,235.00,245.00,-255.00,245.00,610.00,93,Open,SBD,M,Sngle-ply
3,Jos van Kersbergen,85.60,200.00,,,200.00,120.00,150.00,-160.00,150.00,180.00,-205.00,205.00,205.00,555.00,93,Open,SBD,M,Sngle-ply
4,Lars Knops,89.90,155.00,165.00,-175.00,165.00,135.00,142.50,150.00,150.00,205.00,220.00,-230.00,220.00,535.00,93,Open,SBD,M,Sngle-ply
1,Pjotr vd Hoek,104.80,285.00,300.00,310.00,310.00,190.00,197.50,-200.00,197.50,285.00,295.00,297.50,297.50,805.00,105,Open,SBD,M,Sngle-ply
2,Floris van Melis,104.00,285.00,-300.00,300.00,300.00,217.50,225.00,-230.00,225.00,265.00,275.00,277.50,277.50,802.50,105,Open,SBD,M,Sngle-ply
3,Sven de Houting,98.50,280.00,300.00,-310.00,300.00,180.00,-187.50,,180.00,255.00,270.00,-280.00,270.00,750.00,105,Open,SBD,M,Sngle-ply
4,Anton de Wit,103.80,225.00,235.00,240.00,240.00,180.00,190.00,-195.00,190.00,230.00,250.00,257.50,257.50,687.50,105,Open,SBD,M,Sngle-ply
5,Marthijn Leeuwenkamp,101.70,235.00,247.50,252.50,252.50,157.50,-162.50,-162.50,157.50,240.00,252.50,260.00,260.00,652.50,105,Open,SBD,M,Sngle-ply
6,F. Galarce Morales,101.50,200.00,210.00,220.00,220.00,185.00,-192.50,-192.50,185.00,190.00,200.00,210.00,210.00,615.00,105,Open,SBD,M,Sngle-ply
7,Jochem Schaap,99.80,160.00,170.00,180.00,180.00,160.00,167.50,170.00,170.00,160.00,170.00,180.00,180.00,530.00,105,Open,SBD,M,Sngle-ply
