Name,Division,Tested,BodyweightLBS,WeightClassLBS,Age,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,Total,State,Equipment,Event,Place
Amber Duenkel,Open,Yes,113.6,114,23,195,205,225,235,225,115,125,-130,,125,275,-285,290,,290,640,MO,Wraps,SBD,1
Grace Bramman,Open,Yes,156.8,165,29,250,265,-275,,265,150,160,-170,,160,320,340,-350,,340,765,MO,Wraps,SBD,1
Jenni Schook,Open,Yes,177,181,36,315,335,-355,,335,190,205,215,220,215,315,335,365,,365,915,MO,Wraps,SBD,1
Lyndsay Swafford,Open,Yes,172.8,181,28,185,210,-245,,210,135,145,155,,155,285,310,350,,350,715,MO,Wraps,SBD,2
Michayla Brockert,Open,Yes,180.8,181,19,165,185,-205,,185,135,-160,-160,,135,265,-290,-290,,265,585,MO,Wraps,SBD,3
Jessica Cuba,Open,Yes,184.8,198,38,275,295,-315,,295,135,145,155,165,155,315,325,330,,330,780,MO,Wraps,SBD,1
Samantha Byington,Open,Yes,202.2,220,30,300,310,-320,,310,165,175,190,,190,300,320,-355,,320,820,MO,Wraps,SBD,1
Amber Duenkel,Police & Fire,Yes,113.6,114,23,195,205,225,235,225,115,125,-130,,125,275,-285,290,,290,640,MO,Wraps,SBD,1
Stacie Korte,Master (55-59),Yes,181.2,181,56,165,185,200,,200,125,-140,145,,145,255,285,305,,305,650,MO,Wraps,SBD,1
Jenni Schook,Submaster (33-39),Yes,177,181,36,315,335,-355,,335,190,205,215,,215,315,335,365,,365,915,MO,Wraps,SBD,1
Jessica Cuba,Submaster (33-39),Yes,184.8,198,38,275,295,-315,,295,135,145,155,,155,315,325,330,,330,780,MO,Wraps,SBD,2
Lori Ventimiglia,Submaster (33-39),Yes,186.2,198,37,190,205,-220,,205,100,110,-115,,110,215,240,250,,250,565,MO,Wraps,SBD,3
Jazsmine DeClue,Junior (20-23),Yes,156.4,165,22,-235,-255,-255,,,135,-160,-160,,135,265,-290,-290,,265,0,MO,Wraps,SBD,DQ
Michayla Brockert,Teenage (18-19),Yes,180.8,181,19,165,185,-205,,185,135,-160,-160,,135,265,-290,-290,,265,585,MO,Wraps,SBD,1
Sammi Voss,Youth (11-12),Yes,155.8,165,12,135,-165,-165,,135,75,90,-105,,90,165,200,235,-250,235,460,KS,Wraps,SBD,1
Amy Lee,Master (45-49),Yes,,,45,,,,,,,,,,,,,,,,,MO,Wraps,SBD,0
Quinn Vaka,Youth (9-10),Yes,81,114,9,55,65,75,,75,35,45,-50,,45,95,110,120,130,120,250,KS,Wraps,SBD,1
Ivan Plunk,Youth (11-12),Yes,112.4,114,12,180,190,205,,205,110,120,130,,130,200,245,-265,,245,580,AR,Wraps,SBD,1
Spencer Vaka,Teenage (13-15),Yes,131.4,132,13,100,125,140,,140,70,85,-95,,85,170,185,195,205,195,420,KS,Wraps,SBD,3
Richard Snow,Master (50-54),Yes,142,148,51,215,-255,255,,255,175,-205,210,,210,265,290,310,320,310,775,MO,Wraps,SBD,1
Robert Crain,Submaster (33-39),No,162.2,165,37,500,-545,-545,,500,300,-315,315,,315,455,475,500,,500,1315,MO,Wraps,SBD,1
Robert Crain,Open,No,162.2,165,37,500,-545,-545,,500,300,-315,315,,315,455,475,500,,500,1315,MO,Wraps,SBD,1
Carl Smith Jr.,Open,Yes,155,165,22,405,440,-455,,440,300,310,-315,,310,420,450,470,,470,1220,MS,Wraps,SBD,1
Brett Snow,Open,Yes,162,165,25,385,420,435,,435,280,300,315,-325,315,425,455,470,,470,1220,MO,Wraps,SBD,2
Cole Sensel,Teenage (13-15),Yes,149.4,165,15,225,255,270,,270,140,165,175,180,175,295,325,350,,350,795,MO,Wraps,SBD,1
Brodie Scott,Teenage (13-15),Yes,155.6,165,15,185,225,255,,255,155,165,-175,,165,320,350,375,385,375,795,KS,Wraps,SBD,2
Spencer Vaka,Teenage (13-15),Yes,131.4,132,13,100,125,140,,140,70,85,-95,,85,170,185,195,205,195,420,KS,Wraps,SBD,3
Payton Ireland,Open,Yes,179.2,181,20,495,525,550,,550,345,360,-370,,360,585,620,635,645,635,1545,MO,Wraps,SBD,1
Kevin Chapman,Master I.,No,179.2,181,42,405,-420,-420,,405,235,250,-265,,250,455,475,485,-500,485,1140,MO,Wraps,SBD,1
Payton Ireland,Junior by Formula,Yes,179.2,181,20,495,525,550,,550,345,360,-370,,360,585,620,635,,635,1545,MO,Wraps,SBD,1
Carl Smith Jr,Junior by Formula,Yes,155,165,22,405,440,-455,,440,300,310,-315,,310,420,450,470,,470,1220,MS,Wraps,SBD,2
Riley Emmenegger,Teenage (18-19),Yes,175.8,181,18,380,-390,-390,,380,245,-255,-255,,245,405,455,-485,,455,1080,MO,Wraps,SBD,1
Ryan Hambrick,Open,No,193.8,198,27,475,510,535,,535,285,305,-320,,305,545,-585,585,,585,1425,MO,Wraps,SBD,1
Corey Saylor,Open,No,195.6,198,31,-465,465,-485,,465,315,-325,325,,325,500,520,530,,530,1320,AR,Wraps,SBD,2
Nick Roloff,Open,Yes,198,198,22,405,435,455,,455,275,-315,315,,315,-545,565,-610,,565,1335,MO,Wraps,SBD,1
Nathan Plunk,Submaster (33-39),Yes,197.2,198,37,500,525,540,,540,320,330,-340,,330,480,510,520,-535,520,1390,AR,Wraps,SBD,1
Henry Franklin,Submaster (33-39),Yes,235.6,242,33,405,435,450,,450,255,-265,-265,,255,420,445,465,,465,1170,MO,Wraps,SBD,2
