Place,Name,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment
1,Igor Kim,J,44,90,100,-105,100,,50,55,-57.5,55,,110,120,-125,120,275,52,M,Ігор Кім,1985,SBD,Single-ply
2,Volodymyr Korokhov,J,43,85,92.5,100,100,,40,45,47.5,47.5,,90,100,105,105,252.5,52,M,Володимир Корохов,1987,SBD,Single-ply
3,Yuriy Kerdyashev,J,44.8,85,90,97.5,97.5,,40,42.5,-45,42.5,,75,82.5,90,90,230,52,M,Юрій Кердяшев,1987,SBD,Single-ply
1,Igor Kim,O,44,90,100,-105,100,,50,55,-57.5,55,,110,120,-125,120,275,52,M,Ігор Кім,1985,SBD,Single-ply
2,Volodymyr Korokhov,O,43,85,92.5,100,100,,40,45,47.5,47.5,,90,100,105,105,252.5,52,M,Володимир Корохов,1987,SBD,Single-ply
3,Yuriy Kerdyashev,O,44.8,85,90,97.5,97.5,,40,42.5,-45,42.5,,75,82.5,90,90,230,52,M,Юрій Кердяшев,1987,SBD,Single-ply
1,Oleksiy Udaltsov,J,55,150,-170,-190,150,,80,85,-90,85,,150,157.5,160,160,395,56,M,Олексій Удальцов,1981,SBD,Single-ply
2,Anatoliy Karelin,J,55.7,-115,115,-120,115,,80,-85,-85,80,,125,130,-140,130,325,56,M,Анатолій Карелін,1984,SBD,Single-ply
3,Amet Bayramov,J,56,90,100,-105,100,,60,65,-70,65,,120,130,135,135,300,56,M,Амет Байрамов,1987,SBD,Single-ply
4,Yevgen Pavlenko,J,55.6,70,-82.5,-90,70,,45,-50,-50,45,,90,100,110,110,225,56,M,Євген Павленко,1983,SBD,Single-ply
1,Oleksiy Udaltsov,O,55,150,-170,-190,150,,80,85,-90,85,,150,157.5,160,160,395,56,M,Олексій Удальцов,1981,SBD,Single-ply
2,Anatoliy Karelin,O,55.7,-115,115,-120,115,,80,-85,-85,80,,125,130,-140,130,325,56,M,Анатолій Карелін,1984,SBD,Single-ply
3,Amet Bayramov,O,56,90,100,-105,100,,60,65,-70,65,,120,130,135,135,300,56,M,Амет Байрамов,1987,SBD,Single-ply
4,Yevgen Pavlenko,O,55.6,70,-82.5,-90,70,,45,-50,-50,45,,90,100,110,110,225,56,M,Євген Павленко,1983,SBD,Single-ply
1,Dmytro Burmistrov,J,60,170,180,192.5,192.5,206,100,105,110,110,,-150,165,-172.5,165,467.5,60,M,Дмитро Бурмістров,1987,SBD,Single-ply
2,Denis Kovalenko,J,60,140,-150,-150,140,,75,80,-85,80,,165,170,175,175,395,60,M,Денис Коваленко,1982,SBD,Single-ply
3,Mykola Rusovich,J,60,-115,120,130,130,,90,-95,-95,90,,145,150,157.5,157.5,377.5,60,M,Микола Русович,1983,SBD,Single-ply
4,Igor Shapoval,J,60,100,110,115,115,,65,75,-77.5,75,,145,165,170,170,360,60,M,Ігор Шаповал,1984,SBD,Single-ply
5,Borys Lebedyntsev,J,60,120,127.5,135,135,,65,70,-75,70,,140,145,-152.5,145,350,60,M,Борис Лебединцев,1983,SBD,Single-ply
6,Mykola Shpakovskyy,J,59.5,-90,90,100,100,,50,55,-57.5,55,,120,125,132.5,132.5,287.5,60,M,Микола Шпаковський,1984,SBD,Single-ply
1,Yuriy Tymokhin,O,60,175,185,195,195,,110,120,-125,120,,175,185,-195,185,500,60,M,Юрій Тимохін,1967,SBD,Single-ply
2,Dmytro Burmistrov,O,60,170,180,192.5,192.5,,100,105,110,110,,-150,165,-172.5,165,467.5,60,M,Дмитро Бурмістров,1987,SBD,Single-ply
3,Denis Kovalenko,O,60,140,-150,-150,140,,75,80,-85,80,,165,170,175,175,395,60,M,Денис Коваленко,1982,SBD,Single-ply
4,Mykola Rusovich,O,60,-115,120,130,130,,90,-95,-95,90,,145,150,157.5,157.5,377.5,60,M,Микола Русович,1983,SBD,Single-ply
5,Igor Shapoval,O,60,100,110,115,115,,65,75,-77.5,75,,145,165,170,170,360,60,M,Ігор Шаповал,1984,SBD,Single-ply
6,Borys Lebedyntsev,O,60,120,127.5,135,135,,65,70,-75,70,,140,145,-152.5,145,350,60,M,Борис Лебединцев,1983,SBD,Single-ply
7,Mykola Shpakovskyy,O,59.5,-90,90,100,100,,50,55,-57.5,55,,120,125,132.5,132.5,287.5,60,M,Микола Шпаковський,1984,SBD,Single-ply
1,Vyacheslav Kravchenko,J,66.8,170,-180,180,180,,107.5,-115,115,115,,185,192.5,197.5,197.5,492.5,67.5,M,В'ячеслав Кравченко,1982,SBD,Single-ply
2,Artem Trofimov,J,67.3,-170,-170,170,170,,90,97.5,100,100,,180,190,-202.5,190,460,67.5,M,Артем Трофімов,1983,SBD,Single-ply
3,Oleksandr Garnichev,J,67.5,-150,160,-170,160,,105,110,-115,110,,170,180,190,190,460,67.5,M,Олександр Гарнічев,1982,SBD,Single-ply
4,Anatoliy Andruschak,J,67,150,160,-167.5,160,,90,-95,95,95,,160,170,-175,170,425,67.5,M,Анатолій Андрущак,1985,SBD,Single-ply
5,Denys Shteyko,J,64.2,120,-125,-125,120,,90,95,,95,,160,-170,170,170,385,67.5,M,Денис Штейко,1981,SBD,Single-ply
6,Andriy Chukhalev,J,67.3,120,130,-140,130,,95,-100,,95,,152.5,160,-165,160,385,67.5,M,Андрій Чухалєв,1983,SBD,Single-ply
7,Oleksandr Sokolov,J,63.5,-120,-130,130,130,,80,-87.5,-95,80,,140,-150,-170,140,350,67.5,M,Олександр Соколов,1983,SBD,Single-ply
8,Yevgen Gordiyenko,J,66.15,110,-120,-120,110,,50,55,-60,55,,140,150,157.5,157.5,322.5,67.5,M,Євген Гордієнко,1983,SBD,Single-ply
9,Timur Khalilov,J,66.25,105,110,-115,110,,60,-65,-65,60,,120,130,,130,300,67.5,M,Тімур Халілов,1986,SBD,Single-ply
10,Valentyn Zhigalev,J,63.5,90,-105,105,105,,55,60,-67.5,60,,100,110,125,125,290,67.5,M,Валентин Жигалєв,1984,SBD,Single-ply
1,Yuriy Nikolov,O,67.1,165,175,180,180,,120,125,127.5,127.5,,180,190,195,195,502.5,67.5,M,Юрій Ніколов,1973,SBD,Single-ply
2,Vyacheslav Kravchenko,O,66.8,170,-180,180,180,,107.5,-115,115,115,,185,192.5,197.5,197.5,492.5,67.5,M,В'ячеслав Кравченко,1982,SBD,Single-ply
3,Yaroslav Knyazev,O,65.2,-175,-175,175,175,,102.5,107.5,-110,107.5,,190,-200,-205,190,472.5,67.5,M,Ярослав Князєв,1977,SBD,Single-ply
4,Artem Trofimov,O,67.3,-170,-170,170,170,,90,97.5,100,100,,180,190,-202.5,190,460,67.5,M,Артем Трофімов,1983,SBD,Single-ply
5,Oleksandr Garnichev,O,67.5,-150,160,-170,160,,105,110,-115,110,,170,180,190,190,460,67.5,M,Олександр Гарнічев,1982,SBD,Single-ply
6,Anatoliy Andruschak,O,67,150,160,-167.5,160,,90,-95,95,95,,160,170,-175,170,425,67.5,M,Анатолій Андрущак,1985,SBD,Single-ply
7,Denys Shteyko,O,64.2,120,-125,-125,120,,90,95,,95,,160,-170,170,170,385,67.5,M,Денис Штейко,1981,SBD,Single-ply
8,Andriy Chukhalev,O,67.3,120,130,-140,130,,95,-100,,95,,152.5,160,-165,160,385,67.5,M,Андрій Чухалєв,1983,SBD,Single-ply
9,Oleksandr Sokolov,O,63.5,-120,-130,130,130,,80,-87.5,-95,80,,140,-150,-170,140,350,67.5,M,Олександр Соколов,1983,SBD,Single-ply
10,Yevgen Gordiyenko,O,66.15,110,-120,-120,110,,50,55,-60,55,,140,150,157.5,157.5,322.5,67.5,M,Євген Гордієнко,1983,SBD,Single-ply
11,Timur Khalilov,O,66.25,105,110,-115,110,,60,-65,-65,60,,120,130,,130,300,67.5,M,Тімур Халілов,1986,SBD,Single-ply
12,Valentyn Zhigalev,O,63.5,90,-105,105,105,,55,60,-67.5,60,,100,110,125,125,290,67.5,M,Валентин Жигалєв,1984,SBD,Single-ply
1,Oleksandr Rud',J,70,150,165,175,175,,95,-105,,95,,160,180,200,200,470,75,M,Олександр Рудь,1983,SBD,Single-ply
2,Oleg Kantserev,J,73.7,130,145,-152.5,145,,80,92.5,105,105,,150,165,190,190,440,75,M,Олег Канцерев,1982,SBD,Single-ply
3,Roman Shikhatov,J,73.7,140,150,160,160,,80,85,90,90,,175,185,,185,435,75,M,Роман Шихатов,1984,SBD,Single-ply
4,Vitaliy Logachov,J,70.5,130,140,147.5,147.5,,-75,80,82.5,82.5,,150,155,,155,385,75,M,Віталій Логачов,1984,SBD,Single-ply
5,Roman Shpetnyy,J,69,110,-120,-130,110,,-95,-95,95,95,,130,140,150,150,355,75,M,Роман Шпетний,1983,SBD,Single-ply
1,Petro Kravtsov,O,74.6,250,-270,270,270,,130,135,140,140,,210,220,,220,630,75,M,,1946,SBD,Single-ply
2,Oleksandr Zorin,O,75,170,180,192.5,192.5,,120,130,137.5,137.5,,180,-190,,180,510,75,M,Олександр Зорін,1976,SBD,Single-ply
3,Dmitriy Ogorodnik,O,73.7,150,160,165,165,,-135,135,-140,135,,195,200,202.5,202.5,502.5,75,M,Дмитрий Огородник,1977,SBD,Single-ply
4,Oleksandr Rud',O,70,150,165,175,175,,95,-105,,95,,160,180,200,200,470,75,M,Олександр Рудь,1983,SBD,Single-ply
5,Vyacheslav Laptev,O,72.5,-170,170,190,190,,80,85,-90,85,,170,180,-191,180,455,75,M,В'ячеслав Лаптєв,1940,SBD,Single-ply
6,Oleg Kantserev,O,73.7,130,145,-152.5,145,,80,92.5,105,105,,150,165,190,190,440,75,M,Олег Канцерев,1982,SBD,Single-ply
7,Roman Shikhatov,O,73.7,140,150,160,160,,80,85,90,90,,175,185,,185,435,75,M,Роман Шихатов,1984,SBD,Single-ply
8,Vitaliy Logachov,O,70.5,130,140,147.5,147.5,,-75,80,82.5,82.5,,150,155,,155,385,75,M,Віталій Логачов,1984,SBD,Single-ply
9,Roman Shpetnyy,O,69,110,-120,-130,110,,-95,-95,95,95,,130,140,150,150,355,75,M,Роман Шпетний,1983,SBD,Single-ply
1,Roman Manuylov,J,79.5,230,-240,240,240,,160,-171,,160,,262.5,270,275,275,675,82.5,M,Роман Мануйлов,1979,SBD,Single-ply
2,Dmytro Kogotkov,J,80.9,210,-220,-220,210,,150,-155,-155,150,,-220,220,222.5,222.5,582.5,82.5,M,Дмитро Коготков,1983,SBD,Single-ply
3,Igor Sergienko,J,82.1,190,-202.5,210,210,,120,-132.5,135,135,,202.5,215,-217.5,215,560,82.5,M,Ігор Сергієнко,1984,SBD,Single-ply
4,Andriy Belotserkovskyy,J,80.3,-150,160,165,165,,120,125,130,130,,210,220,230,230,525,82.5,M,Андрій Белоцерковський,1980,SBD,Single-ply
