Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
S. Hopkins,52,Open,M,175,125,,200,500,SBD,Single-ply,1
R. Perry,56,Open,M,415,225,,440,1080,SBD,Single-ply,1
T. Mikles,67.5,Open,M,,275,,,275,B,Single-ply,1
G. Permetter,75,Open,M,510,280,,555,1345,SBD,Single-ply,1
C. Mathey,75,Open,M,470,360,,520,1330,SBD,Single-ply,2
D. Blankenship,75,Open,M,405,225,,425,1050,SBD,Single-ply,4
M. George,75,Open,M,315,200,,355,870,SBD,Single-ply,5
T. Russell,75,Open,M,450,305,,500,1255,SBD,Single-ply,3
Rickey Dale Crain,82.5,Open,M,,400,420,,400,B,Single-ply,1
J. Chumley,90,Open,M,,,,470,470,D,Single-ply,1
G. James,100,Open,M,,325,,,325,B,Single-ply,1
T. Mason,125,Open,M,425,410,,470,1295,SBD,Single-ply,1
B. Taylor,125+,Open,M,650,425,,575,1650,SBD,Single-ply,1
J. Pugh,125+,Open,M,,505,,,505,B,Single-ply,1
