Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Division,Sex,Event,Equipment,WeightClassKg
1,Inna Ivleva,Инна Ивлева,1976,46,75,40,105,220,Open,F,SBD,Single-ply,48
2,Olga Kornienko,Ольга Корниенко,1970,46.3,65,37.5,80,182.5,Open,F,SBD,Single-ply,48
1,Mariya Nikitina,Мария Никитина,1974,48.4,40,30,50,120,Open,F,SBD,Single-ply,52
1,Larisa Ivanova,Лариса Иванова,1963,55.2,115,60,110,285,Open,F,SBD,Single-ply,56
2,Svetlana Poplavskaya,Светлана Поплавская,1966,53.4,100,55,110,265,Open,F,SBD,Single-ply,56
DQ,Valentina Maslyanchuk,Валентина Маслянчук,1956,54.2,100,55,,,Open,F,SBD,Single-ply,56
1,Kseniya Trofimtsova,Ксения Трофимцова,1969,60,105,60,137.5,305,Open,F,SBD,Single-ply,60
2,Lidiya Mashtal,Лидия Машталь,1957,58.8,85,50,115,250,Open,F,SBD,Single-ply,60
1,Tatyana Pakholyuk,Татьяна Пахолюк,1973,63.6,80,55,85,220,Open,F,SBD,Single-ply,67.5
1,Inna Orobets,Инна Оробец,1971,73.1,110,70,120,300,Open,F,SBD,Single-ply,75
2,Svetlana Konobridskaya,Светлана Конобридская,1971,73,90,45,115,250,Open,F,SBD,Single-ply,75
1,Lyudmila Gayduchenko,Людмила Гайдученко,1966,81.8,170,115,200,485,Open,F,SBD,Single-ply,82.5
1,Aleksandr Degovets,Александр Деговец,1966,51.6,200,115,185,500,Open,M,SBD,Single-ply,52
2,Nikolay Shkurinskiy,Николай Шкуринский,1976,49.1,117.5,70,150,337.5,Open,M,SBD,Single-ply,52
3,Vitaliy Gurtovoy,Виталий Гуртовой,1974,51.6,105,75,140,320,Open,M,SBD,Single-ply,52
4,Vasiliy Dudkin,Василий Дудкин,1974,51,105,65,130,300,Open,M,SBD,Single-ply,52
5,Sergey Mikhaylov,Сергей Михайлов,1974,50.3,97.5,62.5,125,277.5,Open,M,SBD,Single-ply,52
6,Mikhail Buletsa,Михаил Булеца,1977,50.6,105,55,115,275,Open,M,SBD,Single-ply,52
1,Sergey Vatyuk,Сергей Ватюк,1962,55.5,175,125,202.5,502.5,Open,M,SBD,Single-ply,56
2,Vitaliy Arsenev,Виталий Арсеньев,1963,55.1,130,102.5,165,397.5,Open,M,SBD,Single-ply,56
3,Andrey Panasovskiy,Андрей Панасовский,1976,56,135,77.5,150,362.5,Open,M,SBD,Single-ply,56
4,Mark Shafirov,Марк Шафиров,1969,55.5,105,95,137.5,337.5,Open,M,SBD,Single-ply,56
5,Aleksandr Doroshenko,Александр Дорошенко,1977,53.5,122.5,57.5,135,315,Open,M,SBD,Single-ply,56
1,Vladimir Petrakov,Владимир Петраков,1972,60,195,125,210,530,Open,M,SBD,Single-ply,60
2,Andrey Koval,Андрей Коваль,1970,60,190,107.5,200,497.5,Open,M,SBD,Single-ply,60
3,Viktor Khurudzhi,Виктор Хуруджи,1975,59.8,162.5,90,157.5,410,Open,M,SBD,Single-ply,60
4,Stanislav Tikhonenko,Станислав Тихоненко,1966,59.8,130,105,165,390,Open,M,SBD,Single-ply,60
DQ,Leonid Panasenko,Леонид Панасенко,1964,59,,,,,Open,M,SBD,Single-ply,60
1,Aleksandr Chernyshov,Александр Чернышов,1966,67.35,212.5,145,200,557.5,Open,M,SBD,Single-ply,67.5
2,Aleksandr Nesterenko,Александр Нестеренко,1953,67,200,120,210,530,Open,M,SBD,Single-ply,67.5
3,Vladimir Ardelyan,Владимир Арделян,1968,67.5,167.5,115,210,492.5,Open,M,SBD,Single-ply,67.5
4,Vitaliy Chernukha,Виталий Чернуха,1960,67.5,157.5,122.5,190,470,Open,M,SBD,Single-ply,67.5
5,Mikhail Rozhenko,Михаил Роженко,1974,65.5,160,105,200,467.5,Open,M,SBD,Single-ply,67.5
6,Sergey Teshu,Сергей Тешу,1976,67.4,170,95,180,445,Open,M,SBD,Single-ply,67.5
7,Yuriy Yurkiv,Юрий Юркив,1973,67.3,150,105,180,435,Open,M,SBD,Single-ply,67.5
DQ,Viktor Grab,Виктор Граб,1966,66.1,,,,,Open,M,SBD,Single-ply,67.5
DQ,Viktor Fomenko,Виктор Фоменко,1968,67.25,,,,,Open,M,SBD,Single-ply,67.5
DQ,Yuriy Denisenko,Юрий Денисенко,1973,65.5,,,,,Open,M,SBD,Single-ply,67.5
DQ,Nikolay Ogly,Николай Оглы,1949,67.5,,,,,Open,M,SBD,Single-ply,67.5
1,Aleksandr Slatenkov,Александр Слатенков,1966,74.8,230,142.5,290.5,662.5,Open,M,SBD,Single-ply,75
2,Yuriy Pigarev,Юрий Пигарев,1962,74.6,215,162.5,260,637.5,Open,M,SBD,Single-ply,75
3,Roman Zuzuk,Роман Зузук,1971,72.5,225,155,240,620,Open,M,SBD,Single-ply,75
4,Sirazhutdin Bazaev,Сиражутдин Базаев,1968,73.3,235.5,140,245,620,Open,M,SBD,Single-ply,75
5,Sergey Romanenko,Сергей Романенко,1972,74.2,225,135,235,595,Open,M,SBD,Single-ply,75
6,Igor Savyuk,Игорь Савюк,1958,72.3,200,140,250,590,Open,M,SBD,Single-ply,75
7,Vladimir Elin,Владимир Елин,1965,74.5,220,160,180,560,Open,M,SBD,Single-ply,75
8,Valentin Mogilenets,Валентин Могиленец,1968,72.8,220,110,220,550,Open,M,SBD,Single-ply,75
9,Nikolay Solovykh,Николай Соловых,1963,74.1,180,140,230,550,Open,M,SBD,Single-ply,75
10,Aleksandr Lukyanenko,Александр Лукьяненко,1960,74.5,200,140,200,540,Open,M,SBD,Single-ply,75
11,Renat Zaripov,Ренат Зарипов,1970,74.7,180,140,215,535,Open,M,SBD,Single-ply,75
12,Anatoliy Lebedev,Анатолий Лебедев,1960,74.6,170,145,215,530,Open,M,SBD,Single-ply,75
13,Oleg Nertik,Олег Нертик,1965,73.8,195,110,220,525,Open,M,SBD,Single-ply,75
1,Yuriy Yurtaev,Юрий Юртаев,1961,79,240,175,277.5,692.5,Open,M,SBD,Single-ply,82.5
2,Vladimir Ukhach,Владимир Ухач,1960,81,250,190,245,685,Open,M,SBD,Single-ply,82.5
3,Andrey Yashchenko,Андрей Ященко,1966,81.75,245,170,245,660,Open,M,SBD,Single-ply,82.5
4,Vladimir Leshchenko,Владимир Лещенко,1946,82,237.5,155,220,612.5,Open,M,SBD,Single-ply,82.5
5,Vladimir Sinenkiy,Владимир Синенький,1961,82.4,210,170,230,610,Open,M,SBD,Single-ply,82.5
6,Vladimir Protsenko,Владимир Проценко,1958,80.6,200,145,250,595,Open,M,SBD,Single-ply,82.5
7,Oleg Sheptalin,Олег Шепталин,1962,75.05,220,130,210,560,Open,M,SBD,Single-ply,82.5
8,Igor Pavlovskiy,Игорь Павловский,1967,81.8,192.5,130,220,542.5,Open,M,SBD,Single-ply,82.5
9,Vasiliy Melnichenko,Василий Мельниченко,1969,81.9,200,120,220,540,Open,M,SBD,Single-ply,82.5
10,Ruslan Bazhan,Руслан Бажан,1969,81.3,180,135,205,520,Open,M,SBD,Single-ply,82.5
11,Viktor Vergelis,Виктор Вергелис,1970,81.3,177.5,130,210,517.5,Open,M,SBD,Single-ply,82.5
12,Oleg Palamarchuk,Олег Паламарчук,1972,81,170,130,190,490,Open,M,SBD,Single-ply,82.5
DQ,Anatoliy Sinkevich,Анатолий Синькевич,1973,82.2,,,,,Open,M,SBD,Single-ply,82.5
DQ,Igor Grabovskiy,Игорь Грабовский,1968,81,,,,,Open,M,SBD,Single-ply,82.5
DQ,Oleg Zbyshevskiy,Олег Збышевский,1965,80.45,,,,,Open,M,SBD,Single-ply,82.5
1,Sergey Ivanov,Сергей Иванов,1956,86.75,260,187.5,285,732.5,Open,M,SBD,Single-ply,90
2,Aleksandr Kotendzhi,Александр Котенджи,1964,87.3,280,162.5,267.5,710,Open,M,SBD,Single-ply,90
3,Nikolay Safoshin,Николай Сафошин,1966,89.55,260,180,270,710,Open,M,SBD,Single-ply,90
4,Oleg Korolev,Олег Королев,1971,89.1,265,165,265,690,Open,M,SBD,Single-ply,90
5,Vasiliy Vatolin,Василий Ватолин,1959,88.7,230,190,230,650,Open,M,SBD,Single-ply,90
6,Aleksandr Shevchenko,Александр Шевченко,1964,89.3,220,165,255,640,Open,M,SBD,Single-ply,90
7,Yuriy Ponomarenko,Юрий Пономаренко,1960,90,230,150,240,620,Open,M,SBD,Single-ply,90
8,Yaroslav Chala,Ярослав Чала,1948,88.85,220,155,240,615,Open,M,SBD,Single-ply,90
9,Evgeniy Kobzar,Евгений Кобзарь,1963,88.35,200,145,260,605,Open,M,SBD,Single-ply,90
10,Oleg Kostyrko,Олег Костырко,1961,89.55,210,165,205,580,Open,M,SBD,Single-ply,90
DQ,Gennadiy Vorobev,Геннадий Воробьев,1961,89.5,,,,,Open,M,SBD,Single-ply,90
DQ,Vyacheslav Orikhovskiy,Вячеслав Ориховский,1961,89.5,,,,,Open,M,SBD,Single-ply,90
1,Viktor Ganchur,Виктор Ганчур,1958,91.2,290,180,320,790,Open,M,SBD,Single-ply,100
2,Nikolay Melnikov,Николай Мельников,1963,98.85,262.5,175,287.5,725,Open,M,SBD,Single-ply,100
3,Aleksandr Khodov,Александр Ходов,1967,99.5,260,165,300,725,Open,M,SBD,Single-ply,100
3,Oleg Mrinskiy,Олег Мринский,1966,99.5,240,180,305,725,Open,M,SBD,Single-ply,100
5,Sergey Chernyshov,Сергей Чернышов,1956,94.15,252.5,165,300,717.5,Open,M,SBD,Single-ply,100
6,Boris Zherebtsov,Борис Жеребцов,1938,97,255,167.5,290,712.5,Open,M,SBD,Single-ply,100
7,Yaroslav Tristan,Ярослав Тристан,1972,97.8,250,155,280,685,Open,M,SBD,Single-ply,100
8,Dmitriy Kovalchuk,Дмитрий Ковальчук,1968,94.4,250,160,270,680,Open,M,SBD,Single-ply,100
9,Viktor Karpenko,Виктор Карпенко,1960,99.75,260,125,270,655,Open,M,SBD,Single-ply,100
10,Ruslan Dubovoy,Руслан Дубовой,1963,98,220,140,260,620,Open,M,SBD,Single-ply,100
11,Igor Antipenko,Игорь Антипенко,1968,98.75,225,135,245,600,Open,M,SBD,Single-ply,100
12,Anatoliy Maliy,Анатолий Малий,1967,99.1,225,130,245,600,Open,M,SBD,Single-ply,100
13,Ivan Alfavitskiy,Иван Альфавицкий,1955,97.25,220,150,210,580,Open,M,SBD,Single-ply,100
1,Viktor Naleykin,Виктор Налейкин,1953,109.9,335,187.5,335,857.5,Open,M,SBD,Single-ply,110
2,Viktor Pirogov,Виктор Пирогов,1956,108.5,295,185,287.5,757.5,Open,M,SBD,Single-ply,110
3,Anatoliy Koshelap,Анатолий Кошелап,1955,107.35,255,210,285,750,Open,M,SBD,Single-ply,110
4,Anatoliy Mishkovskiy,Анатолий Мишковский,1962,109.9,240,190,230,660,Open,M,SBD,Single-ply,110
5,Sergey Grishin,Сергей Гришин,1967,105.15,210,160,250,620,Open,M,SBD,Single-ply,110
1,Yuriy Spinov,Юрий Спинов,1962,122.5,345,160,350.5,855,Open,M,SBD,Single-ply,125
2,Valeriy Dergach,Валерий Дергач,1956,118.95,290,200,275,765,Open,M,SBD,Single-ply,125
3,Vadim Kuzovlev,Вадим Кузовлев,1966,112.2,260,195,270,725,Open,M,SBD,Single-ply,125
4,Evgeniy Melnichenko,Евгений Мельниченко,1966,117.2,260,170,290,720,Open,M,SBD,Single-ply,125
5,Konstantin Titov,Константин Титов,1972,119.15,215,125,240,580,Open,M,SBD,Single-ply,125
1,Yuriy Zabolotnyy,Юрий Заболотный,1958,140,345,202.5,340,887.5,Open,M,SBD,Single-ply,125+
2,Andrey Radchenko,Андрей Радченко,1973,125.5,260,145,282.5,687.5,Open,M,SBD,Single-ply,125+
