Name,Division,BodyWeightLBS,WeightClassLBS,State,Bench3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Equipment,Event,Sex
Sharmaree Burse,Teen 18-19,165.2,165,MS,520,340,520,1380,Multi,SBD,F
Shamar Burse,Teen 18-19,178.4,181,MS,520,330,530,1380,Multi,SBD,F
Jason Porter,Police/Fire,163.6,165,MS,330,235,385,950,Wraps,SBD,F
Scott Pope,Juniors 20-23,157,165,MS,355,225,425,1005,Multi,SBD,F
Ciara Harmon,Teen 13-15,112.6,114,MS,300,130,290,720,Multi,SBD,F
Charla Clarke,Masters 50-59,191.2,198,MS,200,165,200,565,Wraps,SBD,F
Lou Alex,Masters 40-49,206,198+,MS,270,210,350,830,Wraps,SBD,F
Amanda Reed,Submasters 33-39,333,198+,MS,375,165,400,940,Wraps,SBD,F
Reva Coate,Open,137.4,148,MS,155,95,235,485,Multi,SBD,F
Amanda Pate,Open,123.4,123,AL,250,135,305,690,Wraps,SBD,F
Amanda Belk,Open,129.4,132,MS,250,125,325,700,Wraps,SBD,F
Amanda Reed,Open,333,198+,MS,375,165,400,940,Wraps,SBD,F
Summer Lewis,Open,215.8,198+,AL,305,155,315,775,Wraps,SBD,F
Carlena Clemmons,Open,203.4,198+,MS,275,140,325,740,Wraps,SBD,F
Caitlin Bounds,Open,233,198+,MS,,,,DQ,Wraps,SBD,F
Caitlin Bounds,Teen 18-19,233,198+,MS,,,,DQ,Multi,SBD,F
Jason Porter,Masters 40-49,163.6,165,MS,330,235,385,950,Wraps,SBD,M
Joe Morrow,Open,137,148,MS,470,315,545,1330,Wraps,SBD,M
Markus Baldwin,Open,171.2,181,AL,500,345,600,1445,Wraps,SBD,M
Ty Gregg,Open,199.6,220,MS,375,265,500,1140,Wraps,SBD,M
Codero Bobo,Open,274.6,275,MS,405,385,435,1225,Wraps,SBD,M
Hayden Harbour,Juniors 20-23,269.2,275,MS,575,350,625,1550,Wraps,SBD,M
Hunter DeBusk,Juniors 20-23,233,242,MS,365,325,475,1165,Wraps,SBD,M
LaJohnathan Young,Teen 13-15,151.4,165,MS,225,175,315,715,Wraps,SBD,M
Joe Pirani,Teen 13-15,110.4,114,AL,,,,DQ,Wraps,SBD,M
Andrew Gipson,Open,180.2,181,TN,,345,425,770,Raw,BD,M
Dewayne Franks,Submasters 33-39,331,275+,MS,,630,,,Raw,B,M
Mitch Williams,Masters 40-49,178.8,181,MS,,155,,,Raw,B,M
James Wren,Masters 40-49,298.6,275+,MS,,475,,,Raw,B,M
Atavis Campbell,Submasters 33-39,268.8,275,MS,,450,,,Raw,B,M
