Name,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Sub,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,Sex,Event,Equipment
Joe Catalfamo,51.7,52,358,-391,-391,,231,242,253,611,385,407,418,,1030,M,SBD,Single-ply
Kevin Clemens,50.4,52,391,-413,413,,-203,214,-220,628,374,-396,-402,,1003,M,SBD,Single-ply
Osborn,50.3,52,336,-374,374,,225,242,248,622,314,336,352,,975,M,SBD,Single-ply
Garcia,51.8,52,374,-391,-396,,198,209,214,588,374,-391,-391,,981,M,SBD,Single-ply
Sabella,51.5,52,314,-341,-341,,220,-236,-236,534,374,402,-413,,936,M,SBD,Single-ply
Roger Thompson,51.5,52,264,292,-325,,170,187,-198,479,413,451,-479,479,931,M,SBD,Single-ply
Ruppel,51.9,52,264,292,-303,,-220,231,-236,523,363,402,-413,,925,M,SBD,Single-ply
Miller,51.3,52,319,-336,-336,,236,-259,-259,556,-330,330,-363,,887,M,SBD,Single-ply
Barleen,51.5,52,264,292,-314,,181,198,-209,490,330,374,-385,,865,M,SBD,Single-ply
Soukup,52,52,286,-319,-319,,214,-231,-231,501,325,-352,352,,854,M,SBD,Single-ply
Bourque,50.3,52,-374,-374,-374,,,,,,,,,,,M,SBD,Single-ply
Herb Blake,56,56,440,457,-468,,242,253,259,716,446,473,485,,1201,M,SBD,Single-ply
Ron Hoff,55.6,56,391,-413,413,,264,281,-286,694,429,451,-479,,1146,M,SBD,Single-ply
Fred Higgins,56,56,374,-407,-418,,292,308,-319,683,413,435,-451,,1118,M,SBD,Single-ply
Hunnicutt,55.5,56,363,402,-418,,248,259,,661,352,369,391,,1052,M,SBD,Single-ply
Miguel Castro,55.1,56,319,352,-374,,192,209,214,567,446,462,-485,,1030,M,SBD,Single-ply
Stagg,55.9,56,347,374,-402,,209,-225,225,600,-424,424,-440,,1025,M,SBD,Single-ply
Madigan,53.8,56,325,363,-380,,-187,203,214,578,413,-462,-462,,981,M,SBD,Single-ply
Ken Westbrook,59.5,60,462,-512,512,,225,242,248,760,462,-507,-507,,1223,M,SBD,Single-ply
Brad Olson,59.4,60,451,-479,479,,264,281,-286,733,451,-485,-490,,1184,M,SBD,Single-ply
Karlberg,59.7,60,413,451,462,,203,214,225,688,435,479,-496,,1168,M,SBD,Single-ply
Mason,59.4,60,440,-462,-462,,264,-286,-286,705,435,451,-479,,1157,M,SBD,Single-ply
Sato,59.1,60,418,-435,435,,236,264,-270,699,418,-440,-440,,1118,M,SBD,Single-ply
Pallas,59.7,60,424,-451,-451,,225,-242,-242,650,424,462,-479,,1113,M,SBD,Single-ply
Woo,58.5,60,336,-369,369,,242,259,264,633,418,468,-479,,1102,M,SBD,Single-ply
Ray Benemerito,67.5,67.5,529,551,-567,,347,352,358,909,567,584,-600,,1493,M,SBD,Single-ply
Arrice Charles,66.8,67.5,534,-561,562,,-308,-308,308,870,523,545,556,,1427,M,SBD,Single-ply
Joe Braca,67.5,67.5,490,518,-534,,319,336,-347,854,573,-606,-606,,1427,M,SBD,Single-ply
Dopson,66.7,67.5,485,-511,-518,,292,308,-314,793,573,-595,-611,,1366,M,SBD,Single-ply
Weinstein,66.9,67.5,473,501,-512,,286,-308,-308,787,529,567,-584,,1355,M,SBD,Single-ply
Hammer,67.4,67.5,473,512,-529,,303,319,325,837,473,490,512,,1350,M,SBD,Single-ply
Boillot,67.4,67.5,523,540,356,,303,314,325,865,485,507,523,,1350,M,SBD,Single-ply
Audia,66.9,67.5,435,435,-457,,308,330,-341,765,462,496,518,,1284,M,SBD,Single-ply
Bob Bridges,74.1,75,562,-509,-509,,341,352,-363,914,600,677,705,,1620,M,SBD,Single-ply
David Ricks,73.9,75,584,600,-617,,363,-385,-385,964,600,-622,-622,,1565,M,SBD,Single-ply
Dave Brehm,74.2,75,562,589,-606,,-369,369,-385,959,540,562,-578,,1521,M,SBD,Single-ply
Jim Cope,74.9,75,573,-641,444,,325,341,-358,914,562,600,-611,,1515,M,SBD,Single-ply
Baxter,73.4,75,540,578,-600,,319,336,-341,914,589,-606,-606,,1504,M,SBD,Single-ply
Maslow,71.9,75,529,-567,-567,,281,-319,-319,810,562,611,-638,,1421,M,SBD,Single-ply
Higgins,74.3,75,507,354,-551,,292,-308,308,815,529,562,-589,,1377,M,SBD,Single-ply
Butera,73.9,75,-496,496,540,,325,341,-352,837,473,507,523,,1361,M,SBD,Single-ply
Jay Rosciglione,,75,518,-540,-554,,-308,308,-325,826,,-540,,,1333,M,SBD,Single-ply
Mike Bridges,82.4,82.5,644,-705,738,750,402,451,-468,1190,600,650,705,,1895,M,SBD,Single-ply
Robert Wagner,81.5,82.5,694,733,749,,347,369,-380,1118,600,622,633,,1752,M,SBD,Single-ply
Payne,80.2,82.5,600,633,650,,363,380,-391,1030,650,699,-733,,1730,M,SBD,Single-ply
Jones,80.8,82.5,606,-431,611,,391,-402,-402,997,-606,606,-622,,1603,M,SBD,Single-ply
Betts,82.1,82.5,617,-650,-661,,363,-380,-380,981,617,-639,-644,,1598,M,SBD,Single-ply
Bill Schmidt,82.3,82.5,622,-644,644,,352,-374,-374,975,-622,622,,,1598,M,SBD,Single-ply
Parker,82.2,82.5,556,584,-606,,352,374,380,964,584,622,-644,,1587,M,SBD,Single-ply
Strickland,78.9,82.5,534,573,595,,-358,369,-380,964,551,584,-600,,1548,M,SBD,Single-ply
Brady,82.4,82.5,-622,-622,622,,325,341,-352,964,545,-573,573,,1537,M,SBD,Single-ply
Sample,81.4,82.5,518,-563,561,,308,336,341,859,584,617,-628,,1477,M,SBD,Single-ply
Kusior,81.8,82.5,523,-570,589,,314,325,-330,848,523,-578,-578,,1372,M,SBD,Single-ply
Joe McAuliffe,81.8,82.5,154,,,,418,-440,-440,573,154,,,,727,M,SBD,Single-ply
Franco,80.7,82.5,-563,-573,573,,-358,358,-363,931,,,,,,M,SBD,Single-ply
Henry,82.5,82.5,-509,-509,-589,,,,,,,,,,,M,SBD,Single-ply
William Shannon,87.9,90,600,650,-661,,402,418,-435,1069,705,733,766,,1835,M,SBD,Single-ply
Walter Thomas,89.1,90,540,639,472,,440,479,-490,1118,600,672,-705,,1791,M,SBD,Single-ply
Robert Craft,87.8,90,-611,633,-650,,363,-385,391,1025,639,694,-738,,1719,M,SBD,Single-ply
Richie Wenner,89.7,90,611,639,-664,,413,435,-440,1074,611,639,-650,,1714,M,SBD,Single-ply
Victorian Rival,89.7,90,650,-683,683,,363,380,-396,1063,650,-677,-683,,1714,M,SBD,Single-ply
Parish,85.2,90,622,661,608,,352,-374,374,1036,617,650,-672,,1686,M,SBD,Single-ply
Scheuchl,89.7,90,628,661,-671,,347,-369,369,1030,639,-672,-672,,1669,M,SBD,Single-ply
Ferstler,89.2,90,584,622,644,,330,-352,-352,975,628,-677,677,,1653,M,SBD,Single-ply
Troy List,88.1,90,633,644,661,,396,407,-413,1069,573,-595,-595,,1642,M,SBD,Single-ply
Dingle,89.6,90,-421,622,-644,,358,374,385,1008,622,-655,-655,,1631,M,SBD,Single-ply
Mirabel,89.3,90,420,-618,628,,369,-380,-380,997,600,-617,-617,,1598,M,SBD,Single-ply
Rhodes,89.7,90,600,444,611,,402,407,-413,1019,551,-578,-578,,1570,M,SBD,Single-ply
Laing,89.9,90,578,611,-628,,336,336,347,959,578,611,-622,,1570,M,SBD,Single-ply
Sample,89.5,90,529,-573,-573,,341,363,-374,892,600,-633,-633,,1493,M,SBD,Single-ply
Don Meyer,89.1,90,639,-661,-661,,319,-336,-336,959,512,-556,-556,,1471,M,SBD,Single-ply
Joe Ladnier,99.3,100,683,722,749,,462,501,512,1262,622,661,-688,,1923,M,SBD,Single-ply
Shayne Ferguson,96.8,100,661,699,733,,363,402,-413,1135,650,688,710,,1846,M,SBD,Single-ply
Shawn Cain,99.4,100,644,-672,672,,418,435,-446,1107,666,694,-722,,1802,M,SBD,Single-ply
Tim Stiverson,98.7,100,644,672,694,,424,446,451,1146,650,-672,-6762,,1796,M,SBD,Single-ply
Austin,97.2,100,677,710,433,,385,-407,-407,1096,666,694,-733,,1791,M,SBD,Single-ply
Morgan,95.9,100,683,-731,722,,385,402,-413,1124,622,650,-661,,1774,M,SBD,Single-ply
Liles,97.9,100,650,683,705,,424,-446,-446,1129,622,639,-661,,1769,M,SBD,Single-ply
C. Brown,99.2,100,650,699,-733,,418,-451,-451,1118,622,650,-666,,1769,M,SBD,Single-ply
Z. Brown,99.3,100,661,694,-711,,402,-413,-413,1096,617,661,672,,1769,M,SBD,Single-ply
Schumieglow,98.5,100,622,-608,694,,352,374,-385,997,639,683,716,,1714,M,SBD,Single-ply
Davis,98.1,100,628,661,688,,380,402,-418,1091,573,600,-611,,1692,M,SBD,Single-ply
Gipson,100,100,-639,-683,683,,-319,-319,330,1014,-710,-749,-749,,,M,SBD,Single-ply
Andrew Stewart,108.3,110,760,782,-804,,485,501,-507,1284,755,771,810,,2094,M,SBD,Single-ply
Miner,109.7,110,639,683,-699,,396,413,-424,1096,672,-688,-688,,1769,M,SBD,Single-ply
Donati,108.4,110,633,-655,-664,,462,-479,-479,1096,650,-661,-672,,1747,M,SBD,Single-ply
Gerald Welch,121.8,125,810,854,-884,,479,512,523,1377,705,760,777,,2154,M,SBD,Single-ply
Ernie Surrell,130.7,125,-749,-821,821,,418,440,462,1284,595,639,661,,1945,M,SBD,Single-ply
Ken Ufford,124.1,125,650,-683,683,,468,490,501,1184,705,744,-766,,1929,M,SBD,Single-ply
Brooks,119.6,125,611,661,-683,,435,451,-457,1113,650,710,-716,,1824,M,SBD,Single-ply
Curtis,118.9,125,650,683,-699,,418,429,440,1124,639,677,-683,,1802,M,SBD,Single-ply
Thompson,115.5,125,650,405,-705,,407,424,440,1091,650,672,699,,1791,M,SBD,Single-ply
Anderson,124.2,125,617,644,661,,424,446,457,1118,650,-688,-688,,1769,M,SBD,Single-ply
Stewart,119.8,125,611,633,661,,396,418,440,1102,584,617,628,,1730,M,SBD,Single-ply
Tolve,118.1,125,551,-600,-600,,443,413,-424,964,617,-666,-705,,1581,M,SBD,Single-ply
Dan McCain,178.3,125+,821,-870,870,,518,540,556,1427,677,705,,,2132,M,SBD,Single-ply
Manny Burruel,130.7,125+,733,788,-804,,418,429,435,1223,650,-677,-677,,1873,M,SBD,Single-ply
Tom Schott,128.8,125+,771,-799,799,,439,429,-440,1229,622,639,-644,,1868,M,SBD,Single-ply
Garro,125.5,125+,672,710,-733,,429,457,468,1179,633,-677,-688,,1813,M,SBD,Single-ply
Gisondi,128.3,125+,628,672,440,,424,-451,-451,1096,-644,644,-710,,1741,M,SBD,Single-ply
