Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Tetyana Shlopko,46.2,130,70,122.5,322.5,47,F,Тетяна Шлопко,1996,SBD,Single-ply,Student
2,Katerina Chobanyuk,46.6,65,40,95,200,47,F,Катерина Чобанюк,1994,SBD,Single-ply,Student
1,Ivanna Polovka,49.05,100,40,105,245,52,F,Іванна Половка,1995,SBD,Single-ply,Student
2,Marina Cherney,50.6,95,40,100,235,52,F,Марина Черней,1995,SBD,Single-ply,Student
1,Mariya Ilnytska,55.65,155,95,160,410,57,F,Марія Ільницька,1995,SBD,Single-ply,Student
2,Anastasiya Ivanyuk,54.8,85,42.5,102.5,230,57,F,Анастасія Іванюк,1996,SBD,Single-ply,Student
1,Vira Boboshko,62.95,185,110,160,455,63,F,Віра Бобошко,1993,SBD,Single-ply,Student
2,Natalya Piznyak,61.9,172.5,95,157.5,425,63,F,Наталя Пізняк,1992,SBD,Single-ply,Student
3,Ganna Gonchar,59.55,130,100,120,350,63,F,Ганна Гончар,1993,SBD,Single-ply,Student
4,Anastasiya Voyna,62.45,115,80,122.5,317.5,63,F,Анастасія Война,1992,SBD,Single-ply,Student
1,Yuliya Orobets,68.65,172.5,97.5,170,440,72,F,Юлія Оробець,1995,SBD,Single-ply,Student
2,Lyudmila Mokrukha,67,160,70,127.5,357.5,72,F,Людмила Мокруха,1993,SBD,Single-ply,Student
3,Oksana Frolova,69.75,135,57.5,140,332.5,72,F,Оксана Фролова,1990,SBD,Single-ply,Student
4,Darina Mindal,69.55,115,60,120,295,72,F,Дарина Міндаль,1995,SBD,Single-ply,Student
5,Eva Mak,66.45,105,55,125,285,72,F,Єва Мак,1993,SBD,Single-ply,Student
1,Olena Kozlova,80.35,150,80,150,380,84,F,Олена Козлова,1990,SBD,Single-ply,Student
1,Igor Dorokhin,58.4,180,112.5,185,477.5,59,M,Ігор Дорохін,1996,SBD,Single-ply,Student
2,Mikola Mishilyuk,57.05,130,90,140,360,59,M,Микола Мишилюк,1992,SBD,Single-ply,Student
1,Vladislav Chorniy,64.55,225,125,240,590,66,M,Владислав Чорний,1997,SBD,Single-ply,Student
2,Mikola Shokolyuk,65.05,200,90,200,490,66,M,Микола Шоколюк,1992,SBD,Single-ply,Student
DQ,Andriy Kitsun,65.1,-185,,,,66,M,Андрій Кицун,1992,SBD,Single-ply,Student
1,Andriy Dakh,72.3,220,145,220,585,74,M,Андрій Дах,1996,SBD,Single-ply,Student
2,Ruslan Nikiforuk,72.65,180,127.5,200,507.5,74,M,Руслан Никифорук,1992,SBD,Single-ply,Student
3,Mikola Semen,73.8,185,100,185,470,74,M,Микола Семен,1996,SBD,Single-ply,Student
DQ,Roman Dorokhin,71.4,-250,,,,74,M,Роман Дорохін,1995,SBD,Single-ply,Student
DQ,Maksim Saenko,73.1,-240,,,,74,M,Максим Саєнко,1992,SBD,Single-ply,Student
1,Volodimir Vovk,82.95,255,177.5,245,677.5,83,M,Володимир Вовк,1994,SBD,Single-ply,Student
2,Sergiy Krasiy,82.75,252.5,170,250,672.5,83,M,Сергій Красій,1992,SBD,Single-ply,Student
3,Oleksandr Lisiy,81.8,230,172.5,202.5,605,83,M,Олександр Лисий,1995,SBD,Single-ply,Student
4,Yaroslav Kobilinskiy,78.5,170,140,180,490,83,M,Ярослав Кобилінський,1995,SBD,Single-ply,Student
DQ,Sergiy Kapustin,80.2,-210,,,,83,M,Сергій Капустін,1979,SBD,Single-ply,Student
DQ,Vladislav Levikh,81.85,-235,,,,83,M,Владислав Лєвих,1993,SBD,Single-ply,Student
1,Denis Shepita,91.8,285,177.5,275,737.5,93,M,Денис Шепіта,1994,SBD,Single-ply,Student
2,Vitaliy Troyan,92.2,267.5,170,250,687.5,93,M,Віталій Троян,1994,SBD,Single-ply,Student
3,Denis Gangur,92.45,215,90,195,500,93,M,Денис Гангур,1996,SBD,Single-ply,Student
DQ,Sergiy Bodnar,92,-290,,,,93,M,Сергій Боднар,1994,SBD,Single-ply,Student
1,Bogdan Nizhnik,100.7,315,225,285,825,105,M,Богдан Нижник,1992,SBD,Single-ply,Student
2,Valentin Burmistrov,103.95,345,195,270,810,105,M,Валентин Бурмістров,1990,SBD,Single-ply,Student
3,Bogdan Semko,105,315,220,260,795,105,M,Богдан Семко,1993,SBD,Single-ply,Student
4,Sergiy Bozhuk,95.9,275,150,275,700,105,M,Сергій Божук,1995,SBD,Single-ply,Student
1,Dmytro Pavlenko,109.25,375,240,310,925,120,M,Дмитро Павленко,1992,SBD,Single-ply,Student
2,Igor Adamchuk,106.9,315,220,240,775,120,M,Ігор Адамчук,1993,SBD,Single-ply,Student
3,Oleksandr Menshikov,110.7,305,170,260,735,120,M,Олександр Меньшиков,1992,SBD,Single-ply,Student
4,Yurii Monastyrskyi,105.9,260,195,230,685,120,M,Юрій Монастирський,1996,SBD,Single-ply,Student
