Name,Age,Division,Sex,Equipment,BodyweightLBS,WeightClassLBS,BestSquat1LBS,BestSquat2LBS,BestSquat3LBS,BestSquat4LBS,Best3SquatLBS,BestBench1LBS,BestBench2LBS,BestBench3LBS,BestBench4LBS,Best3BenchLBS,BestDeadlift1LBS,BestDeadlift2LBS,BestDeadlift3LBS,BestDeadlift4LBS,Best3DeadliftLBS,TotalLBS,Event,
Stephanie Mattina,32,Open,F,Wraps,103,105,140,155,175,,175,100,105,115,,115,165,185,205,,205,495,SBD,
Raven Larken,24,Open,F,Wraps,151,165,185,-210,235,,235,85,100,-115,,100,255,265,285,,285,620,SBD,
Jessica Cuba,38,Open,F,Wraps,183.2,198,245,265,285,,285,125,135,-145,,135,285,315,335,,335,755,SBD,
Samantha Byington,30,Open,F,Wraps,200.4,220,265,285,300,,300,-135,-160,160,,160,300,335,355,-375,355,815,SBD,
Lynette Ritchie,53,Open,F,Wraps,247.2,SHW,300,320,350,,350,185,205,-225,,205,350,380,400,,400,955,SBD,
Lynette Ritchie,53,Master (50-54),F,Wraps,247.2,SHW,300,320,350,,350,185,205,-225,,205,350,380,400,,400,955,SBD,
Stacie Korte,56,Master (55-59),F,Wraps,180.6,181,165,-175,185,,185,-115,130,-145,,130,185,205,225,250,225,540,SBD,
Jessica Cuba,38,Submaster (33-39),F,Wraps,183.2,198,245,265,285,,285,125,135,-145,,135,285,315,335,345,335,755,SBD,
Lori Ventimiglia,37,Submaster (33-39),F,Wraps,178,181,200,-220,220,,220,100,110,120,,120,225,245,265,,265,605,SBD,
Bree Urech-Boyle,35,Submaster (33-39),F,Wraps,174.6,181,265,275,-285,,275,-130,-130,-130,,,250,275,315,,315,,SBD,
Jazsmine DeClue,22,Junior (20-23),F,Wraps,160,165,185,205,-225,,205,85,100,-110,,100,255,285,310,,310,615,SBD,
Justin Williams,29,Open,M,Wraps,193.6,198,400,420,450,,450,275,290,305,,305,440,470,500,,500,1255,SBD,
Mark Albenesius,29,Open,M,Wraps,306,308,535,565,590,,590,315,335,355,,355,585,625,-655,,625,1570,SBD,
Dominic Dunnavant,45,Master (45-49),M,Wraps,194.8,198,-420,440,445,,445,320,335,340,,340,465,500,510,,510,1295,SBD,
Nathanyel Jackson,16,Teenage (16-17),M,Wraps,200,220,-400,,,,,,,,,,,,,,,,SBD,
Cole Sensel,15,Teenage (13-15),M,Wraps,146.8,148,205,230,245,,245,130,150,165,,165,270,295,315,325,315,725,SBD,
Jason Jones,14,Teenage (13-15),M,Wraps,216.2,220,225,245,265,,265,115,125,140,,140,315,345,365,385,365,770,SBD,
Spencer Vaka,13,Teenage (13-15),M,Wraps,126.6,132,90,110,125,-130,125,65,-75,-80,,65,155,165,175,190,175,365,SBD,
Quinn Vaka,8,Youth (8-10),M,Wraps,79.2,114,55,65,70,75,70,35,45,-50,,45,95,110,120,130,120,255,SBD,
Michayla Brockert,19,Teenage (18-19),F,Raw,175.4,181,,,,,,115,125,140,150,140,225,245,265,280,265,405,BD,
Kyle Evans,26,Open,M,Raw,281.5,308,,,,,,440,470,-500,,470,,,,,,470,B,
Bree Urech-Boyle,35,Submaster (33-39),F,Raw,174.6,181,,,,,,,,,,,250,275,315,,315,315,D,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
