Place,Age,BodyweightKg,WeightClassKg,Division,Name,Sex,Equipment,Event,Country,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
7,,56.7,60,Open,R. Basak,M,Wraps,SBD,IND,,,,130,,,,90,,,,165,385
1,,67.3,67.5,Open,Mauro Di Pasquale,M,Wraps,SBD,CAN,,,,230,,,,137.5,,,,262.5,630
2,,66.9,67.5,Open,Dhuram Pal,M,Wraps,SBD,GBR,,,,220,,,,150,,,,235,605
3,,66.6,67.5,Open,Dennis Attland,M,Wraps,SBD,SWE,,,,207.5,,,,145,,,,235,587.5
4,,66.8,67.5,Open,Trevor Kirton,M,Wraps,SBD,GBR,,,,205,,,,135,,,,240,580
5,,66.8,67.5,Open,Tatsufumi Nakao,M,Wraps,SBD,JPN,,,,185,,,,155,,,,207.5,547.5
6,,65.9,67.5,Open,T. Nagano,M,Wraps,SBD,JPN,,,,200,,,,135,,,,205,540
7,,66.1,67.5,Open,J. Geeves,M,Wraps,SBD,AUS,,,,180,,,,120,,,,220,520
8,,66,67.5,Open,T. Savich,M,Wraps,SBD,AUS,,,,160,,,,100,,,,255,515
9,,66.3,67.5,Open,B. Das,M,Wraps,SBD,IND,,,,185,,,,125,,,,175,485
1,,73.75,75,Open,Bill West,M,Wraps,SBD,GBR,,,,255,,,,137.5,,,,285,677.5
2,,74.25,75,Open,Tony Carpino,M,Wraps,SBD,USA,,,,237.5,,,,170,,,,270,677.5
3,,74.75,75,Open,Lars Backlund,M,Wraps,SBD,SWE,,,,237.5,,,,175,,,,260,672.5
4,,74,75,Open,Ron Coleman,M,Wraps,SBD,SWE,,,,230,,,,155,,,,242.5,627.5
5,,73.25,75,Open,Y. Nakagawa,M,Wraps,SBD,JPN,,,,220,,,,155,,,,240,615
6,,75,75,Open,Veikko Levander,M,Wraps,SBD,FIN,,,,212.5,,,,150,,,,250,612.5
7,,74.75,75,Open,Bruce Waddell,M,Wraps,SBD,AUS,,,,227.5,,,,127.5,,,,255,610
8,,74.25,75,Open,T. Ichimaru,M,Wraps,SBD,JPN,,,,220,,,,165,,,,200,585
9,,74,75,Open,Michael Barry,M,Wraps,SBD,AUS,,,,205,,,,112.5,,,,250,567.5
10,,74.5,75,Open,Mike Lukich,M,Wraps,SBD,CAN,,,,195,,,,125,,,,240,560
DQ,,74.5,75,Open,Peter Fiore,M,Wraps,SBD,ZAM,,,,260,,,,167.5,,,,,
DQ,,69.75,75,Open,Rickey Dale Crain,M,Wraps,SBD,USA,,,,240,,,,135,,,,,
1,,82.3,82.5,Open,Ron Collins,M,Wraps,SBD,GBR,,,,305,,,,185,,,,327.5,817.5
2,,80.5,82.5,Open,Walter Thomas,M,Wraps,SBD,USA,,,,295,,,,192.5,,,,295,782.5
3,,81.3,82.5,Open,Tom Campbell,M,Wraps,SBD,CAN,,,,290,,,,195,,,,282.5,767.5
4,,82.3,82.5,Open,Unto Honkonen,M,Wraps,SBD,FIN,,,,245,,,,175,,,,280,700
5,,81.2,82.5,Open,Lars Bjorck,M,Wraps,SBD,SWE,,,,245,,,,170,,,,275,690
6,,81.1,82.5,Open,M. Inque,M,Wraps,SBD,JPN,,,,230,,,,155,,,,240,625
7,,77.1,82.5,Open,K. Bolar,M,Wraps,SBD,IND,,,,185,,,,110,,,,222.5,517.5
1,,90,90,Open,Larry Pacifico,M,Wraps,SBD,USA,,,,312.5,,,,185,,,,320,817.5
2,,89.5,90,Open,Eamon Toal,M,Wraps,SBD,GBR,,,,280,,,,192.5,,,,322.5,795
3,,90,90,Open,Ray Yvander,M,Wraps,SBD,SWE,,,,255,,,,175,,,,315,745
4,,90,90,Open,Reijo Kiviranta,M,Wraps,SBD,FIN,,,,255,,,,160,,,,287.5,702.5
5,,89.75,90,Open,Andrew Page,M,Wraps,SBD,AUS,,,,265,,,,162.5,,,,272.5,700
6,,90,90,Open,P. Secker,M,Wraps,SBD,AUS,,,,205,,,,127.5,,,,285,617.5
1,,99,100,Open,Paul Jordan,M,Wraps,SBD,GBR,,,,335,,,,212.5,,,,312.5,860
2,,97.65,100,Open,Vince Anello,M,Wraps,SBD,USA,,,,287.5,,,,195,,,,340,822.5
3,,100,100,Open,Tony Fitton,M,Wraps,SBD,GBR,,,,317.5,,,,185,,,,310,812.5
4,,99.6,100,Open,Ulf Morin,M,Wraps,SBD,SWE,,,,267.5,,,,200,,,,295,762.5
5,,99.65,100,Open,E. Jack,M,Wraps,SBD,CAN,,,,272.5,,,,172.5,,,,285,730
6,,99.5,100,Open,Raimo Halvorsén,M,Wraps,SBD,FIN,,,,255,,,,182.5,,,,280,717.5
7,,99.65,100,Open,Shoji Nakamura,M,Wraps,SBD,JPN,,,,260,,,,170,,,,250,680
8,,96.75,100,Open,Singh Jadav,M,Wraps,SBD,IND,,,,220,,,,152.5,,,,240,612.5
9,,97.75,100,Open,Charles Madondo,M,Wraps,SBD,ZAM,,,,200,,,,102.5,,,,215,517.5
1,,109.1,110,Open,Doug Young,M,Wraps,SBD,USA,,,,320,,,,255,,,,335,910
2,,109.2,110,Open,Hannu Saarelainen,M,Wraps,SBD,FIN,,,,307.5,,,,230,,,,322.5,860
3,,104.1,110,Open,Marvin Phillips,M,Wraps,SBD,USA,,,,345,,,,215,,,,297.5,857.5
4,,109.8,110,Open,David Carter,M,Wraps,SBD,GBR,,,,322.5,,,,175,,,,332.5,830
5,,104.6,110,Open,Hauro Adachi,M,Wraps,SBD,JPN,,,,285,,,,160,,,,260,705
6,,109.1,110,Open,Michel Gosselen,M,Wraps,SBD,CAN,,,,242.5,,,,200,,,,255,697.5
1,,160.1,110+,Open,Don Reinhoudt,M,Wraps,SBD,USA,,,,390,,,,255,,,,380,1025
2,,127.4,110+,Open,Taito Haara,M,Wraps,SBD,FIN,,,,360,,,,215,,,,330,905
3,,132.1,110+,Open,John Phillip,M,Wraps,SBD,TGA,,,,332.5,,,,307.5,,,,317.5,870
4,,134.7,110+,Open,Sven Huberth,M,Wraps,SBD,SWE,,,,280,,,,205,,,,307.5,792.5
