Place,Name,BodyweightKg,WeightClassKg,Sex,Division,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,Equipment,Event
1,Viviane Lerot,63.05,72,F,Masters 3,40.0,45.0,-47.5,45,45,Raw,B
1,Audrey De Keersmaeker,45.98,47,F,Juniors,-57.5,57.5,-62.0,57.5,57.5,Raw,B
1,Angelina Mangione,55.16,57,F,Masters 2,60.0,-62.5,62.5,62.5,62.5,Raw,B
2,Catherine Defraey,62.25,63,F,Open,55.0,60.0,62.5,62.5,62.5,Raw,B
1,Paul Vernimmen,54.54,59,M,Masters 3,62.5,67.5,-70.0,67.5,67.5,Raw,B
1,Jessica DeSousa,61.9,63,F,Open,72.5,-77.5,77.5,77.5,77.5,Raw,B
1,Solano Peracchi,65.15,66,M,Sub-Juniors,75.0,-80.0,80.0,80,80,Raw,B
1,Jean-Michel De Witte,57.65,59,M,Open,90.0,99.5,,99.5,99.5,Raw,B
1,Jano Struys,80.3,83,M,Juniors,80.0,85.0,90.0,90,90,Raw,B
2,Kim De Kegel,75.9,83,M,Open,140.0,-145.0,-145.0,140,140,Raw,B
1,Philippe Hellinckx,71.95,74,M,Open,135.0,142.5,147.5,147.5,147.5,Raw,B
1,Niels Ceuppens,81.65,83,M,Sub-Juniors,140.0,148.0,-148.5,148,148,Raw,B
1,Marco Bruni,78.55,83,M,Open,142.5,147.5,-150.0,147.5,147.5,Raw,B
1,Jean-Luc Collart,118.4,120,M,Masters 3,150.0,160.0,165.0,165,165,Raw,B
1,Gregory Ostyn,73.45,74,M,Sub-Juniors,115.0,120.0,-135.0,120,120,Raw,B
1,Roy De Ridder,73.2,74,M,Juniors,132.5,135.0,-137.5,135,135,Raw,B
1,Philip Dewilde,103.6,105,M,Masters 2,95.0,105.0,110.0,110,110,Raw,B
1,Alain Neyt,92.05,93,M,Masters 1,135.0,140.0,145.0,145,145,Raw,B
1,Julien Dufour,97.95,105,M,Juniors,145.0,155.0,157.5,157.5,157.5,Raw,B
1,Michel Dubucq,103.3,105,M,Masters 3,150.0,158.5,160.0,160,160,Raw,B
2,Gwinvin Moustier,97.2,105,M,Open,155.0,160.0,165.0,165,165,Raw,B
1,Sam Van Ingelgem,90.9,93,M,Open,155.0,160.0,-165.0,160,160,Raw,B
1,Wouter De Saedeleer,102.6,105,M,Open,187.5,195.0,-200.0,195,195,Raw,B
1,Gunnar De Vadder,149.2,120+,M,Open,210.0,220.0,225.0,225,225,Raw,B
