Name,Sex,Age,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Grant Mcevansoneya,M,,JR,Raw,97.9,100,,,,,-195,195,-211,195,,,,,195,B,1
Camron Couldwell,M,,JR,Raw,99.8,100,200,210,-225,210,150,-155,-155,150,260,285,300,300,660,SBD,3
Grant Mcevansoneya,M,,JR,Raw,97.9,100,-200,220,240,240,-195,195,-211,195,250,275,-282.5,275,710,SBD,2
Dan Stewart,M,,JR,Raw,97.6,100,-240,260,270,270,140,155,170,170,270,290,300,300,740,SBD,1
Randall Crooks,M,,MR,Raw,,100,,,,,,,,,-280,,,,,D,DQ
Dan Brunt-Murphy,M,,RW,Wraps,100,100,210,220,-230,220,155,-162.5,-162.5,155,215,225,235,235,610,SBD,1
David Sloane,M,,,Raw,,100,,,,,,,,,220,240,260,260,260,D,1
Kurt Mcevansoneya,M,,JR,Raw,110,110,200,230,-240,230,140,160,-170,160,260,,,260,650,SBD,2
Kristap Tomcik,M,,JR,Raw,108.5,110,275,287.5,-296,287.5,185,-195,-195,185,260,280,-290,280,752.5,SBD,1
Miles Hutchinson,M,,JR,Raw,,110,,,,,,,,,,,,,,SBD,DQ
Libor Bock,M,,ME,Single-ply,102.4,110,,,,,210,217.5,-225,217.5,,,,,217.5,B,1
Anthony Giddings,M,,ME,Single-ply,108,110,340,-363.5,-363.5,340,215,-230,-230,215,-280,300,-312.5,300,755,SBD,1
Libor Bock,M,,ME,Single-ply,102.4,110,-255,-255,-255,,,,,,,,,,,SBD,DQ
Mike Towers,M,,ME,Single-ply,107.6,110,-285,-300,,,,,,,,,,,,SBD,DQ
Simon Norcup,M,,MR,Raw,107.6,110,70,,,70,170,190,-210,190,70,,,70,330,SBD,1
Mark Taylor,M,,MW,Wraps,100.5,110,170,172.5,-205,172.5,140,150,160,160,210,230,250,250,582.5,SBD,1
David Jenkinson,M,,OR,Wraps,106.7,110,310,330,-340,330,-210,210,220,220,300,317.5,,317.5,867.5,SBD,1
James Warren,M,,OW,Wraps,106.4,110,210,225,240,240,145,-152.5,-152.5,145,230,240,-250,240,625,SBD,2
Mitch Tutt,M,,OW,Wraps,104.35,110,220,245,255,255,150,-162.5,162.5,162.5,250,267.5,-272.5,267.5,685,SBD,1
Petter Elvekrock,M,,ME,Single-ply,118.5,125,,,,,200,207.5,212.5,212.5,,,,,212.5,B,1
Didier Michelon,M,,ME,Single-ply,,125,,,,,-350,-350,-365,,,,,,,B,DQ
Dwayne Taylor,M,,MR,Raw,116,125,-240,-245,245,245,180,190,-197.5,190,240,250,-260,250,685,SBD,2
Roy Holte,M,,MR,Raw,122.3,125,265,285,-303,285,216,230,240,240,200,260,305,305,830,SBD,1
Joe Reeves,M,,OE,Single-ply,116,125,300,325,342.5,342.5,215,225,230,230,260,280,292.5,292.5,865,SBD,2
Stephen Macneil,M,,OE,Single-ply,122.3,125,365,380,-390,380,290,-300,-300,290,280,300,-315,300,970,SBD,1
Dan Evans,M,,OE,Single-ply,122.3,125,330,355,370,370,-240,-250,-250,,,,,,,SBD,DQ
Dan Evans,M,,OE,Single-ply,122.3,125,,,,,-240,-250,-250,,,,,,,B,DQ
Adam McCombe,M,,OR,Raw,,125,,,,,,,,,120,125,130,130,130,D,1
Stephan Lazar,M,,OR,Raw,118.5,125,,,,,-225,225,235,235,,,,,235,B,1
Gareth Edwards,M,,OR,Raw,122.5,125,235,245,260,260,220,230,240,240,255,265,275,275,775,SBD,1
Lester Kellaway,M,,OW,Wraps,123.3,125,260,285,-300,285,140,150,-160,150,270,285,-290,285,720,SBD,2
James Gilbert,M,,OW,Wraps,119.2,125,250,265,275,275,180,190,-200,190,260,285,300,300,765,SBD,1
George Briley,M,,TR,Raw,118.8,125,,,,,125,130,140,140,,,,,140,B,1
George Briley,M,,TR,Raw,,125,,,,,,,,,215,,,215,215,D,1
George Briley,M,,TR,Raw,118.8,125,180,200,220,220,125,130,140,140,215,230,250,250,610,SBD,1
Winston Rosdalh,M,,JR,Raw,133,140,,,,,135,145,150,150,,,,,150,B,1
Winston Rosdalh,M,,JR,Raw,,140,,,,,,,,,-220,220,-230,220,220,D,1
David Gladwell,M,,OE,Single-ply,134.8,140,-330,330,-350,330,250,260,270,270,260,280,300,300,900,SBD,1
Per Holm,M,,OR,Raw,132.7,140,,,,,135,-145,152.5,152.5,,,,,152.5,B,1
Darren McCormac,M,,OR,Raw,,140,,,,,,,,,300,,,300,300,D,1
Darren McCormac,M,,OW,Wraps,133.7,140,260,272.5,-280,272.5,165,175,185,185,320,340,-350,340,797.5,SBD,1
Hans Isacsson,M,,OE,Single-ply,,SHW,,,,,-220,-220,-220,,,,,,,B,DQ
Jens Skandevall,M,,OR,Raw,147.5,SHW,,,,,170,180,-192.5,180,,,,,180,B,2
Rikard Erlandsson,M,,OR,Raw,153.9,SHW,,,,,230,240,,240,,,,,240,B,1
Anthony Giddings,M,,,Raw,,,,,,,,,,,260,-312.5,-312.5,260,260,D,1
Kjell Nyhagi Braton,M,,,Raw,,,,,,,,,,,,,,,,SBD,DQ
