Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Dewi van der Geugten,49.20,-75.00,75.00,77.50,77.50,40.00,45.00,50.00,50.00,90.00,97.50,102.50,102.50,230.00,52,Open,SBD,F,Raw
2,Hilde Houweling,50.90,50.00,55.00,57.50,57.50,40.00,45.00,47.50,47.50,75.00,80.00,85.00,85.00,187.50,52,Open,SBD,F,Raw
DQ,Sandra Wildeman,56.40,95.00,102.50,107.50,107.50,75.00,80.00,-82.50,80.00,-117.50,-117.50,-117.50,,,57,Open,SBD,F,Raw
3,Yvonne Kortsmit,60.60,85.00,92.50,100.00,100.00,55.00,60.00,-62.50,60.00,100.00,110.00,117.50,117.50,277.50,63,Open,SBD,F,Raw
2,Angelique Borsboom,61.70,90.00,,,90.00,80.00,,,80.00,120.00,,,120.00,290.00,63,Open,SBD,F,Raw
1,Marlinde Gras,62.80,125.00,-130.00,-130.00,125.00,60.00,62.50,65.00,65.00,150.00,157.50,162.50,162.50,352.50,63,Open,SBD,F,Raw
5,Sytske Bekker,64.70,85.00,92.50,100.00,100.00,45.00,50.00,55.00,55.00,110.00,117.50,125.00,125.00,280.00,72,Open,SBD,F,Raw
4,Marta Stark,70.60,117.50,122.50,-127.50,122.50,57.50,60.00,-62.50,60.00,120.00,125.00,127.50,127.50,310.00,72,Open,SBD,F,Raw
2,Gwen Mostert,70.60,-105.00,105.00,110.00,110.00,65.00,72.50,77.50,77.50,120.00,130.00,140.00,140.00,327.50,72,Open,SBD,F,Raw
7,Yvette Bekkers,66.00,75.00,80.00,-85.00,80.00,47.50,52.50,-55.00,52.50,100.00,110.00,115.00,115.00,247.50,72,Open,SBD,F,Raw
6,Dominique van Deursen,70.50,75.00,80.00,85.00,85.00,50.00,55.00,60.00,60.00,115.00,127.50,137.50,137.50,262.50,72,Open,SBD,F,Raw
3,Maaike de Vries,70.60,-107.50,107.50,117.50,117.50,75.00,77.50,-80.00,77.50,110.00,120.00,-132.50,120.00,315.00,72,Open,SBD,F,Raw
1,Ankie Timmers,71.80,135.00,140.00,-142.50,140.00,97.50,-100.00,-100.00,97.50,167.50,175.00,-182.50,175.00,412.50,72,Open,SBD,F,Raw
1,Alexandra Barton,76.20,85.00,92.50,-100.00,92.50,50.00,55.00,-57.50,55.00,115.00,122.50,130.00,130.00,277.50,84,Open,SBD,F,Raw
1,Frank Calor,58.50,80.00,90.00,100.00,100.00,100.00,110.00,120.00,120.00,80.00,90.00,100.00,100.00,320.00,59,Open,SBD,M,Raw
3,Daniel van Wezel,72.60,157.50,167.50,-172.50,167.50,95.00,-102.50,-102.50,95.00,167.50,177.50,182.50,182.50,445.00,74,Open,SBD,M,Raw
4,Patrick Abbink,73.20,155.00,162.50,-170.00,162.50,-85.00,85.00,-90.00,85.00,172.50,185.00,195.00,195.00,442.50,74,Open,SBD,M,Raw
5,Robin Wolfard,71.90,120.00,-125.00,125.00,125.00,80.00,85.00,-87.50,85.00,200.00,210.00,220.00,220.00,430.00,74,Open,SBD,M,Raw
6,Ben Epe,72.80,135.00,145.00,-152.50,145.00,95.00,-97.50,97.50,97.50,170.00,-177.50,-177.50,170.00,412.50,74,Open,SBD,M,Raw
2,Eray Cingi,71.10,182.50,190.00,195.00,195.00,117.50,122.50,130.00,130.00,210.00,222.50,230.00,230.00,555.00,74,Open,SBD,M,Raw
1,Pardeep Kailey,74.00,195.00,205.00,210.00,210.00,120.00,125.00,127.50,127.50,230.00,-242.50,-242.50,230.00,567.50,74,Open,SBD,M,Raw
