Name,WeightClassLBS,Division,Sex,Age,BodyweightLBS,Event,Equipment,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Tested
E. Diaz,105,T16-17,F,17,103,SBD,Raw,45,70,160,275,1,Yes
J. Plitt,165,T16-17,F,16,160,SBD,Wraps,215,80,230,525,1,Yes
A. Worley,181,J20-23,M,20,174,SBD,Wraps,385,,,,DQ,Yes
R. Taylor,198,M60-64,M,60,182.25,SBD,Raw,315,215,450,980,1,Yes
Pat Hall,220,S33-39,M,34,217,SBD,Single-ply,605,440,655,1700,2,Yes
J. Bell,220,S33-39,M,34,216.75,SBD,Single-ply,675,440,655,1770,1,Yes
J. Regimbal,114,T13-15,M,15,114,SBD,Wraps,195,85,195,475,1,Yes
G. Palmer,132,T13-15,M,15,132,SBD,Wraps,210,135,295,640,1,Yes
M. Tellez,165,T13-15,M,15,151,SBD,Wraps,225,150,290,665,2,Yes
W. Humphrey,165,T13-15,M,15,165,SBD,Wraps,335,175,375,885,1,Yes
M. Byers,181,T13-15,M,15,171,SBD,Raw,185,150,275,610,1,Yes
John Humphrey,198,T13-15,M,15,185,SBD,Raw,250,135,315,700,1,Yes
C. King,198,T13-15,M,15,190,SBD,Raw,250,155,295,700,2,Yes
Jonathan Ivery,198,T13-15,M,15,188,SBD,Wraps,330,215,465,1010,1,Yes
C. Banks,308,T13-15,M,14,284.75,SBD,Raw,260,160,285,705,1,Yes
J. King,148,T16-17,M,17,145,SBD,Wraps,145,250,235,630,1,Yes
A. Harris,165,T16-17,M,16,161,SBD,Wraps,250,175,390,815,1,Yes
J. Temple,198,T16-17,M,16,198,SBD,Wraps,375,215,415,1005,1,Yes
J. Delany,220,T16-17,M,16,216,SBD,Raw,275,155,285,715,2,Yes
E. Norris,220,T16-17,M,16,217,SBD,Raw,280,145,300,725,1,Yes
R. Lockfield,220,T16-17,M,16,220,SBD,Wraps,360,200,365,925,3,Yes
D. Ramos,220,T16-17,M,16,220,SBD,Wraps,360,225,350,935,2,Yes
R. Joints,220,T16-17,M,17,211,SBD,Wraps,335,245,440,1020,1,Yes
M. Arroyo,148,T18-19,M,19,146.25,SBD,Wraps,290,195,380,865,1,Yes
S. Skarja,275,T18-19,M,18,269.25,SBD,Wraps,445,250,480,1175,1,Yes
