Name,Age,Sex,Tested,Division,Equipment,WeightClassKg,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Devon Parcell,35,M,,M_SR_APF,Raw,90,87.32,170,185,-190,185,137.5,-145,145,145,205,-220,-220,205,535,SBD,1
Devon Parcell,35,M,,M_OR_APF,Raw,90,87.32,170,185,-190,185,137.5,-145,145,145,205,-220,-220,205,535,SBD,1
Devon Parcell,35,M,Yes,M_OR_AAPF,Raw,90,87.32,170,185,-190,185,137.5,-145,145,145,205,-220,-220,205,535,SBD,2
Devon Parcell,35,M,Yes,M_SR_AAPF,Raw,90,87.32,170,185,-190,185,137.5,-145,145,145,205,-220,-220,205,535,SBD,1
Joshua Warnock,39,M,Yes,M_SR_AAPF,Raw,100,95.25,142.5,177.5,187.5,187.5,105,-117.5,-117.5,105,182.5,205,227.5,227.5,520,SBD,2
Jason Jardine,35,M,Yes,M_SR_AAPF,Raw,100,98.66,150,160,180,180,80,95,100,100,195,220,230,230,510,SBD,1
Erik Rasmussen,39,M,Yes,M_SR_AAPF,Raw,90,88,-205,-205,-205,,,,,,205,215,232.5,232.5,,SBD,DQ
Erik Rasmussen,39,M,,M_SR_APF,Raw,90,88,-205,-205,-205,,,,,,205,215,232.5,232.5,,SBD,DQ
Erik Rasmussen,39,M,Yes,M_SR_AAPF,Raw,90,88,,,,,,,,,205,215,232.5,232.5,232.5,D,1
Erik Rasmussen,39,M,,M_SR_APF,Raw,90,88,,,,,,,,,205,215,232.5,232.5,232.5,D,1
Andrew Peterson,35,M,,M_SR_APF,Raw,100,92.31,190,197.5,207.5,207.5,182.5,-190,-190,182.5,227.5,-232.5,-232.5,227.5,617.5,SBD,1
Ryan Marble,28,M,Yes,M_OES_AAPF,Single-ply,90,85.5,-260,260,-275,260,-215,215,-235,215,237.5,-250,-250,237.5,712.5,SBD,1
Jake Jensen,25,M,Yes,M_OES_AAPF,Single-ply,110,107.95,-272.5,-272.5,272.5,272.5,-185,-185,-185,,275,282.5,-295,282.5,,SBD,DQ
Jake Jensen,25,M,Yes,M_OES_AAPF,Single-ply,110,107.95,,,,,,,,,275,282.5,-295,282.5,282.5,D,1
Chris McGrail,36,M,,M_OES_APF,Single-ply,90,83.01,-355,-355,-355,,,,,,272.5,295,-320,295,,SBD,DQ
Chris McGrail,36,M,,M_OES_APF,Single-ply,90,83.01,,,,,,,,,272.5,295,-320,295,295,D,1
Jay Anderson,36,M,,M_SES_APF,Single-ply,125,117.25,,,,,257.5,-272.5,-272.5,257.5,,,,,257.5,B,1
Jay Anderson,36,M,Yes,M_SES_AAPF,Single-ply,125,117.25,,,,,257.5,-272.5,-272.5,257.5,,,,,257.5,B,1
Leora Novosel,8,F,,F_NR_APF,Raw,44,22.68,,,,,,,,,35,45,-47.5,45,45,D,1
Rebekah Williams,24,F,,F_NR_APF,Raw,48,47.4,-65,65,-67.5,65,-35,35,-37.5,35,70,75,85,85,175,SBD,1
Eleesha Commi Chaux,30,M,,M_NR_APF,Raw,60,58.51,50,55,65,65,32.5,-37.5,-40,32.5,77.5,87.5,92.5,92.5,190,SBD,1
Heidi Campo,25,F,Yes,F_OR_AAPF,Raw,67.5,61.23,70,90,-92.5,90,-52.5,-52.5,-52.5,,80,92.5,102.5,102.5,,SBD,DQ
Heidi Campo,25,F,Yes,F_OR_AAPF,Raw,67.5,61.23,,,,,,,,,80,92.5,102.5,102.5,102.5,D,1
Christine Isom,25,F,Yes,F_OR_AAPF,Raw,56,53.98,72.5,80,-87.5,80,50,-55,-57.5,50,90,100,-110,100,230,SBD,1
Lacie Helfert,24,M,,M_NR_APF,Raw,75,70.31,-102.5,-102.5,102.5,102.5,52.5,62.5,77.5,77.5,97.5,110,-127.5,110,290,SBD,1
Anneke Cannon,23,M,,M_NR_APF,Raw,60,56.25,90,97.5,-105,97.5,-62.5,-62.5,-62.5,,102.5,115,127.5,127.5,,SBD,DQ
Anneke Cannon,23,M,,M_NR_APF,Raw,60,56.25,,,,,,,,,102.5,115,127.5,127.5,127.5,D,1
Chans Peterson,15,M,Yes,M_TR_1_AAPF,Raw,67.5,60.78,,,,,,,,,115,125,-137.5,125,125,D,1
Joshua Wartena,24,M,,M_NR_APF,Raw,67.5,65.32,85,92.5,-97.5,92.5,65,-70,-70,65,120,125,137.5,137.5,295,SBD,1
Daniel Jacob Clark,19,M,Yes,M_TR_3_AAPF,Raw,75,74.62,110,145,-147.5,145,102.5,107.5,-115,107.5,125,142.5,152.5,152.5,405,SBD,1
Vy Phung,22,F,Yes,F_JR_AAPF,Raw,90+,99.79,120,-130,137.5,137.5,57.5,67.5,77.5,77.5,147.5,155,167.5,167.5,382.5,SBD,1
Gatlin Cole Marks,22,M,Yes,M_JR_AAPF,Raw,75,72.8,135,-147.5,-150,135,102.5,-115,-115,102.5,165,177.5,182.5,182.5,420,SBD,1
Anthony Campo,19,M,Yes,M_TR_3_AAPF,Raw,82.5,78.02,175,-185,-185,175,115,-122.5,-122.5,115,177.5,185,192.5,192.5,482.5,SBD,1
Ulises Juarez,28,M,,M_NR_APF,Raw,90,87.77,165,175,-185,175,112.5,125,130,130,207.5,227.5,237.5,237.5,542.5,SBD,1
Brett Cutler,23,M,Yes,M_JR_AAPF,Raw,110,100.02,205,220,227.5,227.5,135,-147.5,-147.5,135,210,227.5,240,240,602.5,SBD,1
Colton Visser,20,M,Yes,M_JR_AAPF,Raw,90,87.32,200,-212.5,-212.5,200,140,145,-150,145,235,245,255,255,600,SBD,1
Colton Visser,20,M,Yes,M_OR_AAPF,Raw,90,87.32,200,-212.5,-212.5,200,140,145,-150,145,235,245,255,255,600,SBD,1
Jennifer Parcell,38,F,Yes,F_SR_AAPF,Raw,82.5,78.93,77.5,-92.5,92.5,92.5,32.5,47.5,-52.5,47.5,70,90,102.5,102.5,242.5,SBD,1
Danielle Thomas,25,F,,F_NR_APF,Raw,90,85.28,,,,,,,,,90,97.5,-102.5,97.5,97.5,D,1
Brittanie Meinzer,26,F,,F_OR_APF,Raw,75,71.44,70,80,-90,80,47.5,55,-60,55,107.5,120,135,135,270,SBD,2
Brittanie Meinzer,26,F,Yes,F_OR_AAPF,Raw,75,71.44,70,80,-90,80,47.5,55,-60,55,107.5,120,135,135,270,SBD,1
My Nassan,25,F,,F_OR_APF,Raw,60,57.15,115,120,-127.5,120,62.5,-67.5,67.5,67.5,120,130,137.5,137.5,325,SBD,1
Lynndsey Eldridge,27,F,,F_OR_APF,Raw,60,59.87,87.5,92.5,97.5,97.5,62.5,65,-67.5,65,130,135,-140,135,297.5,SBD,2
Richard Weaver,48,M,,M_OR_APF,Raw,82.5,80.97,100,127.5,-132.5,127.5,87.5,95,-100,95,137.5,147.5,160,160,382.5,SBD,1
Staci Doi,29,F,,F_OR_APF,Raw,90,87.77,-125,-125,125,125,55,60,-67.5,60,145,152.5,-160,152.5,337.5,SBD,1
Kevin McKinney,48,M,Yes,M_MR_2_AAPF,Raw,110,106.82,,,,,,,,,150,155,165,165,165,D,1
Quincey Pearce,39,F,,F_OR_APF,Raw,75,70.08,120,-127.5,-137.5,120,77.5,82.5,-87.5,82.5,152.5,160,172.5,172.5,375,SBD,1
Wayne Gwyn,40,M,Yes,M_MR_1_AAPF,Raw,110,107.73,135,145,-160,145,-85,-95,95,95,175,180,187.5,187.5,427.5,SBD,1
Wayne Gwyn,40,M,Yes,M_MR_1_AAPF,Raw,110,107.73,,,,,,,,,175,180,187.5,187.5,187.5,D,1
Wayne Gwyn,40,M,,M_MR_1_APF,Raw,110,107.73,135,145,-160,145,-85,-95,95,95,175,180,187.5,187.5,427.5,SBD,1
Wayne Gwyn,40,M,,M_MR_1_APF,Raw,110,107.73,,,,,,,,,175,180,187.5,187.5,187.5,D,1
Dennis  Young,52,M,,M_MR_3_APF,Raw,100,98.2,,,,,,,,,185,197.5,215,215,215,D,1
