Name,Team,Division,BodyweightKg,WeightClassKg,,,,,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Sex
Eleanor Hyem,EM,FR-Jr,81.7,84,1,1997,FCP,14,107.5,117.5,122.5,122.5,6,62.5,67.5,70,70,192.5,125,140,150,150,342.5,1,SBD,Raw,F
Victoria Robinson,EM,FR-Jr,114.5,84+,2,1997,FCP,#13,115,122.5,127.5,127.5,10,62.5,65,70,70,197.5,140,152.5,160,160,357.5,1,SBD,Raw,F
Luca Kawahara-Musiu,EM,MR-SJr,67.65,74,5,2003,MCP,12,100,-125,-127.5,100,8,105,110,-113,110,210,170,180,-187.5,180,390,1,SBD,Raw,M
Samuel Beddoes,EM,MR-SJr,79.8,83,12,2001,MCP,13,190,200,-210,200,10,120,-127.5,-127.5,120,320,200,220,232.5,232.5,552.5,1,SBD,Raw,M
Sam Dunham,EM,MR-SJr,78,83,13,2002,MCP,16,135,145,150,150,8,90,95,100,100,250,155,165,175,175,425,2,SBD,Raw,M
Ranulf Bruere,EM,MR-SJr,88.55,93,16,2003,MCP,15,190,200,205,205,8,105,115,120,120,325,220,237.5,247.5,247.5,572.5,1,SBD,Raw,M
Joshua Cowlbeck,EM,MR-SJr,92.3,93,17,2004,MCP,19,70,90,-110,90,11,45,60,-72.5,60,150,120,140,150,150,300,2,SBD,Raw,M
Alfie Herman,EM,MR-SJr,99.5,105,20,2002,MCP,16,135,145,155,155,10,100,110,115,115,270,-190,210,222.5,222.5,492.5,1,SBD,Raw,M
Joe Spring,EM,MR-SJr,144.25,120+,10,2002,MCP,19,105,112.5,120,120,14,70,75,-85,75,195,135,145,155,155,350,1,SBD,Raw,M
Chris Gallagher,EM,MR-Jr,73.9,74,6,1996,MCP,9,180,200,205,205,5,-140,140,150,150,355,190,210,-220,210,565,1,SBD,Raw,M
James Parker,EM,MR-Jr,73.4,74,8,1998,MCP,12,170,185,200,200,9,117.5,-125,-125,117.5,317.5,217.5,230,-240,230,547.5,2,SBD,Raw,M
Diptarko Chowdhury,G,MR-G,66.3,74,4,1997,MCP,13,142.5,147.5,152.5,152.5,9,107.5,-112.5,-115,107.5,260,190,205,-220,205,465,G,SBD,Raw,M
Hywel Roden,EM,MR-Jr,73,74,7,1996,MCP,13,140,150,-155,150,8,107.5,112.5,-120,112.5,262.5,140,-142.5,-142.5,140,402.5,3,SBD,Raw,M
Joshua Steen,G,MR-G,80,83,11,1998,MCP,11,170,185,190,190,8,122.5,130,-132.5,130,320,195,205,215,215,535,G,SBD,Raw,M
Harry Gammer,EM,MR-Jr,81.3,83,14,1997,MCP,15,140,150,160,160,9,90,95,102.5,102.5,262.5,185,192.5,200,200,462.5,1,SBD,Raw,M
Jack Cowley,EM,MR-Jr,76.6,83,15,1999,MCP,12,127.5,135,-142.5,135,8,-97.5,102.5,107.5,107.5,242.5,-172.5,180,187.5,187.5,430,2,SBD,Raw,M
Jamaar Alexander,EM,MR-Jr,90.9,93,18,1996,MCP,15,205,220,-230,220,10,140,145,150,150,370,220,230,240,240,610,1,SBD,Raw,M
Mason Richards,EM,MR-Jr,90.7,93,19,1998,MCP,17,170,-175,-175,170,10,137.5,-142.5,-142.5,137.5,307.5,190,200,210,210,517.5,2,SBD,Raw,M
Callum Longhurst,EM,MR-Jr,102.5,105,21,1998,MCP,17,195,205,215,215,9,110,115,120,120,335,245,257.5,-270,257.5,592.5,1,SBD,Raw,M
