Name,BodyweightLBS,WeightClassLBS,Age,State,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,Sex,Event,Division,Equipment
Wade Frantz,215.4,220,56,IN,363.8,319.7,473.9,,1157.4,M,SBD,Master (55-59),Wraps
Ron McLeod,218.8,220,50,FL,463,369.3,529.1,,161.4,M,SBD,Master (50-54),Wraps
Michael Nowak,236.1,242,46,FL,314.2,275.6,501.5,,1091.3,M,SBD,Master (45-49),Wraps
Jeffery Owens,233.1,242,57,GA,573.2,363.8,655.8,,1592.8,M,SBD,Master *55-59),Wraps
Steve Waters,233.9,242,54,GA,584.2,424.4,589.7,,1598.3,M,SBD,Master (50-54),Wraps
Kent White,196.9,198,58,LA,440.9,369.3,407.9,,1218.1,M,SBD,Master (55-59),Wraps
Richard Ficca,308.1,308,40,FL,,,,,,M,SBD,Master (40-44),Wraps
Nathan Ahrens,220.3,220,32,OH,479.5,292.1,529.1,,1300.7,M,SBD,Submaster (33-39),Wraps
Ryan Butler,250.6,275,35,FL,523.6,374.8,507,,1405.4,M,SBD,Submaster (33-39),Wraps
Josh Frantz,162.5,165,20,IN,479.5,248,479.5,,1207,M,SBD,Junior (20-23),Wraps
Donovan Green,160.4,165,22,AL,226,275.6,402.3,,903.9,M,SBD,Junior (20-23),Wraps
De’Jon Holmes,196.4,198,23,LA,567.7,341.7,661.4,,1504.6,M,SBD,Junior (20-23),Wraps
Dustyn Khalizadeh,188.8,198,19,AL,402.3,259,501.5,,1162.8,M,SBD,Teenage (18-19),Wraps
Demitri Whitaker,175.1,181,18,IN,578.1,336.2,600.7,,1515,M,SBD,Teenage (18-19),Wraps
Wyatt Reed,284.4,308,19,FL,352.1,319.7,429.9,,1102.3,M,SBD,Teenage (18-19),Wraps
Kirstie Buccellato,105.5,105,24,FL,226,176.4,237,,639.4,F,SBD,Open,Wraps
Cristiane Barragon,112.8,114,38,FL,176.4,93.7,198.04,,468.5,F,SBD,Open,Wraps
Maggie Eubanks,109.8,114,28,MS,209.4,93.7,242.5,,545.6,F,SBD,Open,Wraps
Meredith Pastucha,112.4,114,24,FL,198.4,132.3,314.2,319.7,544.9,F,SBD,Open,Wraps
Diem Presley,113.6,114,40,FL,181.9,121.3,292.1,,595.3,F,SBD,Open,Wraps
Melissa Stevens,123,123,28,OH,220.5,143.3,325.2,,689,F,SBD,Open,Wraps
Amanda Belk,125.5,132,30,MS,275.6,132.3,314.2,,722.1,F,SBD,Open,Wraps
Courtney Deer,147.4,148,26,MS,330.7,159.8,347.2,,837.7,F,SBD,Open,Wraps
Latema Harrell,138,148,22,AL,264.6,165.3,369.3,,799.2,F,SBD,Open,Wraps
Kerrie Gelb,159.7,165,44,FL,,,,,,F,SBD,Open,Wraps
Jodie Page,163.6,165,25,FL,303.1,176.4,374.8,,854.3,F,SBD,Open,Wraps
