Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Iryna Baburova,47,-120,120,-127.5,120,60,62.5,-65,62.5,125,-132.5,-132.5,125,307.5,48,F,Ірина Бабурова,1986,SBD,Single-ply,Student
2,Iryna Khlebodarova,48,110,120,125,125,-57.5,57.5,60,60,115,-120,-120,115,300,48,F,Ірина Хлєбодарова,1990,SBD,Single-ply,Student
1,Nataliya Smetanina,51.6,-120,120,122.5,122.5,62.5,-65,65,65,140,150,-160,150,337.5,52,F,Наталя Сметаніна,1987,SBD,Single-ply,Student
2,Anastasiya Scherbatyuk,49,80,85,-90,85,35,40,-45,40,90,95,-105,95,220,52,F,Анастасія Щербатюк,1990,SBD,Single-ply,Student
1,Natalya Tolochna,55.4,140,-145,-145,140,75,-77.5,-77.5,75,135,140,-145,140,355,56,F,Наталя Толочна,1988,SBD,Single-ply,Student
DQ,Anna Batiukova,59.4,145,150,-155,150,-95,-95,-95,,,,,,,60,F,Анна Батюкова,1987,SBD,Single-ply,Student
1,Kateryna Boroday,67.5,160,-175,175,175,-100,100,-105,100,150,-160,-160,150,425,67.5,F,Катерина Збандут,1983,SBD,Single-ply,Student
2,Ulyana Lyutnyk,64,-145,145,155,155,70,75,80,80,150,160,-180,160,395,67.5,F,Уляна Лютник,1984,SBD,Single-ply,Student
3,Mariya Pankova,64.5,125,137.5,145,145,-60,60,65,65,120,130,140,140,350,67.5,F,Марія Панькова,1986,SBD,Single-ply,Student
1,Viktoriya Mischenko,74.4,180,187.5,-192.5,187.5,-125,125,130,130,160,172.5,-185,172.5,490,75,F,Вікторія Міщенко,1986,SBD,Single-ply,Student
1,Viktoriya Olenytsya,100,140,160,,160,-100,-100,100,100,140,160,,160,420,90+,F,Вікторія Олениця,1984,SBD,Single-ply,Student
1,Andriy Shelenko,55.7,-160,160,-165,160,80,-90,90,90,160,167.5,-170,167.5,417.5,56,M,Андрій Шеленко,1986,SBD,Single-ply,Student
2,Andriy Zhukov,55.4,142.5,-150,150,150,90,95,100,100,145,152.5,-160,152.5,402.5,56,M,Андрій Жуков,1992,SBD,Single-ply,Student
3,Ruslan Gurzhuy,54.2,140,150,-155,150,-70,70,-75,70,140,150,155,155,375,56,M,Руслан Гуржуй,1988,SBD,Single-ply,Student
4,Oleg Mishin,55.1,125,-140,-140,125,65,-70,70,70,165,175,-180,175,370,56,M,Олег Мішин,1990,SBD,Single-ply,Student
5,Oleksandr Dmytriv,52.8,-90,90,100,100,60,-62.5,-62.5,60,120,130,137.5,137.5,297.5,56,M,Олександр Дмитрів,1987,SBD,Single-ply,Student
6,Andriy Dolzhenko,47.5,95,102.5,105,105,55,60,65,65,125,-132.5,-132.5,125,295,56,M,Андрій Долженко,1991,SBD,Single-ply,Student
1,Anton Kvasha,59.3,190,210,-220,210,130,140,145,145,175,185,-195,185,540,60,M,Антон Кваша,1988,SBD,Single-ply,Student
2,Oleksiy Kraskovskyy,59.5,210,220,230,230,105,110,-115,110,-175,175,-182.5,175,515,60,M,Олексій Красковський,1986,SBD,Single-ply,Student
3,Oleksandr Chepurniy,59.7,-190,190,200,200,100,105,-110,105,180,190,200,200,505,60,M,Олександр Чепурной,1987,SBD,Single-ply,Student
4,Stanislav Boychuk,58.7,140,150,-160,150,70,75,80,80,140,160,-170,160,390,60,M,Станіслав Бойчук,1990,SBD,Single-ply,Student
1,Maksym Masyuk,65,-230,240,-250,240,-150,155,165,165,205,220,230,230,635,67.5,M,Максим Масюк,1989,SBD,Single-ply,Student
2,Yuriy Vyshivanyuk,66.5,-240,240,250,250,150,-160,-160,150,225,-230,-230,225,625,67.5,M,Юрій Вишиванюк,1986,SBD,Single-ply,Student
3,Sergiy Maslyuchenko,67,240,250,-260,250,135,-140,-140,135,220,230,-247.5,230,615,67.5,M,Сергій Маслюченко,1985,SBD,Single-ply,Student
4,Oleg Poprienko,67.5,-227.5,227.5,235,235,-130,130,135,135,230,245,-257.5,245,615,67.5,M,Олег Попрієнко,1988,SBD,Single-ply,Student
5,Andriy Andrushchenko,66,220,230,237.5,237.5,150,-155,-155,150,-215,-215,222.5,222.5,610,67.5,M,Андрій Андрущенко,1987,SBD,Single-ply,Student
6,Ivan Chuprinko,66.2,200,-220,-230,200,160,-170,-170,160,200,-220,-220,200,560,67.5,M,Іван Чупринко,1986,SBD,Single-ply,Student
7,Ruslan Zetov,66.3,210,220,-230,220,125,132.5,137.5,137.5,-200,200,-215,200,557.5,67.5,M,Руслан Зетов,1986,SBD,Single-ply,Student
8,Sergiy Rybalko,66.2,-190,190,200,200,110,117.5,-122.5,117.5,185,192.5,195,195,512.5,67.5,M,Сергій Рибалко,1990,SBD,Single-ply,Student
9,Vyacheslav Kashpullin,66.5,-190,-195,195,195,105,107.5,-112.5,107.5,190,200,-212.5,200,502.5,67.5,M,В'ячеслав Кашпулін,1989,SBD,Single-ply,Student
10,Illya Bolfachuk,66.4,-140,140,150,150,80,-95,-95,80,160,-190,-190,160,390,67.5,M,Ілля Болфачук,1986,SBD,Single-ply,Student
DQ,Andriy Tischenko,65.9,235,-250,-250,235,-127.5,-127.5,-127.5,,,,,,,67.5,M,Андрій Тищенко,1984,SBD,Single-ply,Student
1,Andriy Nelipa,74.8,255,265,275,275,160,170,175,175,220,-230,-230,220,670,75,M,Андрій Неліпа,1986,SBD,Single-ply,Student
2,Volodymyr Dobrydnyuk,74.6,240,-255,-255,240,-145,145,155,155,220,230,-240,230,625,75,M,Володимир Добриднюк,1986,SBD,Single-ply,Student
3,Leonid Kamenotrus,70.9,195,210,-230,210,115,-125,-125,115,200,215,-220,215,540,75,M,Леонід Каменотрус,1989,SBD,Single-ply,Student
4,Oleksandr Martinyuk,74.6,-200,200,-210,200,-130,130,140,140,190,-200,-200,190,530,75,M,Олександр Мартинюк,1987,SBD,Single-ply,Student
5,Dmytro Davidyuk,73.1,160,170,180,180,-105,105,115,115,180,190,200,200,495,75,M,Дмитро Давидюк,1988,SBD,Single-ply,Student
6,Sergiy Polozhentsev,72.6,140,150,157.5,157.5,95,100,-102.5,100,180,-190,190,190,447.5,75,M,Сергій Положенцев,1989,SBD,Single-ply,Student
DQ,Dmytro Semenenko,73.5,-285,-285,-285,,,,,,,,,,,75,M,Дмитро Семененко,1988,SBD,Single-ply,Student
DQ,Oleksandr Zakharovskiy,74.2,-230,-230,-230,,,,,,,,,,,75,M,Олександр Захаровський,1983,SBD,Single-ply,Student
1,Dmytro Chumakov,81.8,280,-290,-290,280,155,-160,162.5,162.5,270,280,-310,280,722.5,82.5,M,Дмитро Чумаков,1985,SBD,Single-ply,Student
2,Andriy Semotyuk,82.5,230,240,250,250,120,130,140,140,220,240,250,250,640,82.5,M,Андрій Семотюк,1987,SBD,Single-ply,Student
3,Artem Lobachov,81.9,240,-247.5,-247.5,240,160,-162.5,,160,-210,222.5,230,230,630,82.5,M,Артем Лобачов,1988,SBD,Single-ply,Student
4,Denys Onufriyenko,80.9,-245,-245,245,245,140,147.5,-155,147.5,200,-222.5,,200,592.5,82.5,M,Денис Онуфрієнко,1987,SBD,Single-ply,Student
5,Oleg Litovchenko,80.6,205,-220,-220,205,125,-135,135,135,200,-210,210,210,550,82.5,M,Олег Литовченко,1987,SBD,Single-ply,Student
6,Dmytro Smandych,78.5,170,180,200,200,-100,120,-130,120,190,220,-230,220,540,82.5,M,Дмитро Смандич,1990,SBD,Single-ply,Student
DQ,Vasil Demyanenko,78.4,-250,-250,-250,,,,,,,,,,,82.5,M,Василь Дем'яненко,1989,SBD,Single-ply,Student
DQ,Roman Shportko,82.3,-267.5,-267.5,-270,,,,,,,,,,,82.5,M,Роман Шпортко,1989,SBD,Single-ply,Student
1,Anton Khramov,88.7,275,-290,295,295,-160,160,167.5,167.5,255,270,292.5,292.5,755,90,M,Антон Храмов,1986,SBD,Single-ply,Student
2,Yuriy Mykhaylov,89.5,265,-280,280,280,-160,160,-175,160,-260,260,270,270,710,90,M,Юрій Михайлов,1985,SBD,Single-ply,Student
3,Yuriy Lagutin,88.7,250,-270,-270,250,150,152.5,165,165,230,240,-250,240,655,90,M,Юрій Лагутін,1987,SBD,Single-ply,Student
4,Dmytro Khristov,85.6,245,-252.5,-255,245,-145,145,150,150,225,240,250,250,645,90,M,Дмитро Христов,1987,SBD,Single-ply,Student
DQ,Vasil Gritsko,89.3,240,250,255,255,-170,-170,-170,,,,,,,90,M,Василь Грицько,1985,SBD,Single-ply,Student
