Name,Place,WeightClassKg,Division,Sex,BodyweightKg,BirthYear,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Equipment,Event
Walter Rhein,1,105,Master2,M,100.4,1962,180,190,200,200,Single-ply,D
Martin Sach,2,74,Master1,M,69.4,1976,190,200,-210,200,Single-ply,D
Werner Stefanowicz,4,93,Master1,M,91.75,1975,190,200,-210,200,Single-ply,D
Valerie Karpov,4,105,Master3,M,99.5,1955,190,202.5,-210,202.5,Single-ply,D
Jürgen Lange,2,93,Master3,M,84.75,1958,190,200,210,210,Single-ply,D
Roland Asmus,1,74,Master2,M,71.55,1960,200,210,-215,210,Single-ply,D
Eduard Eida,1,74,subjuniors,M,72.9,2001,185,202.5,210,210,Single-ply,D
Johannes Hofmann,1,83,subjuniors,M,81.6,2000,180,195,210,210,Single-ply,D
Josef Weiss,1,93,Master3,M,87.1,1954,190,200,212.5,212.5,Single-ply,D
Arnold Leesemann,3,105,Master3,M,102.4,1954,200,207.5,212.5,212.5,Single-ply,D
Marco Dömling,4,83,Master1,M,80.5,1976,200,210,217.5,217.5,Single-ply,D
Stefan Gabler,4,93,Open,M,91.3,1993,217.5,-227.5,-232.5,217.5,Single-ply,D
Robert Robeis,1,74,Master3,M,71.9,1958,200,220,-247.5,220,Single-ply,D
Dieter Hundertmark,2,83,Master3,M,80.8,1954,220,-232.5,-235,220,Single-ply,D
Alfons Mietz,1,120,Master4,M,107.6,1947,190,210,220,220,Single-ply,D
Sergej Neufeld,3,83,Master1,M,82.3,1973,207.5,217.5,220,220,Single-ply,D
Patrick Popp,3,83,Junior,M,78.45,1997,200,212.5,220,220,Single-ply,D
Simon Eichler,3,83,Open,M,78.7,1993,205,220,-227.5,220,Single-ply,D
Jonas Diefenbach,2,83,Junior,M,77.4,1998,205,220,222.5,222.5,Single-ply,D
Marcus Siegmund,2,74,Open,M,71.5,1993,215,227.5,-235,227.5,Single-ply,D
Siegmund Schiebe,2,105,Master3,M,104,1953,230,-240,-,230,Single-ply,D
Armin Ehinger,1,120,Master3,M,116.9,1957,210,220,230,230,Single-ply,D
Fabrizio Quensel,1,83,Master2,M,82.75,1966,210,230,-242.5,230,Single-ply,D
Dirk Motzkus,2,120,Master1,M,105.1,1977,200,220,230,230,Single-ply,D
Christian Henneberger,1,74,Master1,M,73.05,1973,220,232.5,-,232.5,Single-ply,D
Johann Goldstein,1,83,Master3,M,80.6,1957,220,232.5,235,235,Single-ply,D
Jörg Kasparek,1,93,Master2,M,90.45,1968,200,220,235,235,Single-ply,D
Simon Bausewein,5,105,Junior,M,100.2,1997,220,235,-240,235,Single-ply,D
Johnesen Münster,6,105,Junior,M,101.1,1999,222.5,235,-247.5,235,Single-ply,D
Nikolas Baumann,1,74,Junior,M,71.6,1996,230,240,-250,240,Single-ply,D
Sven Lorenz,3,120,Open,M,109.1,1979,200,220,240,240,Single-ply,D
Janos Geerhardt,2,83,Master2,M,82.9,1967,230,242.5,-250,242.5,Single-ply,D
Armin Seynstahl,1,74,Open,M,73.55,1991,235,242.5,-252.5,242.5,Single-ply,D
Thomas Terbeck,2,83,Open,M,78.2,1981,225,235,242.5,242.5,Single-ply,D
Stephan Lerach,1,120,Master2,M,110.4,1962,230,245,-260,245,Single-ply,D
Marko Staubach,2,83,Master1,M,80.65,1971,225,240,245,245,Single-ply,D
Ramon Baubel,3,93,Open,M,86.35,1981,220,230,245,245,Single-ply,D
Till Kruse,1,105,subjuniors,M,104.1,2001,230,242.5,247.5,247.5,Single-ply,D
Jan Andreas Smolczyk,1,83,Master1,M,81.6,1970,235,242.5,250,250,Single-ply,D
Hendrik Pflug,2,105,Master1,M,103.1,1971,250,-265,-267.5,250,Single-ply,D
Marco Frey,3,93,Junior,M,92,1995,210,230,250,250,Single-ply,D
Faisal Yassin,2,93,Open,M,91.85,1987,230,250,-265,250,Single-ply,D
Guido Nieland,3,93,Master1,M,92.4,1970,232.5,252.5,-262.5,252.5,Single-ply,D
Andreas Staude,1,93,Open,M,88.05,1979,232.5,252.5,,252.5,Single-ply,D
Alois Weiser,1,105,Master3,M,102.8,1949,242.5,255,-265,255,Single-ply,D
Alfons Räß,2,93,Master1,M,90.6,1970,232.5,242.5,255,255,Single-ply,D
Jeremias Büchs,2,93,Junior,M,92.1,1995,235,250,255,255,Single-ply,D
Volker Bauer,4,105,Junior,M,100.6,1997,240,255,-265,255,Single-ply,D
Jonas Bausewein,3,105,Junior,M,96.1,1997,230,245,255,255,Single-ply,D
Janek Buchholz,2,105,Junior,M,103.1,1995,-235,245,257.5,257.5,Single-ply,D
Steffen Radeck,1,120,Master1,M,123.1,1975,235,250,260,260,Single-ply,D
Philipp Karbstein,1,93,Junior,M,91.85,1996,240,260,-275,260,Single-ply,D
Moritz Taschner,1,120,subjuniors,M,116.9,2002,220,240,260,260,Single-ply,D
Olaf Brandl,1,93,Master1,M,92.45,1970,250,255,262.5,262.5,Single-ply,D
Marcel Sigl,1,105,Junior,M,93.6,1996,235,255,265,265,Single-ply,D
Tobias Stadler,1,105,Master1,M,102.8,1977,-255,265,270,270,Single-ply,D
Milan Bogner,4,105,Open,M,102.9,1988,262.5,277.5,-282.5,277.5,Single-ply,D
Sven Saiko,3,105,Open,M,102.3,1991,250,270,277.5,277.5,Single-ply,D
Moritz Mader,1,120,Junior,M,111,1996,-272.5,272.5,280,280,Single-ply,D
Yannik Russok,2,120,Junior,M,123.5,1996,260,280,-290,280,Single-ply,D
Florian Bittorf,2,120,Open,M,145.2,1985,240,265,282.5,282.5,Single-ply,D
Tim Huber,2,105,Open,M,99.6,1992,270,-290,292.5,292.5,Single-ply,D
Thomas Starklauf,1,105,Open,M,96.3,1989,275,290,292.5,292.5,Single-ply,D
Lukas Gärtner,1,120,Junior,M,134.8,1997,282.5,295,-300,295,Single-ply,D
Max Lochschmidt,1,83,Open,M,81.95,1983,285,305,-315,305,Single-ply,D
Alexander Geitner,1,120,Master1,M,109.3,1978,280,300,312.5,312.5,Single-ply,D
Malte Fleissner,2,120,Open,M,116.4,1989,322.5,-340,-340,322.5,Single-ply,D
Miriam Dahlke,1,57,Subjunior,F,55.4,2000,70,80,87.5,87.5,Single-ply,D
Silvia Krüger,1,84,Master1,F,101.9,1978,65,80,90,90,Single-ply,D
Ursula Nothnagel,1,63,Master4,F,63,1936,75,85,95,95,Single-ply,D
