Name,WeightClassKg,Sex,Best3SquatKg,TotalKg,Event,Equipment,Division,Place,,
P. DelFino,52,M,155,155,B,Raw,Open,1,70.31,70.31
Monkee Caldwell,52,F,100,100,B,Raw,Open,2,45.36,45.36
L. Pierce,52,F,75,75,B,Raw,Open,3,34.02,34.02
T. Pelkey,52,F,60,60,B,Raw,Open,4,27.22,27.22
T. Hall,52,F,55,55,B,Raw,Open,5,24.95,24.95
T. Anderson,56,M,140,140,B,Raw,Open,1,63.5,63.5
Mike Briscoe,60,M,190,190,B,Raw,Open,1,86.18,86.18
M. Hunt,60,M,170,170,B,Raw,Open,2,77.11,77.11
N. Wood,60,M,135,135,B,Raw,Open,3,61.24,61.24
S. Walker,60,M,105,105,B,Raw,Open,4,47.63,47.63
L. Fairchild,67.5,M,220,220,B,Raw,Open,1,99.79,99.79
P. Fairchild,67.5,F,90,90,B,Raw,Open,2,40.82,40.82
H. Jones,75,M,230,230,B,Raw,Open,1,104.33,104.33
R. Mitchell,82.5,M,230,230,B,Raw,Open,1,104.33,104.33
B. Marich,82.5,M,195,195,B,Raw,Open,2,88.45,88.45
T. Branscum,82.5,M,185,185,B,Raw,Open,3,83.91,83.91
Dusty Caldwell,90,M,315,315,B,Raw,Open,1,142.88,142.88
G. Nadler,90,M,280,280,B,Raw,Open,2,127.01,127.01
T. Foross,90,M,165,165,B,Raw,Open,3,74.84,74.84
J. Jolly,110,M,175,175,B,Raw,Open,1,79.38,79.38
