Name,Sex,Event,Age,Division,WeightClassKg,Equipment,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Teppo Koskinen,M,B,45,MO-R,100,Raw,137.5,,,,137.5,10
Juha Tuomainen,M,B,35,MO-R,110,Raw,250,255.5,,,250,1
Jani-Pekka Eirala,M,B,30,MO-R,110,Raw,230,,,,230,2
Jari Koskinen,M,B,36,MO-R,110,Raw,210,,,,210,3
Timo Seppänen,M,B,42,MO-R,117.5,Raw,215,-218,,,215,1
Samuli Kapanen,M,B,29,MO-R,117.5,Raw,120,,,,120,2
Matias Hyttinen,M,B,23,MO-R,125,Raw,212.5,,,,212.5,1
Sami Kankaanpää,M,B,30,MO-R,125,Raw,200,,,,200,2
Jussi Kananen,M,B,32,MO-R,140+,Raw,205,,,,205,1
Tero Manner,M,B	38,MO-R,125,Raw,135,,,,135,3
Maiju Hilander,F,D,61,FM4-R,75,Raw,,,161,,161,1
Tuulikki Kare,F,D,50,FM2-R,75,Raw,,,180,185,180,1
Pauliina Loponen,F,D,24,FJ-R,67.5,Raw,,,150,,150,1
Anni Vuorio,F,D,24,FJ-R,75,Raw,,,172.5,182.5,172.5,1
Marianne Hartio,F,D,25,FJ-R,75,Raw,,,160,,160,2
Amra Halilovic,F,D,25,FJ-R,75,Raw,,,151,,151,3
Natalia Gadolin,F,D,23,FJ-R,SHW,Raw,,,167.5,,167.5,1
Elisa Koikkalainen,F,D,19,FT3-R,60,Raw,,,147.5,-150,147.5,1
Vanessa Torres,F,D,31,FO-R,60,Raw,,,175,175,1
Carolina Aftab,F,D,34,FO-R,60,Raw,,,130,130,2
Johanna Rasmussen,F,D,32,FO-R,67.5,Raw,,,168,173,168,1
Angelica Khanjyan,F,D,27,FO-R,67.5,Raw,,,130,,130,2
Emmaleena Salla,F,D,31,FO-R,67.5,Raw,,,125,,125,3
Rachael Malott,F,D,26,FO-R,75,Raw,,,200,,200,1
Tuulikki Kare,F,D,50,FO-R,75,Raw,,,180,185,180,2
Anni Vuorio,F,D,23,FO-R,75,Raw,,,172.5,182.5,172.5,3
