Place,Name,Division,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,SheetName,Event
2,Eric Platel,M1,France,104.50,,,,,,175,182.5,,182.5,,,,,,,182.5,110,M,,1971,raw men,B
3,Juhani Majuri Timo,M1,Estonia,109.70,,,,,,180,-190,-190,180,,,,,,,180.0,110,M,,1967,raw men,B
1,Oleg Korotaev,M2,Russia,107.50,,,,,,190,200,210,210,,,,,,,210.0,110,M,Олег Коротаев,1965,raw men,B
2,Gvido Kohs,M2,Latvia,107.50,,,,,,160,175,-185,175,,,,,,,175.0,110,M,,1965,raw men,B
1,Pavel Kostyrko,M3,Russia,107.60,,,,,,140,150,-152.5,150,,,,,,,150.0,110,M,Павел Костырко,1959,raw men,B
2,Vasilijs Drobovs,M3,Latvia,100.60,,,,,,137.5,145,-150,145,,,,,,,145.0,110,M,,1958,raw men,B
1,Viktor Kurochkin,M4,Ukraine,106.05,,,,,,100,120,,120,,,,,,,120.0,110,M,Віктор Курочкін,1955,raw men,B
1,Petro Onishchuk,J,Ukraine,117.40,,,,,,250,,,250,,,,,,,250.0,125,M,Петро Онищук,1988,raw men,B
2,Benjamin Bodnar,J,Hungary,116.60,,,,,,-200,200,-210,200,,,,,,,200.0,125,M,,1991,raw men,B
3,Igors Kurako,J,Latvia,120.20,,,,,,140,150,155,155,,,,,,,155.0,125,M,,1988,raw men,B
1,Petro Onishchuk,O,Ukraine,117.40,,,,,,260,267.5,-272.5,267.5,,,,,,,267.5,125,M,Петро Онищук,1988,raw men,B
2,Aleksey Gurkin,O,Russia,118.70,,,,,,240,250,,250,,,,,,,250.0,125,M,Алексей Гуркин,1973,raw men,B
3,Norbert Stranszki,O,Hungary,116.80,,,,,,220,230,235,235,,,,,,,235.0,125,M,,1986,raw men,B
4,Stanislav Kolachev,O,Russia,116.55,,,,,,220,227.5,-235,227.5,,,,,,,227.5,125,M,Станислав Колачев,1987,raw men,B
5,Sandris Preimanis,O,Latvia,123.30,,,,,,220,-230,-235,220,,,,,,,220.0,125,M,,1974,raw men,B
6,Alexey Pisarevskiy,O,Kazakhstan,124.50,,,,,,215,-225,-225,215,,,,,,,215.0,125,M,,1987,raw men,B
7,Ramig Nuruev,O,Russia,123.00,,,,,,-200,200,-210,200,,,,,,,200.0,125,M,Рамиг Нуруев,1984,raw men,B
8,Miklos Mihajlovic,O,Serbia,114.80,,,,,,190,-210,-210,190,,,,,,,190.0,125,M,,1976,raw men,B
1,Mariks Daugavets,M1,Latvia,121.25,,,,,,230,-240,-240,230,,,,,,,230.0,125,M,,1971,raw men,B
2,Nikolay Boykov,M1,Russia,124.50,,,,,,195,200,205,205,,,,,,,205.0,125,M,Николай Бойков,1969,raw men,B
3,Sergey Samoylenko,M1,Russia,111.80,,,,,,140,150,-160,150,,,,,,,150.0,125,M,Сергей Самойленко,1969,raw men,B
4,Raivo Klimbis,M1,Latvia,110.40,,,,,,135,145,-150,145,,,,,,,145.0,125,M,,1969,raw men,B
1,Didier Michelon,M2,France,116.10,,,,,,160,185,-200,185,,,,,,,185.0,125,M,,1963,raw men,B
2,Yuriy Usoltsev,M2,Russia,111.40,,,,,,170,180,-190,180,,,,,,,180.0,125,M,Юрий Усольцев,1964,raw men,B
3,Vasily Chernyshenko,M2,Russia,117.20,,,,,,145,152.5,-155,152.5,,,,,,,152.5,125,M,Василий Чернышенко,1963,raw men,B
1,Dieter Berghoff,M3,Germany,121.50,,,,,,-180,190,-200,190,,,,,,,190.0,125,M,,1960,raw men,B
1,Grachik Egozaryan,M4,Russia,110.90,,,,,,170,182.5,190,190,,,,,,,190.0,125,M,Грачик Егозарьян,1952,raw men,B
1,Josef Hakl,M5,Czech Republic,114.60,,,,,,-150,-150,150,150,,,,,,,150.0,125,M,,1950,raw men,B
1,Evgeniy Dmitriev,M7,Russia,116.00,,,,,,125,130,135,135,,,,,,,135.0,125,M,Евгений Дмитриев,1940,raw men,B
1,Nikita Kuzmin,J,Russia,138.90,,,,,,195,210,217.5,217.5,,,,,,,217.5,140,M,Никита Кузьмин,1988,raw men,B
1,László Mészáros,O,Hungary,129.90,,,,,,280,291,300,300,,,,,,,300.0,140,M,,1968,raw men,B
2,Viktor Kochmar,O,Ukraine,134.95,,,,,,230,235,-240,235,,,,,,,235.0,140,M,Віктор Кочмар,1970,raw men,B
3,Wayne Howlett,O,Australia,126.10,,,,,,220,225,,225,,,,,,,225.0,140,M,,1980,raw men,B
4,Oleg Dolzhenko,O,Ukraine,126.50,,,,,,200,210,-220,210,,,,,,,210.0,140,M,Олег Долженко,1973,raw men,B
5,Lev Pankov,O,Russia,126.30,,,,,,190,-200,200,200,,,,,,,200.0,140,M,Лев Панков,1979,raw men,B
1,Viktor Kochmar,M1,Ukraine,134.95,,,,,,230,240,-245,240,,,,,,,240.0,140,M,Віктор Кочмар,1970,raw men,B
1,Ján Orosz,M2,Slovak Republic,130.50,,,,,,205,-215,-221,205,,,,,,,205.0,140,M,,1964,raw men,B
1,Andrejs Mūrnieks,O,Latvia,141.35,,,,,,255,265,-275,265,,,,,,,265.0,140+,M,,1980,raw men,B
2,Adrian Tullo,O,Australia,165.40,,,,,,220,240,-250,240,,,,,,,240.0,140+,M,,1972,raw men,B
3,Andrzej Swierszcz,O,Poland,140.50,,,,,,230,-240,-240,230,,,,,,,230.0,140+,M,,1972,raw men,B
4,Sergey Kolesnichenko,O,Russia,140.25,,,,,,215,220,-230,220,,,,,,,220.0,140+,M,Сергей Колесниченко,1979,raw men,B
1,Elizabet Tomilov,T1,Israel,33.85,,,,,,20,22.5,25,25,,,,,,,25.0,44,F,,2003,raw women,B
1,Leslie Watson,O,Great Britain,45.30,,,,,,-62.5,-62.5,62.5,62.5,65,,,,,,62.5,48,F,,1948,raw women,B
1,Maryana Naumova,T1,Russia,51.20,,,,,,67.5,70,72.5,72.5,75,,,,,,72.5,52,F,Марьяна Наумова,1999,raw women,B
1,Maryana Naumova,O,Russia,51.20,,,,,,67.5,70,72.5,72.5,75,,,,,,72.5,52,F,Марьяна Наумова,1999,raw women,B
1,Elva Bole,T2,Latvia,54.22,,,,,,40,42.5,45,45,,,,,,,45.0,56,F,,1995,raw women,B
1,Anna Kadatska,O,Ukraine,55.45,,,,,,95,-100,-100,95,,,,,,,95.0,56,F,Анна Кадацька,1977,raw women,B
2,Lilia Prots,O,Ukraine,54.05,,,,,,55,60,65,65,,,,,,,65.0,56,F,Лілія Проць,1974,raw women,B
3,Roza Ovechkina,O,Russia,55.95,,,,,,55,60,65,65,,,,,,,65.0,56,F,Роза Овечкина,1980,raw women,B
1,Svetlana Klepikova,J,Russia,57.05,,,,,,70,77.5,81,81,,,,,,,81.0,60,F,Светлана Клепикова,1988,raw women,B
1,Marina Medvedeva,O,Russia,59.10,,,,,,75,80,85,85,,,,,,,85.0,60,F,Марина Медведева,1974,raw women,B
1,Christel Schubert,M6,Germany,59.25,,,,,,35,37.5,-38.5,37.5,,,,,,,37.5,60,F,,1945,raw women,B
1,Digna Tuca,J,Latvia,67.45,,,,,,52.5,55,57.5,57.5,,,,,,,57.5,67.5,F,,1988,raw women,B
1,Inna Tretjaka,O,Latvia,66.85,,,,,,100,105,107.5,107.5,,,,,,,107.5,67.5,F,,1985,raw women,B
2,Iris Shekhter,O,Israel,65.10,,,,,,80,85,-92.5,85,,,,,,,85.0,67.5,F,,1978,raw women,B
1,Sandra Bileiše,M2,Latvia,67.40,,,,,,85,90,-92.5,90,,,,,,,90.0,67.5,F,,1963,raw women,B
1,Katja Rosenthal,J,Germany,73.10,,,,,,60,-65,-65,60,,,,,,,60.0,75,F,,1991,raw women,B
1,Iryna Zheliazkova,O,Ukraine,69.90,,,,,,45,50,52.5,52.5,,,,,,,52.5,75,F,,1984,raw women,B
1,Elena Sheverdina,M1,Russia,74.60,,,,,,125,132.5,137.5,137.5,141,,,,,,137.5,75,F,Елена Шевердина,1968,raw women,B
1,Svetlana Odintsova,M2,Russia,73.60,,,,,,100,-107.5,107.5,107.5,,,,,,,107.5,75,F,Светлана Одинцова,1966,raw women,B
1,Jolanta Logina,O,Latvia,87.70,,,,,,90,-95,100,100,,,,,,,100.0,90,F,,1978,raw women,B
1,Karina Grigorjeva,O,Latvia,90.55,,,,,,77.5,82.5,85,85,-87.5,,,,,,85.0,90+,F,,1981,raw women,B
DQ,Anna McCloskey,T3,USA,82.90,,,,,,-130,-137.5,-137.5,,,,,,,,,90,F,,1993,eq men,B
1,Michal Tamaskovic,J,Slovak Republic,52.00,,,,,,100,105,110,110,,,,,,,110.0,52,M,,1988,eq men,B
1,Oleg Ivanyukov,O,Israel,57.10,,,,,,95,105,-117.5,105,,,,,,,105.0,60,M,,1980,eq men,B
DQ,Chris Svoboda,J,USA,67.50,,,,,,-212.5,-212.5,-212.5,,,,,,,,,67.5,M,,1988,eq men,B
1,Anatoliy Nefedov,O,Russia,66.60,,,,,,160,170,,170,,,,,,,170.0,67.5,M,Анатолий Нефедов,1963,eq men,B
1,Anatoliy Nefedov,M2,Russia,66.60,,,,,,160,170,175,175,-180,,,,,,175.0,67.5,M,Анатолий Нефедов,1963,eq men,B
1,Ernest Ruzin,M7,Israel,64.90,,,,,,75,80,-85,80,,,,,,,80.0,67.5,M,,1937,eq men,B
2,Yuri Kiselev,M7,Russia,66.20,,,,,,60,70,,70,,,,,,,70.0,67.5,M,Юрий Киселев,1937,eq men,B
1,Dániel Égei,T3,Hungary,73.00,,,,,,160,170,180,180,,,,,,,180.0,75,M,,1992,eq men,B
2,Eduards Matvejevs,T3,Latvia,72.40,,,,,,150,-155,-155,150,,,,,,,150.0,75,M,,1992,eq men,B
3,Rafał Żarnowski,T3,Poland,73.30,,,,,,140,145,-152.5,145,,,,,,,145.0,75,M,,1992,eq men,B
1,Alexei Alexeev Goruho,J,Israel,72.60,,,,,,160,170,-180,170,,,,,,,170.0,75,M,,1989,eq men,B
2,Davyd Pkin,J,Ukraine,75.00,,,,,,140,-160,-172.5,140,,,,,,,140.0,75,M,Давид Пкін,1990,eq men,B
1,Vincent Eldin,O,France,73.80,,,,,,170,-180,-180,170,,,,,,,170.0,75,M,,1972,eq men,B
2,Jonas Anderbring,O,Sweden,74.00,,,,,,155,-160,-170,155,,,,,,,155.0,75,M,,1979,eq men,B
1,Pedro Claro,M2,Portugal,74.70,,,,,,135,145,150,150,,,,,,,150.0,75,M,,1965,eq men,B
1,Michel Faugue,M3,France,72.30,,,,,,135,-145,145,145,,,,,,,145.0,75,M,,1959,eq men,B
1,Alexander Papir,M6,Israel,74.30,,,,,,100,107.5,112.5,112.5,,,,,,,112.5,75,M,,1945,eq men,B
1,Grigori Rubin,M8,Israel,71.50,,,,,,82.5,-90,95,95,,,,,,,95.0,75,M,,1936,eq men,B
1,Gergő Vakarcs Viktor,T1,Hungary,81.45,,,,,,140,150,-160,150,,,,,,,150.0,82.5,M,,1995,eq men,B
1,Zsolt Mak,T3,Hungary,81.70,,,,,,180,-185,185,185,,,,,,,185.0,82.5,M,,1992,eq men,B
2,Miroslav Čaba,T3,Slovak Republic,80.00,,,,,,175,-182.5,-182.5,175,,,,,,,175.0,82.5,M,Mirоslav Čaba,1993,eq men,B
1,Károly Szabó,J,Hungary,77.00,,,,,,180,-190,190,190,,,,,,,190.0,82.5,M,,1991,eq men,B
1,Ŀukasz Kozłowski,O,Poland,82.30,,,,,,220,225,-230,225,,,,,,,225.0,82.5,M,,1985,eq men,B
2,Gatis Biezais,O,Latvia,81.20,,,,,,180,190,-195,190,,,,,,,190.0,82.5,M,,1975,eq men,B
3,Didier Theux,O,France,81.85,,,,,,185,-195,-195,185,,,,,,,185.0,82.5,M,,1958,eq men,B
DQ,Andris Greberis,M2,Latvia,82.40,,,,,,-217.5,,,,,,,,,,,82.5,M,,1964,eq men,B
1,Didier Theux,M3,France,81.85,,,,,,185,-192.5,192.5,192.5,,,,,,,192.5,82.5,M,,1958,eq men,B
1,Dávid Mészáros,T3,Hungary,88.80,,,,,,225,-235,235,235,-246,,,,,,235.0,90,M,,1993,eq men,B
2,Christopher Glover,T3,Great Britain,88.30,,,,,,150,-217.5,-235,150,,,,,,,150.0,90,M,,1992,eq men,B
1,Ákos Oláh,J,Hungary,88.10,,,,,,245,252.5,-262.5,252.5,,,,,,,252.5,90,M,,1989,eq men,B
DQ,Aigars Jaņēvičs,J,Latvia,89.80,,,,,,-245,-245,-245,,,,,,,,,90,M,,1991,eq men,B
1,Yuji Watanabe,O,Japan,88.85,,,,,,-290,-290,295,295,,,,,,,295.0,90,M,,1980,eq men,B
2,Igor Sergeev,O,Russia,89.10,,,,,,280,290,-305,290,,,,,,,290.0,90,M,Игорь Сергеев,1966,eq men,B
3,Heikki Sorsa,O,Finland,90.00,,,,,,-262.5,-262.5,262.5,262.5,,,,,,,262.5,90,M,,1983,eq men,B
4,Mikhail Nagovitsyn,O,Russia,85.55,,,,,,240,250,255,255,,,,,,,255.0,90,M,Михаил Наговицын,1980,eq men,B
5,Krzysztof Zakrzewski,O,Poland,89.30,,,,,,240,-250,252.5,252.5,,,,,,,252.5,90,M,,1977,eq men,B
6,Ŀukasz Marcińkowski,O,Poland,89.40,,,,,,-240,240,-252,240,,,,,,,240.0,90,M,Ŀukasz Marcińkоwski,1986,eq men,B
7,Volodymyr Starchenko,O,Ukraine,87.60,,,,,,225,-230,-235,225,,,,,,,225.0,90,M,Володимир Старченко,1975,eq men,B
8,David Velička,O,Czech Republic,89.70,,,,,,-225,-225,225,225,,,,,,,225.0,90,M,,1978,eq men,B
9,Helvis Gutmanis,O,Latvia,88.40,,,,,,160,170,-180,170,,,,,,,170.0,90,M,,1982,eq men,B
DQ,Mariusz Kominek,O,Poland,89.10,,,,,,-240,-240,-240,,,,,,,,,90,M,,1985,eq men,B
DQ,Jarkko Hamalainen,O,Finland,89.35,,,,,,-240,,,,,,,,,,,90,M,,1984,eq men,B
DQ,Sergiy Naleykin,O,Ukraine,87.00,,,,,,-305,-305,-305,,,,,,,,,90,M,Сергій Налейкін,1981,eq men,B
DQ,Dawid Deptuch,O,Poland,89.10,,,,,,-220,-225,-227.5,,,,,,,,,90,M,,1986,eq men,B
DQ,Mikhail Veber,O,Russia,88.65,,,,,,-255,-255,-255,,,,,,,,,90,M,Михаил Вебер,1971,eq men,B
1,Jens Bollwahn,M1,Germany,88.15,,,,,,190,210,-215,210,,,,,,,210.0,90,M,,1970,eq men,B
1,Yuriy Petryakov,M2,Russia,88.90,,,,,,220,230,-235,230,,,,,,,230.0,90,M,Юрий Петряков,1964,eq men,B
2,Valery Tomilov,M2,Israel,88.70,,,,,,217.5,-220,,217.5,,,,,,,217.5,90,M,,1965,eq men,B
1,Alexander Petrov,M3,Russia,88.90,,,,,,235,250,-260,250,,,,,,,250.0,90,M,Александр Петров,1960,eq men,B
1,József Sztanke,M4,Hungary,88.70,,,,,,195,-202.5,-207.5,195,,,,,,,195.0,90,M,,1954,eq men,B
2,Klaus Krüger,M4,Germany,88.05,,,,,,190,,-205,190,,,,,,,190.0,90,M,,1952,eq men,B
3,Krzysztof Kołodziej,M4,Poland,89.50,,,,,,-160,160,-170,160,,,,,,,160.0,90,M,,1954,eq men,B
DQ,Alain-Francis Mattei,M4,France,89.80,,,,,,-180,,,,,,,,,,,90,M,,1955,eq men,B
1,Valērijs Ņegajevs,M5,Latvia,85.10,,,,,,130,140,-145,140,,,,,,,140.0,90,M,Valērijs Ņеgajеvs,1949,eq men,B
1,Evgeniy Khudoleev,M6,Russia,87.10,,,,,,-170,170,-175,170,,,,,,,170.0,90,M,Евгений Худолеев,1946,eq men,B
1,Richárd Budai,T3,Hungary,91.95,,,,,,-210,210,-245,210,,,,,,,210.0,100,M,,1993,eq men,B
1,Máté Szilágyi,J,Hungary,95.20,,,,,,270,-280,280,280,,,,,,,280.0,100,M,,1991,eq men,B
2,Oleksandr Dorgobuzov,J,Ukraine,95.90,,,,,,265,-272.5,-272.5,265,,,,,,,265.0,100,M,Олександр Доргобузов,1988,eq men,B
3,Ricardo Alves Ruela Bruno,J,Portugal,98.25,,,,,,215,-227.5,-227.5,215,,,,,,,215.0,100,M,,1988,eq men,B
1,Oleksandr Kucher,O,Ukraine,98.60,,,,,,280,-290,-292.5,280,,,,,,,280.0,100,M,Олександр Кучер,1985,eq men,B
2,Tamir Yakobi,O,Israel,91.45,,,,,,200,210,220,220,,,,,,,220.0,100,M,,1981,eq men,B
3,Darius Janutis,O,Latvia,99.70,,,,,,180,-200,-200,180,,,,,,,180.0,100,M,,1986,eq men,B
DQ,Bruno Szambelanczyk,O,France,98.80,,,,,,-225,-225,,,,,,,,,,100,M,,1980,eq men,B
DQ,Janis Freimanis,O,Latvia,97.50,,,,,,-170,-170,-170,,,,,,,,,100,M,,1982,eq men,B
DQ,Sergiy Didovik,O,Ukraine,99.40,,,,,,-290,-290,-292.5,,,,,,,,,100,M,Сергій Дідовик,1978,eq men,B
DQ,Henry Lehtola,O,Finland,99.55,,,,,,-312.5,-312.5,-312.5,,,,,,,,,100,M,,1981,eq men,B
DQ,Niclas Friberg,O,Sweden,98.60,,,,,,-210,-210,-210,,,,,,,,,100,M,,1974,eq men,B
DQ,Sahib Ahmadov Mustafa,O,Azerbaijan,95.65,,,,,,-290,-290,-290,,,,,,,,,100,M,,1980,eq men,B
DQ,Juliusz Zbierski,O,Poland,96.80,,,,,,-220,-220,,,,,,,,,,100,M,,1974,eq men,B
DQ,Alexandar Kyurchev Nikolov,O,Bulgaria,97.30,,,,,,-270,,,,,,,,,,,100,M,,1979,eq men,B
1,Andrus Moroz,M1,Estonia,96.65,,,,,,170,200,220,220,,,,,,,220.0,100,M,,1971,eq men,B
1,Sergey Belikov,M2,Russia,99.30,,,,,,-270,-270,270,270,,,,,,,270.0,100,M,Сергей Беликов,1964,eq men,B
2,Dmitriy Chertushkin,M2,Russia,98.70,,,,,,-190,-195,195,195,,,,,,,195.0,100,M,Дмитрий Чертушкин,1965,eq men,B
DQ,Stephane Gurini,M2,France,99.90,,,,,,-180,-180,-180,,,,,,,,,100,M,,1965,eq men,B
1,Vitaliy Ponomarev,M3,Russia,99.05,,,,,,237.5,245,247.5,247.5,,,,,,,247.5,100,M,Виталий Пономарев,1957,eq men,B
2,Stephane Chavin Gazalier,M3,France,98.30,,,,,,237.5,245,-252.5,245,,,,,,,245.0,100,M,,1961,eq men,B
3,Valeriy Akentyev,M3,Russia,98.50,,,,,,220,225,-240,225,,,,,,,225.0,100,M,Валерий Акентьев,1958,eq men,B
1,Hans-Ulrich Vetter,M4,Germany,99.10,,,,,,180,190,-200,190,,,,,,,190.0,100,M,,1952,eq men,B
2,Evgeniy Basov,M4,Russia,90.40,,,,,,145,155,165,165,,,,,,,165.0,100,M,Евгений Басов,1955,eq men,B
1,Axel Gersdorf,M5,Germany,96.80,,,,,,200,-205,-205,200,,,,,,,200.0,100,M,,1951,eq men,B
2,Hans-Jurgen Borkowski,M5,Germany,93.35,,,,,,,,180,180,,,,,,,180.0,100,M,,1950,eq men,B
1,Valerijs Petrovs,M6,Latvia,90.20,,,,,,155,162.5,170,170,,,,,,,170.0,100,M,,1946,eq men,B
2,Pekka Korhonen,M6,Finland,98.30,,,,,,-150,150,-165,150,,,,,,,150.0,100,M,,1944,eq men,B
DQ,František Esser,M6,Czech Republic,98.10,,,,,,-150,-155,,,,,,,,,,100,M,,1946,eq men,B
1,Jevgenijs Artemjevs,J,Latvia,104.90,,,,,,280,-290,290,290,,,,,,,290.0,110,M,,1988,eq men,B
2,Gábor Katona,J,Hungary,102.60,,,,,,270,-277.5,280,280,,,,,,,280.0,110,M,,1991,eq men,B
3,Kai-Oskari Lehtinen,J,Finland,105.90,,,,,,265,277.5,-282.5,277.5,,,,,,,277.5,110,M,,1989,eq men,B
4,Iļja Hacko,J,Latvia,106.70,,,,,,247.5,-252.5,-252.5,247.5,,,,,,,247.5,110,M,,1988,eq men,B
5,Olar Teras,J,Estonia,102.20,,,,,,195,205,-215,205,,,,,,,205.0,110,M,,1990,eq men,B
1,Denis Knyazev,O,Russia,108.60,,,,,,-325,-335,335,335,,,,,,,335.0,110,M,Денис Князев,1987,eq men,B
2,Aleksandr Tretyakov,O,Russia,109.60,,,,,,325,-335,-337.5,325,,,,,,,325.0,110,M,Александр Третьяков,1967,eq men,B
3,Ivars Ozols,O,Latvia,110.00,,,,,,305,315,-327.5,315,,,,,,,315.0,110,M,,1978,eq men,B
4,Anton Begalko,O,Ukraine,104.30,,,,,,310,-320,-327.5,310,,,,,,,310.0,110,M,Антон Бегалко,1986,eq men,B
5,Eemeli Ylitalo-James Kalle,O,Finland,108.90,,,,,,280,-307.5,-312.5,280,,,,,,,280.0,110,M,,1983,eq men,B
6,Petr Bolf,O,Czech Republic,104.00,,,,,,265,-275,-280,265,,,,,,,265.0,110,M,,1987,eq men,B
7,Marek Hlaváč,O,Czech Republic,108.00,,,,,,-235,-235,240,240,,,,,,,240.0,110,M,Marеk Hlaváč,1976,eq men,B
DQ,Viktor Fursov,O,Russia,107.40,,,,,,-265,-265,-265,,,,,,,,,110,M,Виктор Фурсов,1974,eq men,B
DQ,Dmitry Gorbachev,O,Russia,109.10,,,,,,-300,-305,-305,,,,,,,,,110,M,Дмитрий Горбачев,1970,eq men,B
DQ,Ibrahim Ibrahimov,O,Azerbaijan,110.00,,,,,,-310,-310,-327.5,,,,,,,,,110,M,,1981,eq men,B
DQ,Andis Kaspars,O,Latvia,108.40,,,,,,-235,,,,,,,,,,,110,M,,1976,eq men,B
1,Eric Platel,M1,France,104.50,,,,,,245,252.5,-260,252.5,,,,,,,252.5,110,M,,1971,eq men,B
DQ,Dmitry Gorbachev,M1,Russia,109.10,,,,,,-320,-320,-320,,,,,,,,,110,M,Дмитрий Горбачев,1970,eq men,B
1,Marko Lempinen,M2,Finland,105.60,,,,,,210,220,227.5,227.5,,,,,,,227.5,110,M,,1966,eq men,B
2,Bock Libor,M2,Czech Republic,101.70,,,,,,-210,-220,225,225,,,,,,,225.0,110,M,,1964,eq men,B
3,Lauris Pavulans,M2,Latvia,104.15,,,,,,90,,,90,,,,,,,90.0,110,M,,1963,eq men,B
1,Tamás Brauner,M3,Hungary,105.80,,,,,,220,230,240,240,,,,,,,240.0,110,M,,1960,eq men,B
2,Jari Uotila,M3,Finland,110.00,,,,,,-180,-180,180,180,,,,,,,180.0,110,M,,,eq men,B
DQ,Joseph Smolinski,M4,USA,108.30,,,,,,-280,-280,-280,,,,,,,,,110,M,,1955,eq men,B
1,Sergey Poltavtsev,M5,Russia,101.60,,,,,,190,200,-210,200,,,,,,,200.0,110,M,Сергей Полтавцев,1950,eq men,B
1,Laszlo Tamas,J,Hungary,114.10,,,,,,-220,-220,220,220,,,,,,,220.0,125,M,,1991,eq men,B
DQ,Thibaut Lely,J,France,113.10,,,,,,-210,-210,-210,,,,,,,,,125,M,,1989,eq men,B
DQ,Matias Neuvonen,J,Finland,118.50,,,,,,-200,-200,-200,,,,,,,,,125,M,,1989,eq men,B
1,Viktor Naydenov,O,Russia,120.10,,,,,,375,391,400,400,,,,,,,400.0,125,M,Виктор Найденов,1987,eq men,B
2,Zoltán Csepregi,O,Hungary,114.20,,,,,,350,365,-392.5,365,,,,,,,365.0,125,M,,1975,eq men,B
3,Aleksey Gurkin,O,Russia,118.55,,,,,,327.5,337.5,-345,337.5,,,,,,,337.5,125,M,Алексей Гуркин,1973,eq men,B
4,Daniel Dvořák,O,Czech Republic,123.40,,,,,,285,300,-312.5,300,,,,,,,300.0,125,M,,1976,eq men,B
5,Csaba Kovács,O,Hungary,114.25,,,,,,262.5,270,-300,270,,,,,,,270.0,125,M,,1980,eq men,B
6,Andis Skensbergs,O,Latvia,114.70,,,,,,-240,250,-260,250,,,,,,,250.0,125,M,,1980,eq men,B
7,Elans Kloppe,O,Latvia,119.50,,,,,,240,-250,-252.5,240,,,,,,,240.0,125,M,,1976,eq men,B
DQ,Vladimir Omelkov,O,Russia,110.60,,,,,,-220,-220,-220,,,,,,,,,125,M,Владимир Омельков,1970,eq men,B
DQ,Miika Ruuskanen,O,Finland,122.80,,,,,,-270,-285,-285,,,,,,,,,125,M,,1986,eq men,B
DQ,Petteri Hosio Henrik,O,Finland,117.80,,,,,,-325,-335,-340,,,,,,,,,125,M,,1979,eq men,B
DQ,Alexey Zaydlin,O,Israel,118.90,,,,,,-300,-300,,,,,,,,,,125,M,,1986,eq men,B
DQ,Viktor Klimov,O,Russia,114.70,,,,,,-295,-295,-295,,,,,,,,,125,M,Виктор Климов,1975,eq men,B
1,Ferenc Balázs,M1,Hungary,114.60,,,,,,-290,290,-300,290,,,,,,,290.0,125,M,,1970,eq men,B
1,Juhani Majuri Timo,M1,Estonia,110.60,,,,,,240,250,255,255,,,,,,,255.0,125,M,,1967,eq men,B
DQ,Vladimir Omelkov,M1,Russia,110.60,,,,,,-240,-240,-240,,,,,,,,,125,M,Владимир Омельков,1970,eq men,B
1,Ilmars Madzulis,M2,Latvia,113.85,,,,,,170,-180,,170,,,,,,,170.0,125,M,,1966,eq men,B
DQ,Didier Michelon,M2,France,116.10,,,,,,-315,-315,,,,,,,,,,125,M,,1963,eq men,B
1,Dainis Polis,M3,Latvia,114.25,,,,,,170,200,,200,,,,,,,200.0,125,M,,1959,eq men,B
1,Grachik Egozaryan,M4,Russia,110.50,,,,,,230,-240,-240,230,,,,,,,230.0,125,M,Грачик Егозарьян,1952,eq men,B
2,László Kolozsvári,M4,Hungary,112.80,,,,,,180,-190,-190,180,,,,,,,180.0,125,M,,1956,eq men,B
1,Alexander Maksimushkin,M5,Russia,110.10,,,,,,-220,220,-230,220,,,,,,,220.0,125,M,Александр Максимушкин,1950,eq men,B
2,Josef Hakl,M5,Czech Republic,114.50,,,,,,-180,180,-200,180,,,,,,,180.0,125,M,,1950,eq men,B
1,Ilkka Lukkarinen,J,Finland,137.90,,,,,,355,,,355,,,,,,,355.0,140,M,,1988,eq men,B
1,Ilkka Lukkarinen,O,Finland,137.90,,,,,,365,-395,-400,365,,,,,,,365.0,140,M,,1988,eq men,B
2,Jarno Rajala,O,Finland,130.95,,,,,,320,325,330,330,,,,,,,330.0,140,M,,1973,eq men,B
3,Dmitriy Permyakov,O,Russia,129.00,,,,,,300,-310,325,325,,,,,,,325.0,140,M,Дмитрий Пермяков,1975,eq men,B
4,Lev Pankov,O,Russia,126.80,,,,,,250,-260,262.5,262.5,,,,,,,262.5,140,M,Лев Панков,1979,eq men,B
DQ,Richard Ligier,O,France,138.10,,,,,,-420,-420,,,,,,,,,,140,M,,1974,eq men,B
DQ,Ramig Nuruev,O,Russia,125.40,,,,,,-260,-265,,,,,,,,,,140,M,Рамиг Нуруев,1984,eq men,B
1,Edmunds Andrups,M1,Latvia,134.30,,,,,,270,285,-300,285,,,,,,,285.0,140,M,,1970,eq men,B
1,Sergey Piniachev,M2,Israel,127.00,,,,,,240,-250,-270,240,,,,,,,240.0,140,M,,1963,eq men,B
1,Virginijus Kairevicius,M3,Latvia,125.70,,,,,,160,-210,210,210,,,,,,,210.0,140,M,,1960,eq men,B
2,Andrejs Ivanovs,M3,Latvia,127.30,,,,,,170,175,,175,,,,,,,175.0,140,M,,1961,eq men,B
1,Tapio Laine,M4,Finland,126.10,,,,,,235,245,-252.5,245,,,,,,,245.0,140,M,,1952,eq men,B
DQ,Petras Rakauskas,M4,Latvia,128.20,,,,,,-125,,,,,,,,,,,140,M,,1956,eq men,B
1,Marko Traks,J,Estonia,157.80,,,,,,280,-310,-310,280,,,,,,,280.0,140+,M,,1989,eq men,B
