Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
N. Burke,67.5,Open,F,,160,,160,B,Single-ply,1
T. Bailsterr,60,Teen,M,,240,,240,B,Single-ply,1
L. Williamson,75,Teen,M,,310,,310,B,Single-ply,1
J. Boukal,100,Pure,M,,280,,280,B,Single-ply,1
T. Bailsterr,100,Natural,M,,240,,240,B,Single-ply,1
T. Lee,82.5,Masters,M,,250,,250,B,Single-ply,1
A. Betheja,60,Teen,M,385,205,420,1010,SBD,Single-ply,1
S. Heiman,67.5,Teen,M,385,215,415,1015,SBD,Single-ply,1
Mike Nelson,67,Pure,M,485,265,375,1140,SBD,Single-ply,1
P. Khamsanit,67.5,Pure,M,475,270,500,1245,SBD,Single-ply,1
J. Howard,75,Pure,M,445,290,435,1170,SBD,Single-ply,1
P. Khamsanit,67.5,Natural,M,475,270,500,1245,SBD,Single-ply,1
B. Coco,90,Natural,M,455,295,460,1210,SBD,Single-ply,1
P. Hansen,110,Natural,M,465,295,620,1380,SBD,Single-ply,1
T. Fullorer,90,Submasters,M,560,330,560,1450,SBD,Single-ply,1
P. Mason,100,Submasters,M,525,380,405,1310,SBD,Single-ply,1
