Place,CyrillicName,BirthYear,WeightClassKg,Sex,Event,Equipment,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,Division
5,Елена Щербакова,1985,57,F,B,Single-ply,56.7,97.5,105,-110,105,105,Open
6,Екатерина Филяр,1990,57,F,B,Single-ply,56.4,102.5,-105,-105,102.5,102.5,Open
7,Инна Коляченко,1990,57,F,B,Single-ply,56.85,92.5,100,102.5,102.5,102.5,Open
8,Ольга Кушнир,1981,57,F,B,Single-ply,56.4,-95,95,100,100,100,Open
9,Вероника Матвеева,1983,57,F,B,Single-ply,56.25,90,95,-100,95,95,Open
1,Ирина Полетаева,1982,63,F,B,Single-ply,62.3,160,165,-170,165,165,Open
2,Мария Дубенская,1988,63,F,B,Single-ply,62,145,152.5,155,155,155,Open
3,Наталья Самарина,1984,63,F,B,Single-ply,62.15,-150,150,-155,150,150,Open
4,Юлия Ядрихинская,1981,63,F,B,Single-ply,60.85,137.5,140,-150,140,140,Open
5,Екатерина Николаева,1984,63,F,B,Single-ply,59.55,130,137.5,-142.5,137.5,137.5,Open
6,Валентина Нелюбова,1966,63,F,B,Single-ply,62.45,130,137.5,-142.5,137.5,137.5,Open
7,Анна Новикова,1986,63,F,B,Single-ply,62.25,125,132.5,-137.5,132.5,132.5,Open
8,Александра Мегежекская,1971,63,F,B,Single-ply,62.2,112.5,120,-122.5,120,120,Open
9,Елена Канева,1980,63,F,B,Single-ply,62.6,100,110,-115,110,110,Open
1,Юлия Чистякова,1989,72,F,B,Single-ply,71.15,-145,152.5,160,160,160,Open
2,Юлия Медведева,1986,72,F,B,Single-ply,66.4,157.5,-165,-165,157.5,157.5,Open
3,Екатерина Сибалакова,1988,72,F,B,Single-ply,71.25,137.5,-145,-145,137.5,137.5,Open
4,Эллина Кудрявцева,1975,72,F,B,Single-ply,71.5,120,-125,-125,120,120,Open
5,Елена Букина,1971,72,F,B,Single-ply,68.05,110,-120,-122.5,110,110,Open
1,Наталья Бобкова,1983,84,F,B,Single-ply,74.75,117.5,125,130,130,130,Open
2,Мария Лайзан,1990,84,F,B,Single-ply,82.85,125,-130,-132.5,125,125,Open
DQ,Людмиладк Протченко,1986,84,F,B,Single-ply,83.7,-190,-192.5,-192.5,,,Open
1,Наталья Зотова,1975,84+,F,B,Single-ply,90.6,165,-170,170,170,170,Open
2,Светлана Сёма,1976,84+,F,B,Single-ply,92.25,155,162.5,167.5,167.5,167.5,Open
3,Мария Зырянова,1983,84+,F,B,Single-ply,126.5,150,162.5,167.5,167.5,167.5,Open
1,Альберт Хабибулин,1988,59,M,B,Single-ply,58.75,-185,185,190,190,190,Open
2,Олег Смирнов,1990,59,M,B,Single-ply,57.05,177.5,185,-190,185,185,Open
3,Алексей Романов,1981,59,M,B,Single-ply,58.85,167.5,-177.5,177.5,177.5,177.5,Open
4,Владимир Дружинин,1985,59,M,B,Single-ply,58.25,165,175,-182.5,175,175,Open
5,Владимир Емелин,1988,59,M,B,Single-ply,58.4,170,-177.5,-180,170,170,Open
6,Дмитрий Девяткин,1988,59,M,B,Single-ply,58.25,145,152.5,160,160,160,Open
DQ,Каплан Схаляхо,1990,59,M,B,Single-ply,53.35,-115,-115,,,,Open
DD,Игорь Кучин,1967,59,M,B,Single-ply,58.65,172.5,-180,-185,172.5,172.5,Open
