Name,Sex,Division,WeightClassLBS,BodyweightLBS,Equipment,BestSquatLBS,BestBenchLBS,BestDeadliftLBS,TotalLBS,Event,Age
J. Tremblay,M,Open,220,,Single-ply,601,407,617,1625,SBD,
T. Shade,M,Open,220,,Single-ply,595,375,551,1521,SBD,
J. Busby,M,Open,220,,Single-ply,524,353,551,1428,SBD,
L. Reali,M,Open,220,,Single-ply,502,292,556,1350,SBD,
S. Gayton,M,Open,220,,Single-ply,524,319,540,1383,SBD,
F. Powell,M,Open,220,,Single-ply,497,330,485,1312,SBD,
Mike O'Hearn,M,Open,242,,Single-ply,650,452,705,1807,SBD,
Nick Best,M,Open,242,,Single-ply,705,463,634,1802,SBD,
G. Joel,M,Open,242,,Single-ply,584,380,589,1553,SBD,
R. Kitani,M,Open,242,,Single-ply,584,452,705,1741,SBD,
M. Cavallero,M,Open,242,,Single-ply,578,330,578,1486,SBD,
J. Jimenez,M,Open,242,,Single-ply,468,435,507,1410,SBD,
P. Curtis,M,Open,275,,Single-ply,672,424,711,1807,SBD,
A. Peete,M,Open,275,,Single-ply,744,441,601,1786,SBD,
T. Marshall,M,Open,275,,Single-ply,661,369,589,1619,SBD,
R. Martin,M,Open,275,,Single-ply,639,468,,DQ,SBD,
B. Lee,M,Open,275,,Single-ply,672,,,DQ,SBD,
M. Burruel,M,Open,308+,,Single-ply,755,413,650,1818,SBD,
J. Ford,M,Open,308+,,Single-ply,650,380,639,1669,SBD,
L. Harju,M,Open,308+,,Single-ply,601,364,584,1549,SBD,
E. Mathews,M,Open,308+,,Single-ply,540,364,639,1543,SBD,
T. Falbo,M,Novice,198,,Single-ply,546,319,518,1383,SBD,
R. Moreno,M,Novice,198,,Single-ply,474,330,502,1306,SBD,
A. Rodatos,M,Novice,198,,Single-ply,435,242,474,1151,SBD,
B. Fernandez,M,Novice,220,,Single-ply,578,418,562,1558,SBD,
C. Pigg,M,Novice,220,,Single-ply,441,314,452,1207,SBD,
B. Fernandez,M,Novice,242,,Single-ply,578,418,562,1558,SBD,
M. Gonzales,M,Novice,242,,Single-ply,595,391,573,1559,SBD,
D. Terry,M,Novice,242,,Single-ply,534,,,DQ,SBD,
M. Diaz-Infancte,M,Novice,275,,Single-ply,601,380,589,1570,SBD,
B. Sells,M,Novice,275,,Single-ply,617,330,584,1531,SBD,
N. Summerville,M,Novice,275,,Single-ply,452,385,529,1366,SBD,
L. Contreras,M,Novice,275,,Single-ply,435,407,468,1310,SBD,
D. Haverty,M,Novice,275,,Single-ply,524,270,480,1274,SBD,
C. Sanders,M,Novice,308+,,Single-ply,518,529,661,1708,SBD,
C. Beltramo,M,Novice,308+,,Single-ply,513,380,452,1345,SBD,
B. Strange,M,Masters 198,198,,Single-ply,529,341,573,1443,SBD,56
J. Waters,M,Masters 198,198,,Single-ply,424,253,524,1201,SBD,51
W. Sheffler,M,Masters 198,198,,Single-ply,402,242,452,1096,SBD,57
B. Yamasaki,M,Masters 198,198,,Single-ply,452,275,402,1129,SBD,40
G. Crocker,M,Masters 198,198,,Single-ply,385,226,441,1052,SBD,48
A. Meeks,M,Masters 198,198,,Single-ply,324,264,352,940,,44
J. Jue,M,Masters 198,198,,Single-ply,93,286,220,599,,56
C. Tomlin,M,Masters 220,220,,Single-ply,518,308,534,1360,,44
R. Spikes,M,Masters 220,220,,Single-ply,407,319,507,1233,,
Greenberg,M,Masters 220,220,,Single-ply,413,308,413,1134,,
M. Willis,M,Masters 220,220,,Single-ply,143,358,143,644,,52
S. Warner,M,Masters 220,220,,Single-ply,458,369,491,1318,,45
B. Fairfax,M,Masters 220,220,,Single-ply,423,214,474,1111,,51
S. Grindall,M,Masters 220,220,,Single-ply,220,220,220,660,,45
R. Taverra,M,Masters 275,275,,Single-ply,650,375,601,1626,,50
R. Rossi,M,Masters 275,275,,Single-ply,485,330,540,1355,,47
J. Sells,M,Masters 275,275,,Single-ply,353,303,424,1080,,
T. Miller,M,Masters SHW,308+,,Single-ply,551,330,578,1459,,
D. Davis,M,Masters SHW,308+,,Single-ply,485,413,485,1383,,
Chase,M,Teen,,239,Single-ply,474,319,502,1295,,14
Healy,M,Teen,,197,Single-ply,452,242,463,1157,,16
Kirpatrick,M,Teen,,206,Single-ply,452,275,584,1311,,17
Warner,M,Teen,,194,Single-ply,402,242,474,1118,,17
Saddler,M,Teen,,239,Single-ply,567,286,502,1355,,18
