Name,WeightClassKg,Best3BenchKg,TotalKg,Place,Event,Equipment,Sex
A. Mieras,52,47.5,47.5,1,B,Single-ply,F
H. Dyksira,60,77.5,77.5,1,B,Single-ply,F
Jolanda Mikic,75,95,95,1,B,Single-ply,F
L. Sumter,82.5,147.5,147.5,1,B,Single-ply,M
A. Kraal,90,100,100,6,B,Single-ply,M
A. den Haan,56,62.5,62.5,1,B,Single-ply,M
Tagy Parnian,67.5,182.5,182.5,1,B,Single-ply,M
E. Tradpanami,67.5,112.5,112.5,2,B,Single-ply,M
N. Byl,67.5,107.5,107.5,3,B,Single-ply,M
A. Nynatien,67.5,,,DQ,B,Single-ply,M
Coert Hoppenbrouwers,75,140,140,1,B,Single-ply,M
R. Hofman,75,107.5,107.5,2,B,Single-ply,M
T. Patan,75,100,100,3,B,Single-ply,M
B. de Bruijn,75,70,70,4,B,Single-ply,M
Erwin Krokkee,82.5,107.5,107.5,3,B,Single-ply,M
F. Hasselt,82.5,135,135,2,B,Single-ply,M
M. Haas,82.5,100,100,4,B,Single-ply,M
J. Pietersma,82.5,95,95,5,B,Single-ply,M
A. Temminck,90,150,150,1,B,Single-ply,M
Michael Kalter,90,137.5,137.5,2,B,Single-ply,M
Wim Bevers,90,135,135,3,B,Single-ply,M
William Paay,90,120,120,4,B,Single-ply,M
H. Roos,90,117.5,117.5,5,B,Single-ply,M
Dave van der Veen,100,200,200,1,B,Single-ply,M
G. Rottine,100,175,175,2,B,Single-ply,M
Paul den Ouden,100,165,165,3,B,Single-ply,M
M. Metselaar,100,165,165,3,B,Single-ply,M
Charlie Hemming,100,165,165,3,B,Single-ply,M
P. Ruiter,100,162.5,162.5,6,B,Single-ply,M
Mario Kool,100,155,155,7,B,Single-ply,M
J. Koopmans,100,155,155,7,B,Single-ply,M
J. Staal,100,155,155,7,B,Single-ply,M
P. Blokker,100,132.5,132.5,10,B,Single-ply,M
J. van de Werf,100,,,DQ,B,Single-ply,M
Ed Pietersma,110,180,180,1,B,Single-ply,M
M. Jansen,110,160,160,2,B,Single-ply,M
E. Boers,110,147.5,147.5,3,B,Single-ply,M
H. Dekkers,125,190,190,1,B,Single-ply,M
G. van Doorn,125,190,190,1,B,Single-ply,M
S. de Visser,125,160,160,3,B,Single-ply,M
R. Kramers,125,150,150,4,B,Single-ply,M
H. Eelman,125,150,150,4,B,Single-ply,M
J. van Prooijen,125,137.5,137.5,6,B,Single-ply,M
W. Nijenhuis,125+,185,185,1,B,Single-ply,M
L. Leijewaan,125+,182.5,182.5,2,B,Single-ply,M
