18-Jan-14,Midwest Winter Iron Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Power - Results in lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Lb),WtCls (Lb),Schwartz/Malone, Squat  1, Squat  2, Squat  3, Squat  4,Best Squat,Bench 1,Bench 2,Bench 3,Bench 4,Best Bench,Sub Total,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Best Deadlift,PL Total,Pl-Div-WtCl,,,,,,,,,,,,,,,,
Laura Fogarty (MO),41,FRM1,138.8,148,0.8269,-92.987,-92.987,-92.987,0,0,43.092,47.628,-52.164,0,47.628,0,102.06,115.67,-129.28,0,115.67,0,0,,,,,,,,,,,,,,,,
Rachael Hayden (MO),33,FRS,180.2,181,0.6786,113.4,117.94,127.01,0,127.01,65.772,-70.308,74.844,0,74.844,201.85,124.74,-129.28,-133.81,0,124.74,326.5898576,1-FRS-181,,,,,,,,,,,,,,,,
Lillian Danzer (MO),37,FRO,156.3,165,0.752,120.2,-124.74,124.74,0,124.74,70.308,74.844,-79.379,0,74.844,199.58,129.28,136.08,154.22,0,154.22,353.805679,1-FRO-165,,,,,,,,,,,,,,,,
Kaylyn Whitman,26,FRO,163,165,0.7301,74.844,-88.451,-99.791,0,74.844,34.02,43.092,-49.896,0,43.092,117.94,97.523,111.13,-124.74,0,111.13,229.0664973,2-FRO-165,,,,,,,,,,,,,,,,
Terry Conard (IL),70,MRM4,194,198,0.5935,102.06,113.4,117.94,0,117.94,90.719,-99.791,-102.06,0,90.719,208.65,124.74,138.35,149.69,0,149.69,358.3416493,1-MRM4-198,,,,,,,,,,,,,,,,
Dominic Dunnavant,42,MRM1,196,198,0.5939,183.71,195.05,-204.12,0,195.05,-149.69,154.22,156.49,0,156.49,351.54,226.8,235.87,240.41,0,240.41,591.9441168,1-MRM1-198,,,,,,,,,,,,,,,,
Jon Forgarty (MO),42,MRM1,196.3,198,0.5893,113.4,124.74,-129.28,0,124.74,92.987,97.523,-102.06,0,97.523,222.26,165.56,174.63,181.44,0,181.44,403.7013517,2-MRM1-198,,,,,,,,,,,,,,,,
Chris Mantese,22,MRJR,219.8,220,0.5548,-247.21,247.21,256.28,0,256.28,183.71,-192.78,-192.78,0,183.71,439.99,274.43,288.03,297.11,0,297.11,737.0951647,1-MRJR-220,,,,,,,,,,,,,,,,
Wyle Potter2,18,MRT3,191.3,198,0.5986,183.71,190.51,201.85,0,201.85,129.28,133.81,138.35,0,138.35,340.2,183.71,192.78,201.85,0,201.85,542.0484442,1-MRT3-198,,,,,,,,,,,,,,,,
Donald Schunk,29,MRO,148.8,148,0.7258,-124.74,124.74,133.81,0,133.81,117.94,-122.47,-122.47,0,117.94,251.75,158.76,170.1,-176.9,0,170.1,421.8452327,1-MRO-148,,,,,,,,,,,,,,,,
Clayton Otto (MO),24,MRO,179.5,181,0.6251,133.81,151.96,158.76,0,158.76,102.06,-111.13,-111.13,0,102.06,260.82,174.63,190.51,204.12,0,204.12,464.93695,1-MRO-181,,,,,,,,,,,,,,,,
Dee Keim (MO),25,MRO,167.3,181,0.6652,81.647,86.183,90.719,0,90.719,43.092,47.628,52.164,0,52.164,142.88,81.647,86.183,95.255,0,95.255,238.1384378,2-MRO-181,,,,,,,,,,,,,,,,
Kevin Stewart (TN),26,MRO,196.3,198,0.5893,190.51,210.92,219.99,0,219.99,133.81,149.69,-154.22,0,149.69,369.68,247.21,265.35,-272.16,0,265.35,635.0358342,1-MRO-198,,,,,,,,,,,,,,,,
Wyle Potter,18,MRO,191.3,198,0.5986,183.71,190.51,201.85,0,201.85,129.28,133.81,138.35,0,138.35,340.2,183.71,192.78,201.85,0,201.85,542.0484442,2-MRO-198,,,,,,,,,,,,,,,,
Lucas Chaney (MO),32,MRO,194,198,0.5935,165.56,174.63,-181.44,0,174.63,113.4,122.47,-127.01,0,122.47,297.11,199.58,210.92,-226.8,0,210.92,508.0286673,3-MRO-198,,,,,,,,,,,,,,,,
Joseph Fuchs (MO),29,MRO,216.3,220,0.5589,224.53,238.14,249.48,0,249.48,142.88,151.96,158.76,0,158.76,408.24,244.94,265.35,-272.16,0,265.35,673.5915812,1-MRO-220,,,,,,,,,,,,,,,,
Jacob Horn (IL),31,MRO,214,220,0.5616,147.42,165.56,188.24,0,188.24,124.74,140.62,-145.15,0,140.62,328.86,215.46,233.6,251.75,0,251.75,580.6041912,2-MRO-220,,,,,,,,,,,,,,,,
Dave Puricelli,27,MRO,215,220,0.5605,113.4,127.01,136.08,0,136.08,79.379,86.183,92.987,0,92.987,229.07,165.56,181.44,-190.51,0,181.44,410.5053071,3-MRO-220,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push & Pull - Results in lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Lb),WtCls (Lb),Schwartz/Malone,Bench 1,Bench 2,Bench 3,Bench 4,Best Bench,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Best Deadlift,Push Pull Total,,,,,,,,,,,,,,,,,,,,,,,
Nancy Fillman (MO),56,FRM2,177,181,0.6873,120,125,-130,,125,185,195,200,,200,325,,,,,,,,,,,,,,,,,,,,,,,
Laura Fogarty (MO),41,FRM1,138.8,148,0.8269,95,105,-115,,105,225,255,-285,,255,360,,,,,,,,,,,,,,,,,,,,,,,
Terry Conard (IL),70,MRM4,194,198,0.5935,200,-220,-225,,200,275,305,330,,330,460,,,,,,,,,,,,,,,,,,,,,,,
Bench Only - Results in lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Lb),WtCls (Lb),Schwartz/Malone,Bench 1,Bench 2,Bench 3,Bench 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Dyer (MO),56,FRM2,112.3,114,0.9872,90,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Dyer (MO),57,MRM1,132,132,0.8286,215,225,230,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
