Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Iryna Malakhova,43.6,70,80,-90,80,32.5,-35,,32.5,82.5,-90,-90,82.5,195,44,F,Ірина Малахова,1986,SBD,Single-ply,Student
DQ,Gabriela Znik,43.6,100,-107.5,-107.5,100,-65,-65,-65,,,,,,,44,F,Габріела Знік,1983,SBD,Single-ply,Student
1,Taisiya Kuznetsova,47.8,135,142.5,145,145,82.5,-85,-85,82.5,145,-150,-150,145,372.5,48,F,Таїсія Кузнецова,1986,SBD,Single-ply,Student
2,Anastasiya Derevyanko,47.7,95,105,107.5,107.5,-60,60,65,65,-135,135,145,145,317.5,48,F,Анастасия Деревянко,1987,SBD,Single-ply,Student
1,Irina Kotendzhi,55.9,120,125,132.5,132.5,70,-80,-80,70,120,130,140,140,342.5,56,F,Ірина Котенджи,1985,SBD,Single-ply,Student
DQ,Lyubov Agarkova,55.3,-90,-90,90,90,-55,-55,55,55,110,-120,120,120,,56,F,Любов Агаркова,1985,SBD,Single-ply,Student
DQ,Taisiya Gladchenko,53.1,-125,130,135,135,-80,-80,-80,,,,,,,56,F,Таїсія Гладченко,1986,SBD,Single-ply,Student
1,Kateryna Klymenko,59.5,180,190,195,195,120,125,130,130,155,165,-175,165,490,60,F,Катерина Клименко,1985,SBD,Single-ply,Student
1,Svitlana Poplavska,66.5,180,195,202.5,202.5,100,115,122.5,122.5,180,200,210,210,535,67.5,F,Світлана Поплавська,1966,SBD,Single-ply,Student
2,Tetyana Melnyk,66.9,-190,190,-200,190,-110,110,120,120,200,210,-217.5,210,520,67.5,F,Тетяна Мельник,1985,SBD,Single-ply,Student
3,Yelyzaveta Nazina,67.5,-200,210,-215,210,105,-110,110,110,180,192.5,200,200,520,67.5,F,Єлізавета Назіна,1988,SBD,Single-ply,Student
4,Galina Onipko,66.9,130,135,-140,135,60,-62.5,62.5,62.5,-140,140,-145,140,337.5,67.5,F,Галина Оніпко,1987,SBD,Single-ply,Student
1,Inna Borsalo,68.7,130,-140,140,140,65,-70,-70,65,130,140,145,145,350,75,F,Інна Борсало,1986,SBD,Single-ply,Student
DQ,Olga Redkina,70.9,110,120,130,130,-75,-75,-75,,,,,,,75,F,Ольга Редькіна,1984,SBD,Single-ply,Student
1,Viktoriya Olenytsya,124.3,220,250,-267.5,250,160,172.5,177.5,177.5,200,220,230,230,657.5,90+,F,Вікторія Олениця,1984,SBD,Single-ply,Student
1,Anatoliy Muchichka,59.7,170,180,,180,107.5,-115,115,115,180,190,195,195,490,60,M,Анатолій Мучичка,1987,SBD,Single-ply,Student
2,Andriy Andrushchenko,59.7,175,-190,-190,175,-130,130,140,140,-160,160,172.5,172.5,487.5,60,M,Андрій Андрущенко,1987,SBD,Single-ply,Student
3,Oleksandr Repunov,57.2,,,,165,,,,102.5,,,,172.5,440,60,M,Олександр Репунов,1987,SBD,Single-ply,Student
1,Andriy Nelipa,67.1,240,250,-257.5,250,130,-135,-135,130,205,212.5,-220,212.5,592.5,67.5,M,Андрій Неліпа,1986,SBD,Single-ply,Student
2,Oleksiy Sashenkov,67.2,-205,205,-220,205,140,150,-157.5,150,205,215,-225,215,570,67.5,M,Олексій Сашенков,1983,SBD,Single-ply,Student
3,Roman Bushta,67.3,220,230,235,235,120,-130,-130,120,-190,195,215,215,570,67.5,M,Роман Бушта,1987,SBD,Single-ply,Student
4,Oleksandr Shevchenko,66.4,,,,207.5,,,,115,,,,190,512.5,67.5,M,Олександр Шевченко,1985,SBD,Single-ply,Student
5,Igor Movchan,66.5,,,,200,,,,117.5,,,,185,502.5,67.5,M,Игорь Мовчан,1985,SBD,Single-ply,Student
DQ,Ruslan Sushko,66.2,-130,-130,-130,,,,,,,,,,,67.5,M,Руслан Сушко,1986,SBD,Single-ply,Student
1,Artyom Postovalov,75,,,,310,,,,200,,,,290,800,75,M,Артем Постовалов,1986,SBD,Single-ply,Student
2,Igor Kudrevatykh,74.65,,,,260,,,,160,,,,240,660,75,M,Ігор Кудреватих,1986,SBD,Single-ply,Student
3,Igor Brodovskyy,73.4,,,,242.5,,,,167.5,,,,215,625,75,M,Ігор Бродовський,1984,SBD,Single-ply,Student
4,Vadym Mysak,74.5,,,,220,,,,160,,,,215,595,75,M,Вадим Мисак,1987,SBD,Single-ply,Student
5,Yevgen Gaybey,74.1,,,,200,,,,132.5,,,,200,532.5,75,M,Євген Гайбей,1984,SBD,Single-ply,Student
DQ,Oleksandr Petrov,73.7,,,,250,-135,-135,-135,,,,,,,75,M,Олександр Петров,1983,SBD,Single-ply,Student
1,Volodymyr Pirogov,81.6,,,,270,,,,185,,,,282.5,737.5,82.5,M,Володимир Пирогов,1987,SBD,Single-ply,Student
2,Vladyslav Kuzmischev,80.6,,,,240,,,,140,,,,230,610,82.5,M,Владислав Кузьміщев,1983,SBD,Single-ply,Student
3,Vyacheslav Sotnik,82.5,,,,205,,,,145,,,,235,585,82.5,M,В'ячеслав Сотник,1984,SBD,Single-ply,Student
4,Sergiy Solomatin,80.5,,,,215,,,,130,,,,215,560,82.5,M,Сергій Соломатін,1987,SBD,Single-ply,Student
5,Gennadiy Semenyuta,81.4,,,,225,,,,115,,,,220,560,82.5,M,Геннадій Семенюта,1985,SBD,Single-ply,Student
DQ,Oleksandr Mavrenkov,81.8,,,,255,,,,157.5,-275,-275,-275,,,82.5,M,Олександр Мавренков,1983,SBD,Single-ply,Student
1,Andriy Pombukhchiy,89,,,,275,,,,162,,,,302,739,90,M,Андрій Помбухчій,1984,SBD,Single-ply,Student
2,Taras Tarasenko,89.3,,,,292.5,,,,155,,,,290,737.5,90,M,Тарас Тарасенко,1982,SBD,Single-ply,Student
3,Yevgen Chirva,88.8,,,,255,,,,190,,,,262.5,707.5,90,M,Євген Чирва,1983,SBD,Single-ply,Student
4,Dmytro Derevyanko,89.4,,,,280,,,,167.5,,,,260,707.5,90,M,Дмитро Дерев'янко,1984,SBD,Single-ply,Student
5,Vitaliy Bogachevskiy,89.5,,,,250,,,,180,,,,245,675,90,M,Віталій Богачевський,1986,SBD,Single-ply,Student
6,Anton Khramov,88.9,,,,265,,,,162.5,,,,232.5,660,90,M,Антон Храмов,1986,SBD,Single-ply,Student
7,Volodymyr Shutov,84.9,,,,245,,,,130,,,,240,615,90,M,Володимир Шутов,1984,SBD,Single-ply,Student
8,Oleksandr Zhurakovskiy,86.8,,,,230,,,,155,,,,215,600,90,M,Олександр Жураковський,1986,SBD,Single-ply,Student
