Name,Team,Division,Sex,BodyweightKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Equipment,Event
Lena Wilkens,KSV Weissensee Jugend II,Youth,F,46,2004,40,-50,50,50,25,-27.5,27.5,27.5,45,55,62.5,62.5,140,Raw,SBD
Pascal Stadler,SaV Erfurt,Juniors,M,55.8,2004,62.5,67.5,-72.5,67.5,-45,45,47.5,47.5,85,90,95,95,210,Raw,SBD
Anna Cirmon,USV Jena,Open,F,62.7,1995,125,132.5,140,140,60,65,67.5,67.5,130,142.5,150,150,357.5,Raw,SBD
Theresa Linke,USV Jena,Open,F,63.7,1994,75,80,-85,80,45,50,-52.5,50,85,92.5,100,100,230,Raw,SBD
Klara Szuggar,KSV Weissensee Jugend I,Youth,F,63.95,2002,85,92.5,97.5,97.5,45,52.5,-57.5,52.5,90,100,105,105,255,Raw,SBD
Renée-Ann Puchalla,USV Jena,Open,F,65.95,1989,70,75,80,80,-45,-47.5,47.5,47.5,90,100,102.5,102.5,230,Raw,SBD
Tamara Dr.Thomsen,SaV Erfurt (Gast)  I,Open,F,69.15,1982,130,145,152.5,152.5,80,87.5,-92.5,87.5,150,170,186,186,426,Raw,SBD
Max Göpfert,SaV Erfurt,Juniors,M,71.35,1999,140,150,155,155,100,107.5,112.5,112.5,187.5,200,212.5,212.5,480,Raw,SBD
Vincent Curth,Sav Erfurt I,Open,M,75.8,1991,190,-200,200,200,135,142.5,-147.5,142.5,220,240,,240,582.5,Raw,SBD
Alexandra Töpel,USV Jena,Open,F,76.9,1999,75,80,85,85,45,50,55,55,90,102.5,110,110,250,Raw,SBD
Silas Storbeck,USV Jena,Juniors,M,77.8,1998,142.5,150,155,155,87.5,95,100,100,167.5,180,-185,180,435,Raw,SBD
Sebastian Gemmel,SaV Erfurt,Juniors,M,79.95,1996,167.5,175,182.5,182.5,112.5,117.5,122.5,122.5,180,195,-205,195,500,Raw,SBD
Nadin Elfenbein,SaV Erfurt,Open,F,80.05,1981,102.5,110,117.5,117.5,65,67.5,70,70,107.5,117.5,127.5,127.5,315,Raw,SBD
Jan Meurer,USV Jena,Juniors,M,82.45,1996,175,180,185,185,105,110,-115,110,225,235,245,245,540,Raw,SBD
Christian Schmidt,SV1956 Großkochberg,Open,M,83.65,1985,140,150,160,160,100,107.5,-112.5,107.5,180,190,200,200,467.5,Raw,SBD
Ramon Baubel,Gothaer BFV II,Open,M,91.1,1981,177.5,190,,190,107.5,117.5,122.5,122.5,200,210,220,220,532.5,Raw,SBD
Clemens Wüstemann,KSV Weissensee Jugend I,Youth,M,91.45,2001,100,110,120,120,60,70,75,75,110,120,130,130,325,Raw,SBD
Lukas Weidich,KSV Weissensee Jugend I,Youth,M,92.75,2002,90,100,-110,100,50,60,65,65,100,110,130,130,295,Raw,SBD
Michael Hildebrandt-Schwan,Gothaer BFV I,Open,M,95.1,194,200,217.5,225,225,187.5,197.5,200,200,200,220,232.5,232.5,657.5,Raw,SBD
Ronny Kreitl,Gothaer BFV II,Open,M,95.45,1986,172.5,177.5,182.5,182.5,165,170,-175,170,202.5,212.5,-222.5,212.5,565,Raw,SBD
Marco Eberhardt,SV1956 Großkochberg,Open,M,96,1986,180,190,202.5,202.5,132.5,137.5,140,140,210,220,-230,220,562.5,Raw,SBD
Nick Lieberknecht,SaV Erfurt II,Open,M,98.4,1994,152.5,165,175,175,137.5,142.5,147.5,147.5,170,200,215,215,537.5,Raw,SBD
Erik Büschel,SV1956 Großkochberg,Open,M,99.45,1986,185,195,205,205,145,-155,155,155,190,200,210,210,570,Raw,SBD
Christopher Diete,USV Jena,Juniors,M,99.5,1997,-200,200,,200,140,,,140,220,,,220,560,Raw,SBD
Fernando Hillebrand,Gothaer BFV II,Open,M,100.25,1985,175,182.5,-187.5,182.5,102.5,107.5,-112.5,107.5,175,185,190,190,480,Raw,SBD
Heiko Müller,SV1956 Großkochberg,Open,M,101.4,1970,160,170,-180,170,125,135,137.5,137.5,180,-190,195,195,502.5,Raw,SBD
Marco Schmidt-Gursky,Gothaer BFV I,Open,M,109,1976,182.5,195,200,200,162.5,-172.5,175,175,205,215,225,225,600,Raw,SBD
Alex Loszkorih,KSV Weissensee Jugend II,Youth,M,109.55,2002,80,95,105,105,50,55,-57.5,55,100,110,120,120,280,Raw,SBD
Pierre Liebeskind,SaV Erfurt II,Open,M,111.85,1993,-160,170,175,175,105,110,-115,110,180,-195,195,195,480,Raw,SBD
Monia Kari,SaV Erfurt,Open,F,115.6,1971,110,120,130,130,100,-110,115,115,130,140,150,150,395,Raw,SBD
Matthias Scholz,Sav Erfurt I,Open,M,148.4,1983,212.5,225,235,235,162.5,172.5,-180,172.5,200,220,-235,220,627.5,Raw,SBD
Tobias Zinserling,Gothaer BFV I,Open,M,151.6,1978,330,,,330,-245,245,,245,330,355,-375.5,355,930,Raw,SBD
Oleg Gerats,Sav Erfurt I,Open,M,168.6,1991,230,250,,250,200,212.5,220.5,220.5,235,-260,,235,705.5,Raw,SBD
Tabea Wiedenhofer,SaV Erfurt,Open,F,63.4,1996,100,105,110,110,87.5,-95,100,100,107.5,112.5,-117.5,112.5,322.5,Single-ply,SBD
Isabelle Materne ,SaV Erfurt,Open,F,64.9,1985,145,155,,155,115,122.5,130,130,120,130,135,135,420,Single-ply,SBD
Jonathan Bertuch,SaV Erfurt II,Open,M,65.65,1995,155,-165,165,165,115,125,130,130,180,190,200,200,495,Single-ply,SBD
Klaus Griesch,IASC Erfurt,Open,M,75.7,1959,150,-170,175,175,120,130,140,140,150,170,180,180,495,Single-ply,SBD
Steffen Spörl,Lobensteiner AV 93 ,Open,M,85.55,1974,175,185,,185,127.5,132.5,-135,132.5,200,207.5,-212.5,207.5,525,Single-ply,SBD
Uwe Billig,Lobensteiner AV 93 (G),Open,M,102,1973,180,192.5,-202.5,192.5,127.5,137.5,-145,137.5,200,215,226,226,556,Single-ply,SBD
Florian Wahrenberg,Gothaer BFV I,Open,M,102.7,1976,165,175,185,185,-185,185,195,195,220,-240,-240,220,600,Single-ply,SBD
Friedhelm Mandel,Todtglüsinger SV v.1930,Open,M,108.85,1961,150,175,190,190,120,135,-145,135,150,180,-200,180,505,Single-ply,SBD
Thomas John,Berlin Strength,Open,M,109,1964,200,210,220,220,120,130,-140,130,240,250,,250,600,Single-ply,SBD
Matthias Werner,Lobensteiner AV 93,Open,M,115,1984,235,245,-250,245,157.5,-165,165,165,265,280,-300.5,280,690,Single-ply,SBD
Manuel Gruner,Lobensteiner AV 93 ,Open,M,116.7,1995,180,190,-195,190,137.5,145,-147.5,145,210,222.5,230,230,565,Single-ply,SBD
Ralf Bog,SV 1956 Großkochberg,Open,M,118.7,1952,-140,145,155,155,80,85,90,90,190,202.5,207.5,207.5,452.5,Single-ply,SBD
Karl-Heinz May,PSV Sonneberg,Open,M,129.4,1953,100,,,100,150,,,150,170,,,170,420,Single-ply,SBD
