Name,Age,BodyweightKg,WeightClassKg,Equipment,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Sex,Division
Precious McKenzie,,,56,Raw,270,280,285,285,415,425,-430,,480,500,,,,SBD,M,Open
Michael Cross,,,56,Wraps,215,220,235,235,340,-370,370,,455,525,-550,,,SBD,M,Open
John Redding,,52.96,56,Wraps,200,215,-220,215,-430,430,,,455,-470,-470,,,SBD,M,Open
David Moyer,,,56,Wraps,225,240,-250,240,390,425,-440,,400,430,-440,,,SBD,M,Open
Harry Crawford,,,56,Wraps,200,210,-215,210,-300,300,-315,,400,-425,-425,,,SBD,M,Open
Franklin Riley,,,60,Wraps,290,305,-315,305,390,410,425,,490,520,535,,,SBD,M,Open
Leroy Mabie,,,60,Wraps,285,305,-315,305,385,405,-415,,480,-560,-560,,,SBD,M,Open
Allen Lord,,,60,Wraps,,,,240,420,-450,-455,,520,-535,,,,SBD,M,Open
Luis Ramos,,,60,Wraps,275,-290,-290,275,325,-340,-340,,450,470,500,,,SBD,M,Open
Steve Hoxworth,,,60,Raw,,,,250,345,-365,-365,,,500,-510,,,SBD,M,Open
John Ambler,,,60,Wraps,240,-250,-250,240,360,-375,-375,,470,480,,,,SBD,M,Open
Peter Weiss,,,60,Wraps,220,230,-235,230,380,400,-410,,440,-460,-460,,,SBD,M,Open
Edward Moules,,,60,Wraps,190,200,-205,200,250,275,-285,,420,-435,-450,,,SBD,M,Open
David Gerhart,,,60,Wraps,280,290,300,300,375,410,425,,-485,-485,-485,,,SBD,M,Open
Jack Keammerer,,,67.5,Wraps,275,290,300,300,-460,470,485,,560,590,605,,,SBD,M,Open
Michael Shaw,,,67.5,Wraps,310,330,-345,310,480,-500,-500,,560,-575,,,,SBD,M,Open
John Welch,,,67.5,Wraps,335,350,360,,470,485,,,525,-550,-550,,,SBD,M,Open
Max Peek,,,67.5,Wraps,275,285,295,,440,455,-465,,530,550,-565,,,SBD,M,Open
James Moir,,,67.5,Wraps,310,-320,320,,,,,,,,,,,SBD,M,Open
Gary Hoxworth,,,67.5,Wraps,,,,,,,,,,,,,,SBD,M,Open
Gary Perkins,,,67.5,Wraps,325,-330,,,,,,,,,,,,SBD,M,Open
Clifford Burton,,,67.5,Wraps,,,,,,,,,,,,,,SBD,M,Open
Richard Williams,,,67.5,Wraps,,,,,,,,,,,,,,SBD,M,Open
Gary Hunter,,,67.5,Wraps,-300,-300,-300,,,,,,,,,,,SBD,M,Open
Ronald Collins,,,75,Wraps,,365,-375,,530,550,560,,600,640,650,,,SBD,M,Open
Howard Moreau,,,75,Wraps,,,,,450,480,485,,550,575,600,,,SBD,M,Open
Mike Lettieri,,,75,Wraps,,,,,,,,,,,,,,SBD,M,Open
Ron Hale,,,75,Raw,,,,,,,,,,540,-550,,,SBD,M,Open
Jack Spack,,,75,Wraps,,,,,,,,,630,-650,-665,,,SBD,M,Open
Roland Bonner,,,75,Wraps,,,,,,,,,,,,,,SBD,M,Open
Chungu Sosts’n,,,75,Wraps,,,,,,,,,,,,,,SBD,M,Open
Felix Torres,,,75,Wraps,,,,,,,,,,,,,,SBD,M,Open
Joseph Pyra,,,75,Wraps,280,-295,-295,,-460,-460,-460,,,,,,,SBD,M,Open
Joseph Rhodes,,,75,Wraps,,,,,-530,-530,-530,,,,,,,SBD,M,Open
Vince Anello,,,82.5,Wraps,350,360,-370,,500,520,540,,660,710,735,,,SBD,M,Open
Vince Peterson,,,82.5,Wraps,-370,380,-390,,-540,570,,,550,590,-605,,,SBD,M,Open
Nathan Newcomer,,,82.5,Wraps,,,,,,,,,670,-705,,,,SBD,M,Open
Gerald Smith,,,82.5,Wraps,,,,,,,,,,,,,,SBD,M,Open
Rich Collarile,,,82.5,Wraps,-400,410,420,,,,,,570,605,-620,,,SBD,M,Open
Peter Fiore,,,82.5,Wraps,,,,,,,,,,,,,,SBD,M,Open
Cedric Demetrius,,,82.5,Wraps,400,500,-520,,,,,,500,550,585,,,SBD,M,Open
Safeli Kananda,,,82.5,Wraps,,,,,,,,,,,,,,SBD,M,Open
George Clark,,,82.5,Wraps,390,-415,-415,,-575,-575,-575,,,,,,,SBD,M,Open
Martin Joyce,,,82.5,Wraps,-375,-375,-375,,,,,,,,,,,SBD,M,Open
David Carroll,,,82.5,Wraps,-300,-300,-300,,,,,,,,,,,SBD,M,Open
Jerry Jones,,,90,Wraps,380,400,415,,695,-725,-725,,640,675,695,,,SBD,M,Open
Anthony Fratto,,,90,Wraps,-380,380,-400,,640,700,-730,,650,670,-700,,,SBD,M,Open
Jack Barnes,,,90,Wraps,415,430,-440,,,,,,600,-630,-630,,,SBD,M,Open
Paul Wood,,,90,Wraps,450,-475,-475,,540,570,590,,660,-705,,,,SBD,M,Open
John Pegler,,,90,Wraps,390,415,420,,580,620,635,,600,-620,,,,SBD,M,Open
Barry O’Brien,,,90,Wraps,360,370,380,,560,580,-590,,650,690,-700,,,SBD,M,Open
Tom Farchione,,,90,Wraps,,,,,575,-600,-600,,640,-700,,,,SBD,M,Open
Frank Matthews,,,90,Wraps,375,-400,-400,,575,-630,-630,,650,,,,,SBD,M,Open
Larry Pacifico,,,110,Wraps,545,575,-590,,665,700,-720,,660,700,-730,,,SBD,M,Open
Mel Hennessy,,,110,Wraps,565,-585,-585,,675,710,-740,,665,-690,,,,SBD,M,Open
Nigel Piceathly,,,110,Wraps,455,480,-500,,620,680,700,,600,630,,,,SBD,M,Open
Lyle Schwartz,,,110,Wraps,415,440,455,,645,-670,-670,,600,670,,,,SBD,M,Open
Tom Scott,,,110,Wraps,380,400,-415,,635,665,680,,670,-735,-735,,,SBD,M,Open
Terry Weaver,,,110,Wraps,370,380,-395,,620,635,-650,,715,,,,,SBD,M,Open
Jim Taylor,,,110,Wraps,-355,355,-365,,600,625,-640,,655,,,,,SBD,M,Open
Billy Horwitz,,,110,Wraps,-480,500,-510,,-670,-670,-670,,,,,,,SBD,M,Open
Douglas Edmunds,,,110,Wraps,-380,-380,-380,,,,,,,,,,,SBD,M,Open
John Kuc,,146.06,110+,Wraps,550,600,-610,,805,860,905,,800,845,-875,,,SBD,M,Open
Jim Williams,,155.58,110+,Wraps,630,675,-700,,-805,-805,825,,725,-755,,,,SBD,M,Open
Don Reinhoudt,,,110+,Wraps,540,570,590,,-800,810,830,,730,-805,,,,SBD,M,Open
Paul Wrenn,,,110+,Wraps,365,390,,,600,620,635,,690,710,,,,SBD,M,Open
Joseph White,20,135.6,110+,Wraps,490,-505,,,-800,-810,-830,,,,,,,SBD,M,Open
