Name,Sex,WeightClassKg,Event,Equipment,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place
Haralds Ansis Glūzda,M,82.5,B,Raw,13-15,77.9,,,,,,55,65,70,,70,,,,,70,2
Artūrs Rudenko,M,82.5,B,Raw,16-17,75.5,,,,,,100,105,-110,,105,,,,,105,1
Igors Smirnovs,M,82.5,B,Raw,16-17,79.2,,,,,,100,105,-107.5,,105,,,,,105,2
Raivis Osis,M,82.5,B,Raw,18-19,80.9,,,,,,115,120,122.5,,122.5,,,,,122.5,1
Mārtiņš Heidemanis,M,82.5,B,Raw,20-23,82.1,,,,,,-120,120,122.5,,122.5,,,,,122.5,1
Gints Pāvils,M,82.5,B,Raw,Open,80.2,,,,,,160,162.5,-167.5,,162.5,,,,,162.5,2
Armands Naglāzs,M,82.5,B,Raw,Open,82.2,,,,,,142.5,155,160,,160,,,,,160,3
Gatis Biezais,M,82.5,B,Raw,Open,81.5,,,,,,162.5,165,-167.5,,165,,,,,165,1
Juris Petrovs,M,82.5,B,Raw,Open,81.3,,,,,,-150,-150,-150,,,,,,,,DQ
Eduards Saveļjevs,M,82.5,B,Raw,40-44,81.6,,,,,,140,145,147.5,,147.5,,,,,147.5,1
Zigurds Ģībietis,M,82.5,B,Raw,45-49,80.7,,,,,,100,110,,,110,,,,,110,1
Aldis Eglītis,M,82.5,B,Raw,50-54,81.5,,,,,,-115,-120,122.5,,122.5,,,,,122.5,1
Alfrēds Graudiņš,M,82.5,B,Raw,55-59,81.4,,,,,,-125,125,130,,130,,,,,130,1
Andris Šulcs,M,82.5,B,Raw,65-69,76.5,,,,,,85,90,-95,,90,,,,,90,1
Karīna Grigorjeva,F,90,B,Raw,Open,88.1,,,,,,80,-87.5,-87.5,,80,,,,,80,1
Mareks Dapšuskis,M,90,B,Raw,13-15,87.4,,,,,,-65,65,72.5,,72.5,,,,,72.5,1
Viktors Golasko,M,90,B,Raw,18-19,84.2,,,,,,135,145,150,,150,,,,,150,1
Armands Skuja,M,90,B,Raw,18-19,83.1,,,,,,105,110,-115,,110,,,,,110,2
Andris Afanasjevs,M,90,B,Raw,18-19,88.1,,,,,,90,-100,-105,,90,,,,,90,3
Matīs Vācietis,M,90,B,Raw,20-23,89.7,,,,,,170,177.5,-180,,177.5,,,,,177.5,1
Jānis Zaķis,M,90,B,Raw,20-23,86.5,,,,,,140,142.5,147.5,,147.5,,,,,147.5,2
Romans Dauksts,M,90,B,Raw,Open,88.8,,,,,,150,157.5,162.5,,162.5,,,,,162.5,1
Helvijs Gūtmanis,M,90,B,Raw,Open,88.3,,,,,,150,-157.5,157.5,,157.5,,,,,157.5,2
Edmunds Kēnigsvalds,M,90,B,Raw,60-64,83.2,,,,,,100,105,110,,110,,,,,110,1
Rūdolfs Vertulaitis,M,100,B,Raw,16-17,98.3,,,,,,100,105,110,,110,,,,,110,1
Edgars Sīlis,M,100,B,Raw,20-23,94.4,,,,,,135,142.5,-150,,142.5,,,,,142.5,1
Viesturs Eidemanis,M,100,B,Raw,Open,92.5,,,,,,195,-205,-205,,195,,,,,195,1
Kaspars Sniedze,M,100,B,Raw,Open,97.3,,,,,,190,,,,190,,,,,190,2
Jurģis Glaņenko,M,100,B,Raw,Open,94,,,,,,165,-175,-175,,165,,,,,165,3
Normunds Kačānovs,M,100,B,Raw,Open,91.5,,,,,,125,135,-140,,135,,,,,135,4
Mārtiņš Būčiņš,M,100,B,Raw,Open,95.6,,,,,,-167.5,-167.5,-167.5,,,,,,,,DQ
Sergejs Mahsumovs,M,100,B,Raw,40-44,97.1,,,,,,170,175,180,,180,,,,,180,1
Andis Arbidāns,M,100,B,Raw,40-44,99.9,,,,,,160,165,-175,,165,,,,,165,2
Oļegs Illarionovs,M,100,B,Raw,45-49,94.8,,,,,,170,180,-190,,180,,,,,180,1
Māris Ķikals,M,100,B,Raw,45-49,91.1,,,,,,135,140,142.5,,142.5,,,,,142.5,2
Agris Skuja,M,100,B,Raw,45-49,96.4,,,,,,-130,130,135,,135,,,,,135,3
Dainis Zaķis,M,100,B,Raw,50-54,94.3,,,,,,142.5,150,155,,155,,,,,155,1
Juris Kloppe,M,100,B,Raw,55-59,93.9,,,,,,130,135,-141,,135,,,,,135,1
Ivars Mizišs,M,100,B,Raw,60-64,96.9,,,,,,125,-135,-135,,125,,,,,125,1
Artjoms Melkumjans,M,110,B,Raw,16-17,109.2,,,,,,150,-161,-161,,150,,,,,150,1
Reinis Kindzulis,M,110,B,Raw,18-19,108.6,,,,,,190,200,205,,205,,,,,205,1
Antons Losevs,M,110,B,Raw,18-19,104.7,,,,,,155,165,-172.5,,165,,,,,165,2
Nauris Brauns,M,110,B,Raw,18-19,100.9,,,,,,150,-162.5,,,150,,,,,150,3
Jānis Jaunzems,M,110,B,Raw,20-23,109.3,,,,,,-165,-165,170,,170,,,,,170,1
Artis Kronbergs,M,110,B,Raw,20-23,102.2,,,,,,-160,160,-170,,160,,,,,160,2
Mārtiņš Apškalns,M,110,B,Raw,Open,107.7,,,,,,-230,-230,230,,230,,,,,230,1
Igors Pirins,M,110,B,Raw,Open,104.6,,,,,,-195,195,,,195,,,,,195,2
Andis Kaspars,M,110,B,Raw,Open,109.9,,,,,,180,185,-190,,185,,,,,185,3
Kaspars Ločmelis,M,110,B,Raw,Open,107.8,,,,,,165,170,-175,,170,,,,,170,4
Jānis Freimanis,M,110,B,Raw,Open,101.8,,,,,,145,150,-152.5,,150,,,,,150,5
Sandis Vanags,M,110,B,Raw,Open,102.4,,,,,,145,150,-152.5,,150,,,,,150,6
Uģis Vācietis,M,110,B,Raw,40-44,106.4,,,,,,175,,,,175,,,,,175,1
Gvido Kohs,M,110,B,Raw,45-49,104.4,,,,,,170,185,-192.5,,185,,,,,185,1
Fēliks Žieds,M,110,B,Raw,45-49,103.4,,,,,,155,160,165,,165,,,,,165,2
Lauris Pāvulāns,M,110,B,Raw,45-49,105.7,,,,,,100,,,,100,,,,,100,3
Ivans Makarenko,M,110,B,Raw,55-59,108.6,,,,,,160,-167.5,167.5,,167.5,,,,,167.5,1
Elāns Kloppe,M,125,B,Raw,Open,118.9,,,,,,190,200,-210,,200,,,,,200,1
Guntars Kaspers,M,125,B,Raw,Open,120.5,,,,,,150,-155,-155,,150,,,,,150,2
Normunds Jurāns,M,125,B,Raw,40-44,114.6,,,,,,190,200,205,,205,,,,,205,1
Jurģis Vācietis,M,125,B,Raw,40-44,111.4,,,,,,150,165,170,,170,,,,,170,2
Ivars Rigasts,M,125,B,Raw,50-54,117.4,,,,,,110,117.5,120,,120,,,,,120,1
Sandris Preimanis,M,140,B,Raw,Open,127.6,,,,,,230,235,-242.5,,235,,,,,235,1
Gvido Taube,M,140,B,Raw,Open,135.3,,,,,,210,-217.5,217.5,,217.5,,,,,217.5,2
Edmunds Andrups,M,140,B,Raw,40-44,130.3,,,,,,200,210,-215,,210,,,,,210,1
