Name,Age,Sex,Division,Event,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Sub Total,"Deadlift
1","Deadlift
2","Deadlift
3","Deadlift
4","Best
Deadlift","Total'
510",,
Vaino Kivisto,45,M,T4,SBD,Wraps,73.55,75,-195,-195,195,,195,125,132.5,,,,332.5,225,235,r 235,,,567.5,,
Sami Vaskelainen,,M,O,SBD,Wraps,66.25,67.5,185,192.5,200.5,,200.5,105,110,,,,318,225,-2374,r 225,,,543,,
Jan Lindquist,,M,M1,SBD,Wraps,81.3,82.5,230,255,265,,265,160,4-7-5,,,,425,270,290,-300 r 290,,,715,,
Olli Anttila,47,M,M1,SBD,Wraps,123,125,240,260,280,290,280,120,130140,,,140,420,150,175,200,,200,620,533200,
Marko Hyytinen,30,M,O,SBD,Wraps,109.2,110,210,220,230,,230,125,130440,,,130,360,180,200,--24.0,,200,560,496720,
Petri Salonen,40,M,M1,SBD,Wraps,108,110,200,220,,,220,170,180,,,180,400,220,240,250,,250,650,577980,
Vesa Keskimaa,53,M,M2,SBD,Wraps,109.8,110,220,240,260,,260,180,195205,,,205,465,240,260,270,,270,735,650475,
Petri Lepisto,40,M,O,SBD,Wraps,135.6,140,230,250,260,,260,160,170175,,,175,435,260,270,275,,275,710,599950,
Petri Lepisto,40,M,M1,SBD,Wraps,135.6,140,230,250,260,,260,160,170175,,,175,435,260,270,275,,275,710,599950,
Jarno Jokinen,42,M,M1,SBD,Wraps,108.3,110,-205,205,223,,222.5,155,445465,,,155,378,260,-280,-280,,260,638,566738,
Billy Haavisto,50,M,M2,SBD,Wraps,118.7,125,-250,250,265,,265,180,190495,,,190,455,260,275,285,,285,740,640840,
Um Jokipalo,24,M,O,SBD,Wraps,109.3,110,285,305,320,,320,155,165, • 110:,,,170,490,275,285,-295,,285,775,687270
Esa Pellikka,24,M,O,SBD,Wraps,110,110,265,285,300,,300,185,I -200 -200,,,185,485,280,0.3,-300,,280,765,677178,
Harri Vaisanen,39,M,O,SBD,Wraps,127.5,140,280,300,,,300,150,160 170 .,,,170,470,280,300,-340,,300,770,657580,
Teemu Tulonen,24,M,O,SBD,Wraps,119.6,125,280,300,315,,315,185,195 -200,,,195,510,320,340,350,,350,860,743556,
Jani-Pekka Eirala,28,M,O,SBD,Wraps,110,110,340,-370,-370,,340,230,-2374 -242.5,,,230,570,340,355,-370,,355,925,819550,
Juha Harilainen,46,M,M1,SBD,Wraps,136.6,140,240,-265,265,,265,160170480,,,,170,435,1-250,,,,"250
0","685
0","578.140
0.000",
Petted Hosio,36,M,O,SBD,Wraps,115.1,125,280,,,,280,-220 -230 -230,,,,0,0,,,,,,,,
Raimo Sjogren,71,M,M4,SBD,Wraps,105,110,150,162.5,170,,170,inr ',,,,73,243,150,160,170,175,170,413,370590,
Olavi Kainulainen,65,M,M3,SBD,Wraps,97,100,-120,-130,130,,130,108) 405 119,,,,100,230,150,170,175,,175,405,375435,
Velimatti Karhu,44,M,M1,SBD,Wraps,101.6,110,180,195,200,,200,,"-420 425 L
11 i25 I -130",,,,"125
125","325
355",":KID
215"," 190
11.."";631>r '","205
4125",,"205
215","530
570","481.770
522.462"
Venta Ilad,23,M,J,SBD,Wraps,99.6,100,210,220,230,,230,,,,,,,,,,,,,,
Erkki Hollo,49,M,M1,SBD,Wraps,93.55,100,140,150,155,,155,1c 20 [,,,,125,280,220,235,-240,,235,515,486469,
Pekka Raiha,34,M,O,SBD,Wraps,99.4,100,215,-235,235,,235,425 A 130,,,,125,360,235,257.5,-270,,257.5,618,566495,
Rene Salojarvi,23,M,J,SBD,Wraps,98.8,100,-205,210,-220,,210,120 122.5 .122.5,,,,0,0,240,-250,-250,,240,0,0,
Jan Heino,29,M,O,SBD,Wraps,106,110,220,235,245,,245,,"1.. 1 150
130 140' 150",,,,"145
140","390
375","240
250","260
260","-270
'.270",,"260
270","650
645","581.750
595.077"
Teemu Makynen,22,M,J,SBD,Wraps,98.1,100,210,225,235,,235,,,,,,,,,,,,,,
Timo Termonen,37,M,O,SBD,Wraps,99.5,100,250,275,285,,285,1,,,,160,445,250,270,,,270,715,655655,
Mikko Pilke,36,M,O,SBD,Wraps,107.2,110,250,270,-280,,270,4.80 .,1'0,,,193,463,260,280,288,,287.5,750,669000,
Teemu Laaksonen,29,M,O,SBD,Wraps,97,100,280,-290,300,,300,.. 165 415,,,,165,465,280,,300,,300,765,710685,
Ville Suominen,33,M,O,SBD,Wraps,98.8,100,250,265,-275,,265,.165 : Mr 472.5,,,,167.5,433,280,295,302.5,,295,728,669155,
Teemu Hakala,26,M,O,SBD,Wraps,99,100,250,-270,270,,270,. 190 :200: -205,,,,200,470,290,300,-340,,300,770,707014,
Mikko Korpeinen,35,M,O,SBD,Wraps,98.55,100,220,240,-250,,240,150460460,,,,150,390,300,321,430,,321,711,654547,
