Name,Sex,Event,Division,WeightClassKg,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
Hideaki Inaba,M,SBD,Open,52,,,,,
S. Tokutaka,M,SBD,Open,52,,,,,
T. Fukuya,M,SBD,Open,52,,,,,
M. Ando,M,SBD,Open,52,,,,,
K. Ichikawa,M,SBD,Open,52,,,,,
M. Isagawa,M,SBD,Open,56,,,,,
H. Watanabe,M,SBD,Open,56,,,,,
T. Horie,M,SBD,Open,56,,,,,
C. ito,M,SBD,Open,60,,,,,
H. Haneda,M,SBD,Open,60,,,,,
M. Suzuki #1,M,SBD,Open,60,,,,,
H. Torisawa,M,SBD,Open,60,,,,,
I. Harada,M,SBD,Open,67.5,,,,,
T. Nagano,M,SBD,Open,67.5,,,,,
T. Higuchi,M,SBD,Open,67.5,,,,,
J. Takagi,M,SBD,Open,67.5,,,,,
M. Kijima,M,SBD,Open,67.5,,,,,
N. Nagatsuka,M,SBD,Open,67.5,,,,,
Y. Nakagawa,M,SBD,Open,75,,,,,
T. Nakao,M,SBD,Open,75,,,,,
M. Suzuki #2,M,SBD,Open,75,,,,,
K. Tscuchiya,M,SBD,Open,75,,,,,
E. Ueda,M,SBD,Open,75,,,,,
M. Nakama,M,SBD,Open,75,,,,,
F. Seki,M,SBD,Open,82.5,,,,,
K. Kawano,M,SBD,Open,82.5,,,,,
Y. Manda,M,SBD,Open,82.5,,,,,
T. Maeda,M,SBD,Open,90,,,,,
M. Inque,M,SBD,Open,90,,,,,
T. Iida,M,SBD,Open,90,,,,,
H. Shinkai,M,SBD,Open,90,,,,,
M. Nikaidani,M,SBD,Open,90,,,,,
S. Yoshida,M,SBD,Open,100,,,,,
T. Adachi,M,SBD,Open,110,,,,,
S. Nakamura,M,SBD,Open,125+,,,,,
