1999 WPA WORLD CHAMPIONSHIPS,,,,,,,,,,,,
"Augusta,Georgia, March 20-21, 1999",,,,,,,,,,,,
Name,Sex,Age,Bodyweight,Class,Division,Equipment,Squat,Bench Press,Deadlift,Total,Event,Test
Adam Wilson,M,19,197.25,198,Open,Single-ply,,385,,385,B,DT
Adrian Cabrerra,M,,217,220,Open,Single-ply,,390,,390,B,DT
Adrian Wood,M,21,176.75,181,Open,Single-ply,,405,,405,B,NT
Adrian Wood,M,21,176.75,181,J20-23,Single-ply,,405,,405,B,DT
Anthony Patti,M,31,173,181,Open,Single-ply,,370,,370,B,NT
Anthony Vellake,M,,226,242,Open NT,Single-ply,,530,,530,B,NT
Anthony Vellake,M,37,226,242,S33-39,Single-ply,,530,,530,B,DT
Art Clarkson,M,57,242,242,M55-59,Raw,,300,,300,B,DT
Bart Kelley,M,,232,242,Open NT,Single-ply,,510,,510,B,NT
Bart Kelley,M,232,232,242,Open,Single-ply,,510,,510,B,DT
Bear Ferebe,M,,223,242,Open NT,Single-ply,,560,,560,B,NT
Bert Zeillard,M,29,180,181,Open,Single-ply,,355,,355,B,NT
Bill Baldwin,M,40,178,181,M40-44,Single-ply,,300,,300,B,DT
Bill Crawford,M,,268,275,Open NT,Multi-ply,,640,,640,B,NT
Bill Gregory,M,23,264.25,275,J20-23,Single-ply,,,,,B,DT
Bill Morehouse,M,23,198,198,Open,Single-ply,,450,,450,B,DT
Bob Mabus,M,,181,181,Open,Single-ply,,435,,435,B,NT
Brad Kelley,M,,218,220,Open,Single-ply,,535,,535,B,DT
Brad Kelley,M,,218,220,Open NT,Single-ply,,535,,535,B,NT
Brian Peterson,M,30,178,181,Open,Single-ply,,360,,360,B,NT
Carl Summers,M,56,249,275,M55-59,Single-ply,,355,,355,B,DT
Clarence James,M,,323,308+,Open,Single-ply,,435,,435,B,DT
Clarence James,M,,323,308+,Open NT,Single-ply,,435,,435,B,NT
Clifton Nadeau,M,27,161.25,165,Open,Single-ply,,320,,320,B,DT
Corey Mote,M,18,173.75,181,T-18-19,Single-ply,,300,,300,B,DT
Craig Matthews,M,,181,181,Open,Single-ply,,405,,405,B,NT
Daniel Hagen,M,24,164,165,Open,Single-ply,,330,,330,B,DT
Darrell Hamby,M,45,161.75,165,Open,Single-ply,,400,,400,B,DT
Darrell Hamby,M,45,161.75,165,M45-49,Single-ply,,400,,400,B,NT
Debbie Quimby,F,36,148,148,S33-39,Single-ply,,,,,B,DT
Debbie Quimby,F,36,148,148,Open,Single-ply,,,,,B,DT
Gladys Moore,F,41,148,148,M40-44,Single-ply,,175,,175,B,DT
Gregory Campbell,M,32,191,198,Open,Single-ply,,490,,490,B,DT
Jerry Tancil,M,45,332,308+,Open,Single-ply,,550,,550,B,DT
Jerry Tancil,M,45,332,308+,Open NT,Single-ply,,550,,550,B,NT
Jose Palcheco,M,24,192.5,198,Open,Single-ply,,380,,380,B,DT
Judy Finley,F,39,138,148,S33-39,Single-ply,,155,,155,B,DT
June Wood,F,41,124,132,Open,Single-ply,,165,,165,B,DT
June Wood,F,41,124,132,M40-44,Single-ply,,165,,165,B,DT
