Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Tatyana Tikhonova,Татьяна Тихонова,1977,42,85,,42.5,,110,237.5,F,SBD,Single-ply,Juniors,44
2,Yana Petrenko,Яна Петренко,1981,37,72.5,,37.5,,90,200,F,SBD,Single-ply,Juniors,44
3,Anna Miroshnichenko,Анна Мирошниченко,1980,41.7,67.5,,27.5,,100,185,F,SBD,Single-ply,Juniors,44
4,Viktoriya Berezovskaya,Виктория Березовская,1982,39.7,65,,25,,65,155,F,SBD,Single-ply,Juniors,44
DQ,Aleksandra Slavnaya,Александра Славная,1980,43,,,,,,,F,SBD,Single-ply,Juniors,44
1,Viktoriya Shapoval,Виктория Шаповал,1973,47.9,100,,50,,117.5,267.5,F,SBD,Single-ply,Juniors,48
2,Irina Alekseychuk,Ирина Алексейчук,1973,48,80,,50,,90,220,F,SBD,Single-ply,Juniors,48
3,Natalya Melnichuk,Наталья Мельничук,1974,47.35,75,,45,,90,210,F,SBD,Single-ply,Juniors,48
4,Lyudmila Gagarina,Людмила Гагарина,1978,48,72.5,,35,,95,202.5,F,SBD,Single-ply,Juniors,48
5,Valeriya Tanchinets,Валерия Танчинець,1976,47.6,57.5,,27.5,,85,170,F,SBD,Single-ply,Juniors,48
1,Lyudmila Titova,Людмила Титова,1978,51.1,102.5,,55,,120,277.5,F,SBD,Single-ply,Juniors,52
2,Elena Besportochnaya,Елена Беспорточная,1974,51.5,80,,62.5,,117.5,260,F,SBD,Single-ply,Juniors,52
3,Viktoriya Minyaylo,Виктория Миняйло,1973,50.7,90,,45,,102.5,237.5,F,SBD,Single-ply,Juniors,52
4,Lyudmila Osmanova,Людмила Османова,1976,50.8,75,,65,,95,235,F,SBD,Single-ply,Juniors,52
5,Natalya Patserynyuk,Наталья Пацерынюк,1973,51.1,80,,35,,95,210,F,SBD,Single-ply,Juniors,52
6,Anna Sopivnyk,Анна Сопивнык,1974,50.9,70,,35,,85,190,F,SBD,Single-ply,Juniors,52
DQ,Natalya Paterin,Наталья Патерин,1972,52,,,,,,,F,SBD,Single-ply,Juniors,52
1,Natalya Ship,Наталья Шип,1976,55.6,130,,62.5,,135,327.5,F,SBD,Single-ply,Juniors,56
2,Nadezhda Matsek,Надежда Мацек,1971,56,125,,65,,125,315,F,SBD,Single-ply,Juniors,56
3,Inna Irzhakovskaya,Инна Иржаковская,1976,56,95,,50,,110,255,F,SBD,Single-ply,Juniors,56
4,Yuliya Bannikova,Юлия Банникова,1977,55.7,90,,42.5,,105,237.5,F,SBD,Single-ply,Juniors,56
5,Natalya Berezhetskaya,Наталья Бережецкая,1976,55.3,85,,35,,112.5,232.5,F,SBD,Single-ply,Juniors,56
6,Marina Greblya,Марина Гребля,1974,54.3,70,,35,,90,195,F,SBD,Single-ply,Juniors,56
1,Lyusena Andresyuk,Люсьена Андресюк,1977,56.5,100,,50,,127.5,277.5,F,SBD,Single-ply,Juniors,60
2,Natalya Pavelko,Наталья Павелко,1975,58.1,90,,45,,120,255,F,SBD,Single-ply,Juniors,60
3,Elena Pilipenko,Елена Пилипенко,1977,60,80,,45,,110,235,F,SBD,Single-ply,Juniors,60
1,Oksana Spiridonova,Оксана Спиридонова,1974,65,135,,80,,155,370,F,SBD,Single-ply,Juniors,67.5
2,Inna Andrievskaya,Инна Андриевская,1975,67,105,,50,,145,300,F,SBD,Single-ply,Juniors,67.5
3,Zhanna Gorbacheva,Жанна Горбачева,1975,67.4,110,,57.5,,122.5,285,F,SBD,Single-ply,Juniors,67.5
4,Viktoriya Chelpombaeva,Виктория Челпомбаева,1975,66,100,,45,,125,270,F,SBD,Single-ply,Juniors,67.5
5,Elena Kosharnaya,Елена Кошарная,1972,67.5,80,,55,,100,235,F,SBD,Single-ply,Juniors,67.5
DQ,Natalya Rechkina,Наталья Речкина,1973,73.5,,,,,,,F,SBD,Single-ply,Juniors,75
1,Marina Golovatyuk,Марина Головатюк,1977,77.8,110,,45,,125,280,F,SBD,Single-ply,Juniors,82.5
1,Viktor Sidorovnin,Виктор Сидоровнин,1979,51.8,125,,70,,137.5,332.5,M,SBD,Single-ply,Juniors,52
2,Vitaliy Novalovskiy,Виталий Новаловский,1974,52,115,,92.5,,125,332.5,M,SBD,Single-ply,Juniors,52
3,Mikhail Kerestey,Михаил Керестей,1978,52,115,,70,,145,330,M,SBD,Single-ply,Juniors,52
4,Nikolay Kazmirchuk,Николай Казмирчук,1978,48.2,115,,60,,135,310,M,SBD,Single-ply,Juniors,52
5,Vladimir Demin,Владимир Демин,1972,51.5,90,,67.5,,140,297.5,M,SBD,Single-ply,Juniors,52
6,Oleg Byaka,Олег Бяка,1978,52,95,,65,,125,285,M,SBD,Single-ply,Juniors,52
7,Yuriy Brovdy,Юрий Бровды,1979,51.5,105,,50,,125,280,M,SBD,Single-ply,Juniors,52
8,Ivan Gayfer,Иван Гайфер,1978,48.1,90,,60,,125,275,M,SBD,Single-ply,Juniors,52
9,Aleksandr Kostyrya,Александр Костыря,1982,44.9,77.5,,40,,105,222.5,M,SBD,Single-ply,Juniors,52
10,Igor Skakun,Игорь Скакун,1979,40.3,70,,35,,90,195,M,SBD,Single-ply,Juniors,52
1,Sergey Latyshev,Сергей Латышев,1977,55.6,145,,90,,162.5,397.5,M,SBD,Single-ply,Juniors,56
2,Vladimir Berezovskiy,Владимир Березовский,1978,56,130,,75,,170,375,M,SBD,Single-ply,Juniors,56
3,Andrey Prikazchikov,Андрей Приказчиков,1978,55.8,132.5,,70,,135,337.5,M,SBD,Single-ply,Juniors,56
4,Andrey Kovalchuk,Андрей Ковальчук,1975,55.9,130,,67.5,,140,337.5,M,SBD,Single-ply,Juniors,56
1,Stepan Ovcharenko,Степан Овчаренко,1976,59.5,210,,120,,240,565,M,SBD,Single-ply,Juniors,60
2,Yuriy Martsenyuk,Юрий Марценюк,1974,59.5,155,,110,,175,440,M,SBD,Single-ply,Juniors,60
3,Nikolay Andriychuk,Николай Андрийчук,1974,60,140,,110,,190,440,M,SBD,Single-ply,Juniors,60
4,Andrey Zabozhnyy,Андрей Забожный,1978,59.6,175,,80,,165,420,M,SBD,Single-ply,Juniors,60
5,Vitaliy Gushchevatyy,Виталий Гущеватый,1976,59.9,160,,100,,160,420,M,SBD,Single-ply,Juniors,60
6,Igor Nikolaychuk,Игорь Николайчук,1976,59.2,145,,95,,165,405,M,SBD,Single-ply,Juniors,60
7,Sergey Derevyanko,Сергей Деревянко,1977,58.8,132.5,,87.5,,172.5,392.5,M,SBD,Single-ply,Juniors,60
8,Yuriy Sarzhevskiy,Юрий Саржевский,1971,58.7,130,,90,,170,390,M,SBD,Single-ply,Juniors,60
9,Aleksandr Kupar,Александр Купар,1977,60,137.5,,85,,162.5,375,M,SBD,Single-ply,Juniors,60
10,Oleg Perepichka,Олег Перепичка,1975,60,110,,80,,145,335,M,SBD,Single-ply,Juniors,60
1,Nikolay Visitskiy,Николай Висицкий,1972,66.9,185,,145,145,230,560,M,SBD,Single-ply,Juniors,67.5
2,Andrey Krikun,Андрей Крикун,1974,67,210,,140,145.5,210,560,M,SBD,Single-ply,Juniors,67.5
3,Stanislav Pryakhin,Станислав Пряхин,1975,67.3,205,,115,,222.5,542.5,M,SBD,Single-ply,Juniors,67.5
4,Igor Ivanchenko,Игорь Иванченко,1975,67.1,185,,120,,230,535,M,SBD,Single-ply,Juniors,67.5
5,Sergey Korovin,Сергей Коровин,1974,67.5,177.5,,125,,210,512.5,M,SBD,Single-ply,Juniors,67.5
6,Oleg Ocheretnyuk,Олег Очеретнюк,1973,67.3,195,,132.5,,180,507.5,M,SBD,Single-ply,Juniors,67.5
7,Vitaliy Kovalchuk,Виталий Ковальчук,1974,67.1,197.5,,100,,190,487.5,M,SBD,Single-ply,Juniors,67.5
8,Sergey Polikhun,Сергей Полихун,1977,64.5,177.5,,120,,160,457.5,M,SBD,Single-ply,Juniors,67.5
9,Evgeniy Tsikhmestrenko,Евгений Цихместренко,1976,66.25,150,,90,,175,415,M,SBD,Single-ply,Juniors,67.5
10,Yuriy Pasechnik,Юрий Пасечник,1974,65.2,95,,110,,180,375,M,SBD,Single-ply,Juniors,67.5
DQ,Vasiliy Roznay,Василий Рознай,1978,64.5,150,,,,,,M,SBD,Single-ply,Juniors,67.5
DQ,Oleg Voytovich,Олег Войтович,1972,65.2,135,,,,,,M,SBD,Single-ply,Juniors,67.5
DQ,Viktor Sergiychuk,Виктор Сергийчук,1974,61.7,115,,,,,,M,SBD,Single-ply,Juniors,67.5
1,Viktor Khurudzhi,Виктор Хуруджи,1975,73.75,245,,152.5,,235,632.5,M,SBD,Single-ply,Juniors,75
2,Vadim Mukha,Вадим Муха,1974,73.4,222.5,,155,,207.5,585,M,SBD,Single-ply,Juniors,75
3,Aleksandr Doni,Александр Дони,1972,75,210,,127.5,,247.5,585,M,SBD,Single-ply,Juniors,75
4,Aleksandr Krivoborodov,Александр Кривобородов,1974,73.8,212.5,,132.5,,200,545,M,SBD,Single-ply,Juniors,75
5,Sergey Goginava,Сергей Гогинава,1973,73.9,185,,135,,200,520,M,SBD,Single-ply,Juniors,75
6,Viktor Shcherbina,Виктор Щербина,1973,73,190,,105,,190,485,M,SBD,Single-ply,Juniors,75
7,Yuriy Radchenko,Юрий Радченко,1977,73.6,180,,115,,180,475,M,SBD,Single-ply,Juniors,75
8,Andrey Stadnik,Андрей Стадник,1972,71.4,155,,110,,190,455,M,SBD,Single-ply,Juniors,75
9,Roman Slovak,Роман Словак,1975,68.4,150,,135,,170,455,M,SBD,Single-ply,Juniors,75
DQ,Andrey Prikhodko,Андрей Приходько,1971,74.7,,,,,,,M,SBD,Single-ply,Juniors,75
DQ,Ildar Zakirov,Ильдар Закиров,1976,72.7,,,,,,,M,SBD,Single-ply,Juniors,75
DQ,Aleksandr Sergeev,Александр Сергеев,1974,70.6,130,,,,,,M,SBD,Single-ply,Juniors,75
DQ,Valeriy Romanenko,Валерий Романенко,1974,75,200,,,,,,M,SBD,Single-ply,Juniors,75
DQ,Dmitriy Chala,Дмитрий Чала,1971,71.75,240,,132.5,,,,M,SBD,Single-ply,Juniors,75
DQ,Aleksey Dmitriev,Алексей Дмитриев,1974,73.7,,,,,,,M,SBD,Single-ply,Juniors,75
DQ,Sergey Galutskiy,Сергей Галуцкий,1971,75,,,,,,,M,SBD,Single-ply,Juniors,75
