Name,Country,State,Division,BodyweightKg,WeightClassKg,BirthDate,Age,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Sex,Equipment
Michael van Rensburg,South Africa,,MO,90,90,,20,140,150,-155,150,80,90,-100,90,170,185,192.5,192.5,432.5,6,SBD,M,Wraps
Everaad Schubert,South Africa,,MO,90,90,,27,125,132.5,140,140,100,105,107.5,107.5,170,185,192.5,192.5,440,5,SBD,M,Wraps
Arden Amann,South Africa,,MO,105,105,,23,110,125,142.5,142.5,97.5,-112.5,112.5,112.5,167.5,187.5,195,195,450,5,SBD,M,Wraps
Murray Mcdonald,South Africa,,MO,90,90,,35,-160,170,180,180,115,-120,-120,115,200,210,220,220,515,2,SBD,M,Wraps
Griffin Bowmaker-Falconer,South Africa,,MO,90,90,,20,150,165,-170,165,100,110,-115,110,200,215,220,220,495,3,SBD,M,Wraps
Jens Nieuwoudt,South Africa,,MO,140,140,,24,205,210,-212.5,210,115,-122.5,-122.5,115,210,220,232.5,232.5,557.5,2,SBD,M,Wraps
Dylan Heath,South Africa,,MO,120,120,,32,200,220,237.5,237.5,-145,155,-165,155,230,245,-260,245,637.5,2,SBD,M,Wraps
Mark Fairhurst,South Africa,,MO,90,90,,23,240,257.5,270,270,-135,140,-147.5,140,235,255,275,275,685,1,SBD,M,Wraps
Albert Loubser,South Africa,,MO,120,120,,28,210,-225,235,235,175,182.5,-187.5,182.5,255,270,275,275,692.5,1,SBD,M,Wraps
Nicolas van Huyssteen,South Africa,,MO,105,105,,24,-210,217.5,227.5,227.5,100,,,100,250,265,280,280,607.5,4,SBD,M,Wraps
Daniel Erasmus,South Africa,,MO,105,105,,24,262.5,282.5,,282.5,170,180,-185,180,252.5,270,-285,270,732.5,1,SBD,M,Wraps
Cornelius Nel,South Africa,,MO,105,105,,34,200,225,235,235,140,150,160,160,255,275,290,290,685,2,SBD,M,Wraps
Sipho Hugo,South Africa,,MO,140,140,,28,320,-335,340,340,180,190,-197.5,190,320,340,-360,340,870,1,SBD,M,Wraps
Jp Jordaan,South Africa,,MO,105,105,,25,190,210,220,220,140,-150,-150,140,250,-285,,250,610,3,SBD,M,Wraps
Anthony Baynes,South Africa,,M1,90,90,,49,-210,-215,-215,,145,-150,,145,,,,,,DQ,SBD,M,Wraps
Brandon Jones,South Africa,,MO,142,140+,,26,,,,,-220,-220,-247.5,,,,,,,DQ,B,M,Raw
Zuzette Waters,South Africa,,F1,94,90+,,46,80,-95,100,100,50,-55,-55,50,100,110,120,120,270,1,SBD,F,Wraps
Caron Jacobs,South Africa,,FO,65,67.5,,35,70,75,80,80,45,-50,55,55,105,110,117.5,117.5,252.5,1,SBD,F,Wraps
Alma Nel,South Africa,,F1,82.5,82.5,,40,105,115,125,125,62.5,67.5,-70,67.5,135,145,157.5,157.5,350,1,SBD,F,Wraps
Amy Froneman,South Africa,,F1,65,67.5,,41,117.5,125,-132.5,125,55,-60,62.5,62.5,140,150,160,160,347.5,1,SBD,F,Wraps
Shanna Swart,South Africa,,FO,75,75,,33,107.5,-115,115,115,57.5,62.5,-65,62.5,140,150,160,160,337.5,2,SBD,F,Wraps
Lize Cilliers,South Africa,,FO,75,75,,29,155,165,175,175,80,85,-90,85,150,160,170,170,430,1,SBD,F,Wraps
Zabanguni Phakathi,South Africa,,FO,82.5,82.5,,22,125,135,140,140,70,75,80,80,155,165,-170,165,385,1,SBD,M,Wraps
Aaron Carstens,South Africa,,MT,75,75,,17,-135,145,-160,145,62.5,-80,-80,62.5,160,170,180,180,387.5,1,SBD,M,Wraps
Alec Mosca,South Africa,,MO,75,75,,20,145,150,160,160,80,85,-90,85,170,185,-190,185,430,3,SBD,M,Wraps
Junior Moore,South Africa,,MO,90,90,,34,110,130,145,145,100,110,112.5,112.5,180,200,-202.5,200,457.5,4,SBD,M,Wraps
Aaron Kisten,South Africa,,MO,75,75,,20,-160,160,170,170,90,100,-110,100,195,202.5,-210,202.5,472.5,1,SBD,M,Wraps
Sebastian Cronje,South Africa,,MT,90,90,,18,190,205,215,215,110,-120,-120,110,200,215,225,225,550,1,SBD,M,Wraps
Ahmad Isaacs,South Africa,,MO,75,75,,29,90,,,90,127.5,132.5,-137.5,132.5,200,210,217.5,217.5,440,2,SBD,M,Wraps
James Venter,South Africa,,MT,120,120,,17,245,-260,-260,245,115,127.5,-135,127.5,245,-260,,245,617.5,1,SBD,M,Wraps
Bernard Kannemeyer,South Africa,,MT,105,105,,18,210,225,230,230,130,140,142.5,142.5,245,260,272.5,272.5,645,1,SBD,M,Wraps
