Name,Sex,Country,Event,Equipment,Age,BodyweightKg,Division,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Zoltán Jurko,M,Slovakia,D,Raw,77,85.1,M75-79,90,,,,,,,,,,110,122.5,135.5,135.5,,135.5,1
Jan Kasper,M,Czechia,SBD,Raw,17,77,T16-17,82.5,155,170,-180,170,95,-102.5,-102.5,95,,180,190,-200,190,,455,2
Dominik Kovalčík,M,Czechia,SBD,Raw,17,81,T16-17,82.5,190,210,-225,210,110,125,130,130,,190,210,-217.5,210,,550,1
Jakub Kozikowski,M,Poland,SBD,Raw,16,86.7,T16-17,90,135,145,160,160,90,-100,100,100,,150,165,180,180,,440,1
Arkadiusz Nowak,M,Poland,SBD,Raw,19,71.8,T18-19,75,160,170,-175,170,120,130,135,135,,180,195,202.5,202.5,,507.5,1
Lukasz Tomaszewski,M,Poland,SBD,Raw,18,73.3,T18-19,75,125,130,140,140,90,-100,100,100,,175,185,-190,185,,425,2
Mateusz Kaczmarek,M,Poland,SBD,Raw,23,65.5,Jun,67.5,-130,130,-140,130,110,115,-120,115,,150,170,-180,170,,415,1
Lukas Vachata,M,Czechia,SBD,Raw,23,88.7,Jun,90,180,195,-205,195,105,115,120,120,,220,240,-245,240,,555,1
Lukáš Matušinec,M,Czechia,SBD,Raw,23,112.8,Jun,125,275,300,-312.5,300,145,155,-160,155,,270,295,-305,295,,750,1
Tomasz Miloch,M,Poland,SBD,Raw,33,75,Open,75,-230,230,-240,230,130,150,160,160,,-200,-200,200,200,,590,1
Edgars Peterlēvics,M,Latvia,SBD,Raw,30,81.2,Open,82.5,-260,260,280,280,225,240,-250,240,,230,240,247.5,247.5,,767.5,1
Alexandre Saingery,M,France,SBD,Raw,28,87.4,Open,90,-190,190,-200,190,120,-125,125,125,,215,227.5,-240,227.5,,542.5,1
Konrad Czupryn,M,Poland,SBD,Raw,27,97.4,Open,100,180,190,-200,190,130,140,-145,140,,200,210,220,220,,550,1
Łukasz Purwin,M,Poland,SBD,Raw,25,105,Open,110,230,250,260,260,165,-175,-175,165,,230,-250,250,250,,675,1
Rafal Wójcik,M,Poland,SBD,Raw,29,115.6,Open,125,250,260,272.5,272.5,170,180,185,185,,300,315,330,330,,787.5,1
Jan Suda,M,Czechia,SBD,Raw,37,114,Open,125,260,275,282.5,282.5,177.5,185,-187.5,185,,270,290,-300,290,,757.5,2
Zbigniew Pajęcki,M,Poland,SBD,Raw,53,64.2,M50-54,67.5,90,95,100,100,70,80,-82.5,80,,140,150,155,155,,335,1
Michal Červinka,M,Slovakia,SBD,Raw,56,88.6,M55-59,90,210,225,230,230,130,-140,-140,130,,185,-195,195,195,,555,1
Józef Bejgrowicz,M,Poland,SBD,Raw,64,82,M60-64,82.5,-160,-160,160,160,-70,-70,70,70,,220,-243.5,-243.5,220,,450,1
