Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
S Harris,43.5,47.5,35,75,157.5,SBD,Single-ply,F
S Smith,47.5,120,70,120,310,SBD,Single-ply,F
K Ramsey,46.1,92.5,40,105,237.5,SBD,Single-ply,F
S Stapleton,48,60,37.5,97.5,195,SBD,Single-ply,F
J Heath,50.5,90,52.5,115,257.5,SBD,Single-ply,F
L Sedgewick,51.2,80,42.5,115,237.5,SBD,Single-ply,F
C Monnox,49.2,52.5,30,107.5,190,SBD,Single-ply,F
S Weston,51.6,65,35,80,180,SBD,Single-ply,F
Jenny Hunter,53.3,140,70,162.5,372.5,SBD,Single-ply,F
M Green,53,130,65,145,340,SBD,Single-ply,F
L Steggles,54.4,130,67.5,135,332.5,SBD,Single-ply,F
B Hibbert,55.1,130,52.5,140,322.5,SBD,Single-ply,F
Jackie Blasberry,55,120,47.5,150,317.5,SBD,Single-ply,F
S Towns,55,122.5,50,132.5,305,SBD,Single-ply,F
D Collins,55.5,130,55,120,305,SBD,Single-ply,F
T Saunders,55.1,120,47.5,132.5,300,SBD,Single-ply,F
A Storrie,55.4,92.5,50,150,292.5,SBD,Single-ply,F
J Spence,55.5,102.5,47.5,115,265,SBD,Single-ply,F
S Hill,53.2,97.5,45,115,257.5,SBD,Single-ply,F
R Bass,59.5,142.5,80,165,387.5,SBD,Single-ply,F
V Smith,58.5,110,52.5,137.5,300,SBD,Single-ply,F
C Carter,59.1,105,47.5,140,292.5,SBD,Single-ply,F
S Marshall,58.2,115,45,130,290,SBD,Single-ply,F
K Deteman,58.2,100,47.5,142.5,290,SBD,Single-ply,F
Doreen Dowsett,58.8,100,50,130,280,SBD,Single-ply,F
E Haynes,58,95,50,132.5,277.5,SBD,Single-ply,F
S Carruthers,57.4,95,50,127.5,272.5,SBD,Single-ply,F
A Wyles,59.5,80,55,115,250,SBD,Single-ply,F
M Williamson,60,82.5,40,107.5,230,SBD,Single-ply,F
A Davison,57.3,,,,,SBD,Single-ply,F
J Nichols,60,,,,,SBD,Single-ply,F
S Mackness,67.5,142.5,70,160,372.5,SBD,Single-ply,F
T Roberts,65.4,150,70,142.5,362.5,SBD,Single-ply,F
B Bullock,64.6,117.5,57.5,150,325,SBD,Single-ply,F
T Mayne,64.6,117.5,47.5,135,300,SBD,Single-ply,F
W Samways,60.5,100,47.5,130,277.5,SBD,Single-ply,F
S Wilson,66.5,105,50,115,270,SBD,Single-ply,F
L Smith,65.1,75,35,125,235,SBD,Single-ply,F
S Little,63.5,,,,,SBD,Single-ply,F
P Glasby,66.5,,,,,SBD,Single-ply,F
H Williams,72.3,150,67.5,160,377.5,SBD,Single-ply,F
K Zetolofsky,73.3,140,57.5,165,362.5,SBD,Single-ply,F
C Bonner,74.6,120,65,150,335,SBD,Single-ply,F
R Weatherall,72.5,,,,,SBD,Single-ply,F
Y Clark,77,147.5,60,170,377.5,SBD,Single-ply,F
J Bridges,77.9,120,60,135,315,SBD,Single-ply,F
V Higgs,78.5,117.5,52.5,142.5,312.5,SBD,Single-ply,F
J Pepper,83,147.5,85,172.5,405,SBD,Single-ply,F
J Kerr,91.5,147.5,92.5,160,400,SBD,Single-ply,F
