Place,Name,Sex,Division,WeightClassKg,Equipment,BirthYear,BirthDate,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
4,Mary Grace Opamil,F,N,52,Raw,1986,,,51.55,60,62.5,75,75,30,42.5,47.5,47.5,90,105,110,110,232.5,SBD
5,Kezzia Beatriz Velasquez,F,N,52,Raw,2004,,,51.35,-75,82.5,-87.5,82.5,40,-42.5,-42.5,40,77.5,82.5,87.5,87.5,210,SBD
6,Jenna Mae Canarias,F,N,52,Raw,2000,,,50.1,70,75,82.5,82.5,27.5,30,-32.5,30,85,95,-100,95,207.5,SBD
7,Lara Joice Gregorio Carlos,F,N,52,Raw,,,,50.45,57.5,60,65,65,32.5,-37.5,-37.5,32.5,85,92.5,102.5,102.5,200,SBD
8,Praxilyn Cabangon,F,N,52,Raw,2002,,,51.35,-65,65,-70,65,25,30,-32.5,30,95,100,-105,100,195,SBD
9,Jasmine Bernadette Cagara,F,N,52,Raw,1996,,,51.4,60,67.5,-75,67.5,25,30,35,35,65,75,85,85,187.5,SBD
1,Antoniette Ery Pabayo,F,N,57,Raw,2001,,,56.85,-110,110,-115,110,-50,-50,50,50,115,-120,120,120,280,SBD
2,Zoe Jane Varona,F,N,57,Raw,,,,56.45,95,100,105,105,40,42.5,-45,42.5,115,122.5,-127.5,122.5,270,SBD
3,Athila Ian Marie Surtido,F,N,57,Raw,2004,,,56.9,85,-90,95,95,45,50,-55,50,110,120,-122.5,120,265,SBD
4,Ruru Gallyle Ventura,F,N,57,Raw,2001,,,56.9,90,97.5,-102.5,97.5,45,-50,-50,45,95,105,120,120,262.5,SBD
5,Ayssa Roseth Gastardo,F,N,57,Raw,1999,,,56.4,-80,80,-90,80,40,45,-47.5,45,105,112.5,120,120,245,SBD
6,Nicolette Edna David,F,N,57,Raw,2005,,,55.15,70,-77.5,77.5,77.5,42.5,-47.5,-47.5,42.5,95,102.5,110,110,230,SBD
7,Ma Allyana Victoria Cello,F,N,57,Raw,,,,53.7,-75,75,80,80,27.5,30,35,35,95,105,-115,105,220,SBD
1,Anjelika Marie Gancayco,F,N,63,Raw,1994,,,62.45,-110,110,115,115,78,80.5,-82.5,80.5,152.5,160,-162.5,160,355.5,SBD
2,Maritoni Elline Neri,F,N,63,Raw,2002,,,62.05,120.5,130.5,135,135,60.5,67.5,-70.5,67.5,125,135,141,141,343.5,SBD
3,Roseanne Liao,F,N,63,Raw,1994,,,61,85,100,107.5,107.5,47.5,55,-60,55,115,127.5,-140,127.5,290,SBD
4,Ranielle Chelsie Co,F,N,63,Raw,2001,,,60.1,90,100,107.5,107.5,45,50,-52.5,50,115,122.5,127.5,127.5,285,SBD
5,Jomara Chan,F,N,63,Raw,1980,,,60.3,95,100,105,105,37.5,40,-42.5,40,120,127.5,-135,127.5,272.5,SBD
6,Abigail Betos,F,N,63,Raw,1995,,,62.25,67.5,85,100,100,32.5,42.5,-47.5,42.5,100,115,125,125,267.5,SBD
7,Jun Nannichi,F,N,63,Raw,1988,,,62.1,90,95,100,100,47.5,-52.5,52.5,52.5,100,110,-115,110,262.5,SBD
8,Julieann Santos,F,N,63,Raw,1995,,,61.05,87.5,-92.5,95,95,27.5,32.5,-40,32.5,110,-117.5,117.5,117.5,245,SBD
9,Mikhaila Theresa Ortega,F,N,63,Raw,1993,,,61.9,80,-90,90,90,40,-45,-45,40,100,110,-115,110,240,SBD
1,Andrea Villania,F,N,69,Raw,1995,,,68.7,120,-127.5,-127.5,120,57.5,-62.5,-62.5,57.5,150,157.5,160,160,337.5,SBD
2,Fredelyn Sayod,F,N,69,Raw,1989,,,67.4,90,-100,100,100,45,55,-57.5,55,130,140,-145,140,295,SBD
3,Alaissa Mariel Dimdam,F,N,69,Raw,1999,,,67.8,100,110,-115,110,-45,47.5,-55,47.5,130,137.5,-145,137.5,295,SBD
4,Diana F David,F,N,69,Raw,1997,,,67.95,105,-112.5,-112.5,105,47.5,-50,-50,47.5,120,125,-130,125,277.5,SBD
5,Myryll Villarey,F,N,69,Raw,1991,,,64.85,90,92.5,97.5,97.5,40,42.5,-45,42.5,100,107.5,117.5,117.5,257.5,SBD
6,Sharmaine Chloe Dobuyan,F,N,69,Raw,2003,,,63.35,80,90,95,95,27.5,32.5,-37.5,32.5,110,-130,,110,237.5,SBD
7,Jenny Jessica Laboriante,F,N,69,Raw,1981,,,64.75,75,-87.5,92.5,92.5,32.5,37.5,-42.5,37.5,80,95,105,105,235,SBD
1,Kate Gomez,F,N,76,Raw,1998,,,70.1,105,110,-120,110,42.5,47.5,-52.5,47.5,110,117.5,-125,117.5,275,SBD
2,Mhisha Marie Cuyson,F,N,76,Raw,1993,,,71.4,85,92.5,95,95,47.5,52.5,-55.5,52.5,112.5,117.5,125,125,272.5,SBD
1,Francis Nicole Figueroa,F,N,84,Raw,1995,,,80.75,145,150,155,155,65,72.5,77.5,77.5,180,190,206,206,438.5,SBD
2,Marian Hannah Louise Vailoces,F,N,84,Raw,1996,,,81.8,-110,110,120,120,55,-60,-60,55,125,135,140,140,315,SBD
1,Maria Alyssa Chloe Mae Grant,F,N,84+,Raw,1996,,,90.5,115,120,130,130,60,62.5,-70,62.5,120,140,147.5,147.5,340,SBD
2,Darryle Emanuelle Soriano Tangco,F,N,84+,Raw,2002,,,87.9,-115,-120,120,120,50,-55,-55,50,120,125,135,135,305,SBD
3,Joanne Christy Pichay,F,N,84+,Raw,,,,87.3,80,95,110,110,35,45,-50,45,120,135,137.5,137.5,292.5,SBD
4,Nicole Mapili,F,N,84+,Raw,1997,,,86.5,-82.5,82.5,-95,82.5,40,-45,-45,40,80,90,100,100,222.5,SBD
1,Angela Aura Gonzalvo,F,O,47,Raw,1997,,,46.7,105,112.5,117.5,117.5,52.5,55,57.5,57.5,130,137.5,-145,137.5,312.5,SBD
2,Shiela Mae Villasica,F,O,47,Raw,1989,,,46.25,107.5,-112.5,112.5,112.5,55,-60,60,60,130,135,-145,135,307.5,SBD
3,Angelika Mariz Illorde,F,O,47,Raw,1998,,,45.6,87.5,92.5,97.5,97.5,52.5,55,57.5,57.5,120,125,-130,125,280,SBD
4,Kaira Micaela Gonzales,F,O,47,Raw,2002,,,45.35,75,82.5,-90,82.5,52.5,-57.5,-57.5,52.5,115,122.5,-127.5,122.5,257.5,SBD
DQ,Arnee Filia Soriano,F,O,47,Raw,2002,,,,,,,,,,,,,,,,,SBD
1,Jeremy Reign Bautista,F,O,52,Raw,1999,,,51.25,115,120,-130.5,120,-77.5,80,-87.5,80,150,-160,-160,150,350,SBD
2,Ellyssa Marie Salas,F,O,52,Raw,1996,,,50.6,-100,100,107.5,107.5,70,72.5,77.5,77.5,-132.5,135,142.5,142.5,327.5,SBD
3,Patricia Elise Siao,F,O,52,Raw,1997,,,52,95,102.5,-110,102.5,47.5,52.5,-57.5,52.5,132.5,142.5,150,150,305,SBD
4,Raycel Esperanza,F,O,52,Raw,1998,,,51.45,-90,-90,90,90,42.5,45,47.5,47.5,112.5,117.5,120,120,257.5,SBD
5,Jasmine Bernadette Cagara,F,O,52,Raw,1996,,,51.4,60,67.5,-75,67.5,25,30,35,35,65,75,85,85,187.5,SBD
1,Jane Erasmo,F,O,57,Raw,2003,,,55.25,100,110,120,120,70,75,77.5,77.5,140,150,-155,150,347.5,SBD
