WeightClassKg,Place,Name,Country,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Division,Sex,BirthDate
56,2,Sunny Jellema,Netherlands,55,125,90,160,375,SBD,Single-ply,Masters 2,M,
56,3,Ulrich Mielich,Germany,55.4,85,70,130,285,SBD,Single-ply,Masters 2,M,
60,1,Marcel Nivault,France,59.1,177.5,65,207.5,450,SBD,Single-ply,Masters 2,M,
60,2,Tapani Pulkkinen,Finland,59.8,167.5,92.5,190,450,SBD,Single-ply,Masters 2,M,
60,3,Ted Brown,United Kingdom,59.8,155,107.5,180,442.5,SBD,Single-ply,Masters 2,M,
60,4,Alexander Diepold,Germany,59.8,150,95,160,405,SBD,Single-ply,Masters 2,M,
67.5,1,Walter Legel,Austria,67,215,110,225,550,SBD,Single-ply,Masters 2,M,
67.5,2,Viljo Karvinen,Finland,66.1,185,135,220,540,SBD,Single-ply,Masters 2,M,
67.5,3,Robert Alecock,United Kingdom,65.1,195,102.5,210,507.5,SBD,Single-ply,Masters 2,M,
67.5,4,Bernhard Fennessy,Ireland,67.1,190,100,212.5,502.5,SBD,Single-ply,Masters 2,M,
67.5,5,Robert Sullivan,United Kingdom,63.4,150,92.5,180,422.5,SBD,Single-ply,Masters 2,M,
75,1,Mauri Lappalainen,Finland,82.6,240,105,252.5,597.5,SBD,Single-ply,Masters 2,M,
75,2,Kjell Skybak,Norway,74.7,215,122.5,240,577.5,SBD,Single-ply,Masters 2,M,
75,3,Jean Pierre Lebel,France,73.3,185,115,245,545,SBD,Single-ply,Masters 2,M,
75,4,Freddy Sleuyter,Belgium,73.8,180,115,225,520,SBD,Single-ply,Masters 2,M,
75,5,George Leggett,United Kingdom,74.6,190,112.5,200,502.5,SBD,Single-ply,Masters 2,M,
75,6,Ulrich Fleskes,Germany,72.9,165,105,220,490,SBD,Single-ply,Masters 2,M,
75,7,Fernand Laplace,Belgium,74.6,150,97.5,140,387.5,SBD,Single-ply,Masters 2,M,
75,DQ,Alan Wilkins,United Kingdom,74.9,187.5,110,,,SBD,Single-ply,Masters 2,M,
82.5,1,Albert Mombert,Belgium,81.5,230,145,252.5,627.5,SBD,Single-ply,Masters 2,M,
82.5,2,Ooke Kaarela,Finland,80.8,235,142.5,247.5,625,SBD,Single-ply,Masters 2,M,
82.5,3,Francois Chazelle,France,82.1,220,130,262.5,612.5,SBD,Single-ply,Masters 2,M,
82.5,4,Luis Loncke,Belgium,81.2,245,110,240,595,SBD,Single-ply,Masters 2,M,
82.5,5,Ken Lingard,United Kingdom,79.1,190,120,220,530,SBD,Single-ply,Masters 2,M,
82.5,6,David Tucker,United Kingdom,81,205,105,220,530,SBD,Single-ply,Masters 2,M,
82.5,7,Jacinto Molina,Spain,82,125,90,180,395,SBD,Single-ply,Masters 2,M,
82.5,DQ,Pierre Gimbert,France,78.8,225,145,,,SBD,Single-ply,Masters 2,M,
90,1,Leon Louchart,France,88.3,240,150,280,670,SBD,Single-ply,Masters 2,M,
90,2,Boris Zherebtzov,Ukraine,89.7,240,147.5,255,642.5,SBD,Single-ply,Masters 2,M,
90,3,Veli Kumpuniemi,Finland,88.5,210,140,270,620,SBD,Single-ply,Masters 2,M,
90,4,Andy McKinley,United Kingdom,86.8,220,147.5,240,607.5,SBD,Single-ply,Masters 2,M,
90,5,Klause Zander,France,89,220,150,235,605,SBD,Single-ply,Masters 2,M,
90,6,Gavin Walker,United Kingdom,88.9,225,117.5,225,567.5,SBD,Single-ply,Masters 2,M,
90,7,Bertil Hagby,Sweden,87.4,235,100,230,565,SBD,Single-ply,Masters 2,M,
100,1,Willi Müller,Germany,99.7,270,157.5,307.5,735,SBD,Single-ply,Masters 2,M,
100,2,Karl Hei Grabosch,Germany,97.3,250,140,260,650,SBD,Single-ply,Masters 2,M,
100,3,Jean Pierre Amet,France,97.2,235,140,260,635,SBD,Single-ply,Masters 2,M,
100,4,Matti Aunula,Finland,99.3,250,142.5,235,627.5,SBD,Single-ply,Masters 2,M,
100,5,Jean Davrainville,France,97.7,215,137.5,250,602.5,SBD,Single-ply,Masters 2,M,
100,DQ,Jim Godfrey,Ireland,96.6,220,120,,,SBD,Single-ply,Masters 2,M,
110,DQ,Jan Monstad,Norway,101.6,200,,,,SBD,Single-ply,Masters 2,M,
125,1,Heinz Pollmann,Austria,110.5,250,191,255,696,SBD,Single-ply,Masters 2,M,
125,2,Päivio Säätelä,Finland,114.1,227.5,172.5,270,670,SBD,Single-ply,Masters 2,M,
125,3,Josef Steer,Hungary,114.5,260,140,260,660,SBD,Single-ply,Masters 2,M,
125,4,Olavi Erola,Finland,113.1,232.5,145,225,602.5,SBD,Single-ply,Masters 2,M,
125+,1,Seppo Laaksonen,Finland,130,220,120,262.5,602.5,SBD,Single-ply,Masters 2,M,
125+,2,Richard Heiden,Germany,128.9,210,175,215,600,SBD,Single-ply,Masters 2,M,
