WeightClassKg,Sex,Division,Place,JapaneseName,Name,Age,Team,SQ,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Event,Equipment
82.5,M,Masters 1,1,勢司 原田,,42,ノーリミッツ,東京都,81.6,235,,182.5,,265,,682.5,SBD,Single-ply
82.5,M,Masters 1,2,忠 保坂,,41,ＡＫＩＴＡﾊﾟﾜｰｸﾗﾌﾞ,秋田県,80.2,215,,170,,210,,595,SBD,Single-ply
90,M,Masters 1,1,泰久 当麻,,47,ｱｻﾏﾄﾚｰﾆﾝｸﾞクラブ,神奈川県,85.9,250,,145,,240,,635,SBD,Single-ply
100,M,Masters 1,1,成敏 浅間,,44,ｱｻﾏﾄﾚｰﾆﾝｸﾞクラブ,神奈川県,93.05,270,,180,,280,,730,SBD,Single-ply
100,M,Masters 1,2,龍也 盛,,44,沖縄刑務所ｸﾗﾌﾞ,沖縄県,95.3,250,,170,,235,,655,SBD,Single-ply
110,M,Masters 1,1,信之 三橋,,40,ジャングルジム,三重県,107.5,260,,185,,300,,745,SBD,Single-ply
110,M,Masters 1,2,論正 中島,,40,高岡ﾄﾚｰﾆﾝｸﾞｸﾗﾌﾞ,富山県,100.05,255,,185,,245,,685,SBD,Single-ply
110,M,Masters 1,1,一郎 氏家,,45,ｱｻﾏﾄﾚｰﾆﾝｸﾞクラブ,神奈川県,149.05,280,,240,,245,,765,SBD,Single-ply
56,M,Masters 2,1,英昭 因幡,Hideaki Inaba,59,イナバパワージャパン,東京都,52.45,225,,95,,225,,545,SBD,Single-ply
56,M,Masters 2,2,精一 真下,,56,個 人,栃木県,55.5,145,,95,,160,,400,SBD,Single-ply
67.5,M,Masters 2,1,長吉 伊藤,,52,ブラザー工業,愛知県,67.4,230,238,142.5,,230,,602.5,SBD,Single-ply
67.5,M,Masters 2,2,厚司 福間,,55,ｻﾝﾌｨｯﾄﾈｽｸﾗﾌﾞ,秋田県,66.55,180,,115,,160,,455,SBD,Single-ply
75,M,Masters 2,1,達郎 谷川,,51,パレス富山,富山県,74.65,230,,150,,210,,590,SBD,Single-ply
75,M,Masters 2,2,悟 滝田,,56,高岡ﾄﾚｰﾆﾝｸﾞｸﾗﾌﾞ,富山県,74.6,220,,120,,210,,550,SBD,Single-ply
75,M,Masters 2,3,眞一郎 門,,54,スポーツｼﾞﾑＢ＆Ｆ,大阪府,72.1,190,,107.5,,190,,487.5,SBD,Single-ply
82.5,M,Masters 2,1,春善 小笹,,52,個 人,北海道,82.1,240,,105,,230,,575,SBD,Single-ply
90,M,Masters 2,1,正 立花,,53,長万部ﾄﾚｰﾆﾝｸﾞｾﾝﾀｰ,北海道,89.2,265,,220,,240,,725,SBD,Single-ply
52,M,Masters 3,1,久 羽田,,60,チームこん平,東京都,51.25,140,,90,,160,,390,SBD,Single-ply
56,M,Masters 3,1,新順 大城,,59,個 人,千葉県,55.6,160.5,,117.5,,165,,442.5,SBD,Single-ply
56,M,Masters 3,2,新一 徳田,,66,ワールドヒットネスｸﾗﾌﾞ,三重県,55.8,140,,65,,160,,365,SBD,Single-ply
56,M,Masters 3,NS,啓 伏見,,65,仙台体育館,宮城県,,,,,,,,,SBD,Single-ply
60,M,Masters 3,1,俊明 相田,,62,イズミフィットネスｸﾗﾌﾞ,宮城県,59.5,180,,105,,190,,475,SBD,Single-ply
60,M,Masters 3,2,秀男 政川,,64,大館愛好会,秋田県,58.2,140,,77.5,,190,,407.5,SBD,Single-ply
60,M,Masters 3,3,勝夫 岩上,,59,チームこん平,千葉県,59.4,142.5,,110,,155,,407.5,SBD,Single-ply
67.5,M,Masters 3,1,徹 馬籠,,60,宇都宮タイガース,栃木県,67.3,140,,155,,145,,440,SBD,Single-ply
67.5,M,Masters 3,2,英夫 大澤,,62,仙台体育館,宮城県,67,140,,100,,180,,420,SBD,Single-ply
67.5,M,Masters 3,3,啓一 山井,,64,ｱｻﾏﾄﾚｰﾆﾝｸﾞクラブ,神奈川県,65.15,160,,80,,165,,405,SBD,Single-ply
75,M,Masters 3,1,俊彦 佐藤,,62,個 人,三重県,74.45,220,,100,,225,,545,SBD,Single-ply
75,M,Masters 3,2,秀人 木下,,63,入間ＰＣ,埼玉県,74.6,125,,100,,162.5,,387.5,SBD,Single-ply
75,M,Masters 3,3,充 大澤,,61,ＯＫ ＧＹＭ,千葉県,72.1,135,,90,,160,,385,SBD,Single-ply
