;;;;SQ;;BP;;;;;DL;;;;
BDW,;NAME;GYM;1;2;3;1;2;3;SUB;1;2;3;TOT;Wilk's;PI
;Women;;;1A#1A;iai nn;Aiarli;Ffinn;infn;;;;;;;
Class;52kq;;;	;W f pu;ÏÏCI II';1;ff Hv;;;;;;;
51,9;Willie Heuser;Lid NPB;90;95;97,5;50;57,5;-60;155;90;100;105;260;324,6;1
Class;57kq;;;;;;;;;;;;;;
56,8;Sandra Wildeman;S.S.S.;142,5;150;155;87,5;92,5;97,5;252,5;140;147,5;;400;465,4;1
56;Katinka van Baaien;Spartacus;125;-132,5;-132,5;77,5;80;82,5;207,5;130;137,5;142,5;350;411,8;2
Class;63kq;;;;;;;;;;;;;;
62,5;Judith Meerdinq;FPA;140;147,5;155;65;85;-90;240;145;155;162,5;402,5;434,9;1
Class;72kq;;;;;;;;;;;;;;
71,8;Ankie Timmers;Essbra;195;205;-210;137,5;142,5;147,5;352,5;200;-210;210;562,5;550,1;1
70,4;Loes Visser;Lid NPB;85;-92,5;95;50;-55;55;150;125;132,5;137,5;287,5;284,9;2
Class;84kq;;;;;;;;;;;;;;
74,7;Hannie van 't Loo;Lid NPB;135;140;-145;85;-95;-95;225;140;150;-155;375;357,4;1
74;Carmen Siardijn;Hardcore;-175;175;-185;-115;-120;-120;0;170;180;-187,5;0;;
79,7;Sanne Visser;Lid NPB;135;142,5;145;87,5;90;-92,5;235;-195;-200;-200;0;;
Class;84+kq;;;;;;;;;;;;;;
114,1;Brenda vd Meulen;S.S.S.;180;195;205;155;167,5;175;380;160;170;175;555;447,9;1
;Men;;;lAriA;«Af r»n;«iqpI ï;ft-ÏMfl;ï «fo;;;;;;;
Class;74kq;;;¥* *';WiJjv;■VCI 11;i uny;IIIIU;;;;;;;
74;Pardeep Kailey;Atlas;250;260;-265;-170;170;175;435;260;-275;;695;499,9;1
73;Meriin Helsloot;Spartacus;182,5;195;200;100;107,5;110;310;200;210;215;525;381,4;2
Class;83kq;;;;;;;;;;;;;;
82,1;Anne Bierma;KSV Friesland;225;235;-242,5;130;137,5;-142,5;372,5;215;222,5;232,5;605;406,5;1
82,5;Art Asrian;Art of Power;180;190;-195;175;-191;-191;365;200;215;-232,5;580;388,5;2
76,5;David Asrian;Art of Power;170;185;190;135;145;-150;335;180;195;-205;530;372,5;3
78,8;Denzil Vreuqd;Lid NPB;170;180;-190;115;120;-130;300;205;220;-225;520;358,4;4
79,5;Roland Pater;S.S.S.;185;-195;195;115;122,5;-127,5;317,5;180;190;-195;507,5;347,8;5
82,5;Devran Alper;Atlas;170;177,5;185;82,5;87,5;90;275;165;175;185;460;308,2;6
Class;93kq;;;;;;;;;;;;;;
92,9;Jorrit de Jonq;Lid NPB;-235;235;245;140;147,5;152,5;397,5;245;255;-272,5;652,5;410,1;1
92;Drik Grevelink;S.S.S.;180;200;;75;85;-90;285;220;230;;515;325,2;2
Class;105kq;;;;;;;;;;;;;;
98;Pjoter van de Hoek;Spartacus;-330;330;;-270;270;;600;275;290;;890;546,1;1
100,3;Floris van Melis;Hardcore;290;305;-315;220;225;-230;530;-260;260;275;805;489,4;2
105;Michael Kalter;S.S.S.;275;290;300;175;182,5;187,5;487,5;-300;310;-320;797,5;476,6;3
101,8;Sven den Houtinq;S.S.S.;280;295;-300;180;-190;-190;475;240;-260;260;735;444,2;4
104,4;Rick Priester;Spartacus;260;-275;280;140;-175;-175;420;230;250;-262,5;670;401,2;5
104,2;Bram Hazeu;Spartacus;225;240;250;150;-160;-160;400;235;-250;;635;380,5;6
94,9;Joost de Groot;Atlas;-292,5;-300;-305;175;180;182,5;;250;-280;-280;0;;
Class;120kq;;;;;;;;;;;;;;
119,8;Jordi Snijders;Spartacus;330;-345;345;272,5;280;-285;625;285;295;-300;920;529,1;1
119,8;Zyed Badreddine;Spartacus;310;320;;205;212,5;-217,5;532,5;300;-310;-310;832,5;478,8;2
111,5;Peter Bonqers;S.S.S.;270;280;-290;150;155;160;440;230;240;245;685;401,5;3
113,1;Tijmen Gerestein;Lid NPB;225;240;250;187,5;195;-200;445;230;-245;-245;675;394;4
118,3;Wim Wamsteeker;S.S.S.;25;;;170;180;185;210;220;-240;;430;248,1;5
Class;120+kq;;;;;;;;;;;;;;
160;Sven Janssen;Lid NPB;240;255;265;145;157,5;-165;422,5;245;265;-277,5;687,5;376,9;1
