Name,Sex,Division,WeightClassKg,BodyweightKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment
Marcel Benzler,M,Master1,120+,124.9,1974,-215,222.5,232.5,232.5,145,-155,155,155,225,245,250,250,637.5,1,SBD,Raw
Marcel Boeglin,M,Open,83,77.5,1992,210,225,235,235,145,152.5,-157.5,152.5,232.5,250,260,260,647.5,3,SBD,Raw
Riccardo Santo,M,Open,105,103.65,1993,225,240,-250,240,-180,180,-200,180,230,-255,-255,230,650,9,SBD,Raw
Paul Wartha,M,Open,105,103.35,1992,,237.5,-250,237.5,150,165,-175,165,242.5,250,-257.5,250,652.5,8,SBD,Raw
Jan Kobek,M,Open,83,82.85,1995,210,225,237.5,237.5,127.5,135,140,140,-225,255,277.5,277.5,655,2,SBD,Raw
Jannik Hinsch,M,Open,120,114.7,1989,,250,-260,250,152.5,155,-160,155,240,245,250,250,655,6,SBD,Raw
Tim Huber,M,Open,105,100.65,1992,225,235,,235,140,147.5,152.5,152.5,270,-290,-305,270,657.5,7,SBD,Raw
Paul Markwart,M,Open,83,82.7,1987,215,-225,-225,215,165,-170,170,170,-260,270,280,280,665,1,SBD,Raw
Sascha Kuhrt,M,Open,105,104.65,1990,,220,230,230,150,157.5,165,165,235,262.5,270,270,665,6,SBD,Raw
Aaron Weiß,M,Open,93,92.5,1991,,240,-247.5,240,140,145,-147.5,145,270,285,-302.5,285,670,4,SBD,Raw
Timo Lieder,M,Open,105,104.25,1991,,247.5,-257.5,247.5,177.5,190,192.5,192.5,230,-242.5,-250,230,670,5,SBD,Raw
Pascal Thier,M,Open,120,118.95,1991,220,230,240,240,145,155,-157.5,155,265,275,-285,275,670,5,SBD,Raw
Rene Ullerich,M,Master1,105,100.85,1978,245,255,-262.5,255,165,-172.5,-172.5,165,263,-272.5,,263,683,2,SBD,Raw
Martin Massat,M,Open,93,92.55,1986,225,240,247.5,247.5,147.5,155,160,160,260,280,-292.5,280,687.5,3,SBD,Raw
Stephan Arndt,M,Master1,120,114.9,1973,250,260,270,270,170,180,185,185,200,220,240,240,695,2,SBD,Raw
Jan Schnoor,M,Open,120+,126.4,1992,245,255,260,260,165,172.5,-177.5,172.5,265,-277.5,-277.5,265,697.5,4,SBD,Raw
Mark Traut,M,Open,93,92.8,1994,250,-260,-260,250,147.5,155,162.5,162.5,275,290,-302.5,290,702.5,2,SBD,Raw
Richard Kielmann,M,Open,120,119,1994,250,260,-270,260,155,162.5,-165,162.5,285,300,-315,300,722.5,4,SBD,Raw
Oliver Zamzow,M,Master1,105,104.05,1978,252.5,265,,265,157.5,-162.5,-162.5,157.5,300,-315,-315,300,722.5,1,SBD,Raw
Mike Schollbach,M,Open,105,101.55,1981,250,257.5,,257.5,182.5,187.5,-190,187.5,260,290,-305,290,735,4,SBD,Raw
Gregor Loosen,M,Open,120,119.65,1986,252.5,265,272.5,272.5,160,170,175,175,270,290,300,300,747.5,3,SBD,Raw
Jan Bast,M,Open,105,97.55,1977,252.5,260,265,265,215,220,225,225,260,270,277.5,277.5,767.5,2,SBD,Raw
Tim Daniel Konertz,M,Open,105,104.6,1989,260,270,275,275,162.5,167.5,170,170,305,322.5,-335.5,322.5,767.5,3,SBD,Raw
Roman Reinbold,M,Master1,120,119.55,1972,260,272.5,278,278,190,202.5,210.5,210.5,255,272.5,280,280,768.5,1,SBD,Raw
Jewgenji Kondraschow,M,Open,120+,135.45,1983,250,-265,,250,170,180,187.5,187.5,285,302.5,340.5,340.5,778,3,SBD,Raw
Konrad Burghardt,M,Open,105,95.75,1974,260,275,282.5,282.5,200,210,215,215,270,285,292.5,292.5,790,1,SBD,Raw
Sascha Stendebach,M,Open,93,92.7,1991,247.5,257.5,260,260,192.5,202.5,-208,202.5,326,345.5,351,351,813.5,1,SBD,Raw
Carlo Gittermann,M,Open,120+,138.8,1988,290,305,-315,305,192.5,202.5,207.5,207.5,290,302.5,-317.5,302.5,815,2,SBD,Raw
Brin Hasan,M,Open,120+,137.65,1988,285,295,302.5,302.5,185,195,-200,195,310,320,-340,320,817.5,1,SBD,Raw
Paul-Johann Heddrich,M,Open,120,114.45,1991,275,-290,295,295,175,182.5,-187.5,182.5,-325,335,352.5,352.5,830,1,SBD,Raw
Andreas Reiz,M,Open,120,117.4,1984,290,-302.5,302.5,302.5,182.5,190,195,195,315,325,332.5,332.5,830,2,SBD,Raw
Annika Mantel,F,Open,52,49.85,1993,95,-100,-100,95,-55,-60,-60,,122.5,127.5,-132.5,127.5,,DQ,SBD,Raw
