Name,Age,Division,Sex,Equipment,Tested,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3BenchKg,TotalKg,Event,Place
Haylee Miller ,23,F_JR_AAPF,F,Raw,Yes,51.7,52,102.5,50,102.5,255,SBD,1
Taya Gordon,22,F_JR_AAPF,F,Raw,Yes,65.9,67.5,142.5,77.5,167.5,387.5,SBD,1
Shay Ogden ,43,F_MCR_1_APF,F,Wraps,,71.7,75,122.5,72.5,137.5,332.5,SBD,1
Marsha Simpson ,42,F_MCR_1_APF,F,Wraps,,84.6,90,97.5,57.5,135,290,SBD,1
Michelle Carlson,47,F_MCR_2_AAPF,F,Wraps,Yes,62.4,67.5,90,65,115,270,SBD,1
Liz Colston,26,F_OCR_AAPF,F,Wraps,Yes,70.6,75,95,60,120,275,SBD,1
Merrili Gardner,27,F_OCR_AAPF,F,Wraps,Yes,80.6,82.5,155,70,160,385,SBD,1
Lauren Malovich,29,F_OCR_AAPF,F,Wraps,Yes,79.8,82.5,125,90,155,370,SBD,2
Marilee Roche,30,F_OCR_AAPF,F,Wraps,Yes,102.1,SHW,127.5,67.5,140,335,SBD,1
Randi Reiley,24,F_OCR_APF,F,Wraps,,56.7,60,110,67.5,140,317.5,SBD,1
Brenda Adams,46,F_OCR_APF,F,Wraps,,63.7,67.5,115,72.5,150,337.5,SBD,1
Shayla Cullens ,26,F_OCR_APF,F,Wraps,,80.4,82.5,125,70,142.5,337.5,SBD,1
Samantha Panziera,30,F_OES_AAPF,F,Single-ply,Yes,66.9,67.5,165,150,175,490,SBD,1
Taya Gordon,22,F_OR_AAPF,F,Raw,Yes,65.9,67.5,142.5,77.5,167.5,387.5,SBD,1
Emma Hogan,36,F_SCR_APF,F,Wraps,,78.4,82.5,115,92.5,150,357.5,SBD,1
Aiden Smith,21,M_JCR_AAPF,M,Wraps,Yes,99.3,100,220,125,240,585,SBD,1
Tristen Breen ,23,M_JCR_APF,M,Wraps,,98.4,100,302.5,182.5,275,760,SBD,1
Nick Odysseus,23,M_JR_AAPF,M,Raw,Yes,134.2,140,232.5,185,235,652.5,SBD,1
