Event,Sex,Division,WeightClassLBS,Equipment,Best3BenchLBS,Bench4LBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,Name
B,M,Class 1 Men,148,Single-ply,264.5,,,,264.5,Dave Constantineau
B,M,Class 1 Men,165,Single-ply,374.7,,,,374.7,Nick Buck
B,M,Class 1 Men,165,Single-ply,336,,,,336,Andy Kaszubski
B,M,Class 1 Men,181,Single-ply,,,,,,Scott Rickford
B,M,Class 1 Men,198,Single-ply,451.7,,,,451.7,Pete Ramundo
B,M,Class 1 Men,220,Single-ply,462.7,,,,462.7,Don Rygh
B,M,Class 1 Men,242,Single-ply,440.7,,,,440.7,Fateh Sihota
B,M,Class 1 Men,259,Single-ply,446.2,,,,446.2,Dennis Rolon
B,M,Class 1 Men,275,Single-ply,540,,,,540,David Palmer
B,M,Class 1 Men,275,Single-ply,512.5,,,,512.5,River Newman
B,M,Class 1 Men,275,Single-ply,314,,,,314,John Solleder
B,M,Disabled 1 Men 40-59,181,Single-ply,,,,,,Scott Rickford
B,M,Disabled 1 Men 40-59,220,Single-ply,473.7,,,,473.7,Steve Pena
B,M,Disabled 2 Men 20-39,275,Single-ply,413.2,,,,413.2,Brady Tanner
B,M,Disabled 2 Men 60,242,Single-ply,321.7,325,,,321.7,Scott Dolan
B,M,Disabled 2 Men 60,242,Single-ply,303,,,,303,Bob Brodt
B,M,Elite Open Men,165,Single-ply,,,,,,Donald Ramil
B,M,Elite Open Men,198,Single-ply,677.7,,,,677.7,Ryan Marble
B,M,Elite Open Men,198,Single-ply,655.7,,,,655.7,Jerry Aquino
B,M,Elite Open Men,198,Single-ply,655.7,,,,655.7,Jerry Aquino
B,M,Elite Open Men,198,Single-ply,617.2,632.6,,,617.2,Matt Lamarque
B,M,Elite Open Men,220,Single-ply,777,,,,777,Greg Powell
B,M,Elite Open Men,309,Single-ply,,,,,,Robert Vick
B,M,Junior Men 20-25,123,Single-ply,352.5,,,,352.5,Michael Saldivar
